date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/29/2014,@ LMU (CA),0-3,3.0,0,0,23.0,21.0,99.0,0.02,23.0,2.0,3.0,30.0,11.0,1.0,6.0,2.0,29.0,0.0,LMU ,3,7.666666666666667,7.0,33.0,7.666666666666667,0.6666666666666666,1.0,10.0,3.6666666666666665,0.3333333333333333,2.0,0.6666666666666666,9.666666666666666,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/30/2014,"UCLA @ Los Angeles, Calif.",0-3,3.0,0,0,31.0,24.0,107.0,0.065,31.0,2.0,1.0,42.0,5.0,1.0,12.0,1.0,40.0,0.0,UCLA,3,10.333333333333334,8.0,35.666666666666664,10.333333333333334,0.6666666666666666,0.3333333333333333,14.0,1.6666666666666667,0.3333333333333333,4.0,0.3333333333333333,13.333333333333334,,3.8333333333333335,,3.5,,16.5,,0.01,,3.8333333333333335,,0.3333333333333333,,0.5,,5.0,,0.16666666666666666,,1.0,,0.3333333333333333,,4.833333333333333
08/30/2014,"Binghamton @ Los Angeles, Calif.",3-0,3.0,0,0,47.0,12.0,109.0,0.321,45.0,5.0,6.0,52.0,4.0,2.0,2.0,2.0,55.0,0.0,Binghamton,3,15.666666666666666,4.0,36.333333333333336,15.0,1.6666666666666667,2.0,17.333333333333332,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,18.33333333333333,,6.0,,5.0,,22.888888888888886,,0.028333333333333335,,6.0,,0.4444444444444444,,0.4444444444444444,,8.0,,0.2222222222222222,,2.0,,0.3333333333333333,,7.666666666666667
09/05/2014,@ Virginia,1-3,4.0,0,0,50.0,13.0,131.0,0.282,49.0,2.0,7.0,49.0,8.0,2.0,20.0,0.0,64.0,3.0,Virginia,4,12.5,3.25,32.75,12.25,0.5,1.75,12.25,2.0,0.5,5.0,0.0,16.0,11.222222222222223,8.416666666666666,6.333333333333333,4.75,35.0,26.25,0.13533333333333333,0.1015,11.0,8.25,1.0,0.75,1.111111111111111,0.8333333333333333,13.777777777777777,10.333333333333332,0.4444444444444444,0.3333333333333333,2.2222222222222223,1.6666666666666667,0.5555555555555555,0.41666666666666663,13.777777777777777,10.333333333333332
09/06/2014,"Alabama @ Charlottesville, Va.",3-2,5.0,0,0,63.0,27.0,170.0,0.212,59.0,7.0,7.0,72.0,12.0,1.0,16.0,2.0,79.0,4.0,Alabama,5,12.6,5.4,34.0,11.8,1.4,1.4,14.4,2.4,0.2,3.2,0.4,15.8,12.833333333333334,9.233333333333333,5.083333333333333,4.45,34.916666666666664,27.55,0.22266666666666665,0.1376,12.527777777777779,9.05,0.9444444444444445,0.7,1.361111111111111,1.0166666666666666,14.527777777777777,10.716666666666665,0.5,0.36666666666666664,3.2222222222222228,2.3333333333333335,0.3333333333333333,0.3333333333333333,15.888888888888888,11.466666666666665
09/06/2014,"Navy @ Charlottesville, Va.",3-1,4.0,0,0,54.0,22.0,146.0,0.219,52.0,10.0,2.0,60.0,4.0,2.0,14.0,2.0,73.0,2.0,Navy,4,13.5,5.5,36.5,13.0,2.5,0.5,15.0,1.0,0.5,3.5,0.5,18.25,13.588888888888889,9.794444444444444,4.216666666666667,4.608333333333333,34.361111111111114,28.625,0.27166666666666667,0.15,13.016666666666667,9.508333333333333,1.1888888888888889,0.8166666666666668,1.7166666666666666,1.0805555555555555,14.661111111111111,11.330555555555556,0.4555555555555555,0.33888888888888885,2.9555555555555557,2.477777777777778,0.35555555555555546,0.3444444444444444,16.71111111111111,12.188888888888888
09/10/2014,Fresno St.,3-1,4.0,0,0,57.0,21.0,173.0,0.208,57.0,2.0,3.0,77.0,4.0,2.0,22.0,3.0,72.0,1.0,Fresno St.,4,14.25,5.25,43.25,14.25,0.5,0.75,19.25,1.0,0.5,5.5,0.75,18.0,12.866666666666667,10.323809523809524,4.716666666666667,4.735714285714286,34.416666666666664,29.75,0.23766666666666666,0.15985714285714286,12.350000000000001,10.007142857142856,1.4666666666666668,1.0571428571428572,1.2166666666666666,0.9976190476190475,13.883333333333333,11.854761904761904,0.39999999999999997,0.3619047619047619,3.9000000000000004,2.623809523809524,0.3,0.36666666666666664,16.683333333333334,13.054761904761904
09/12/2014,Northern Ky.,3-1,4.0,0,0,63.0,22.0,148.0,0.277,58.0,5.0,8.0,60.0,1.0,1.0,22.0,5.0,80.0,1.0,Northern Ky.,4,15.75,5.5,37.0,14.5,1.25,2.0,15.0,0.25,0.25,5.5,1.25,20.0,13.450000000000001,10.814583333333333,5.383333333333333,4.8,37.916666666666664,31.4375,0.213,0.165875,13.016666666666667,10.5375,1.4666666666666668,0.9875,0.8833333333333333,0.9666666666666666,16.216666666666665,12.779166666666667,0.39999999999999997,0.37916666666666665,4.066666666666666,2.9833333333333334,0.5499999999999999,0.4145833333333333,17.349999999999998,13.672916666666666
09/13/2014,Temple,3-2,5.0,0,0,68.0,34.0,195.0,0.174,65.0,8.0,8.0,94.0,7.0,2.0,21.0,1.0,88.5,0.0,Temple,5,13.6,6.8,39.0,13.0,1.6,1.6,18.8,1.4,0.4,4.2,0.2,17.7,14.5,11.362962962962962,5.416666666666667,4.877777777777777,38.916666666666664,32.05555555555556,0.2346666666666667,0.17822222222222223,13.916666666666666,10.977777777777778,1.4166666666666667,1.0166666666666666,1.0833333333333333,1.0814814814814815,16.416666666666668,13.025925925925925,0.4166666666666667,0.3648148148148148,4.833333333333333,3.262962962962963,0.8333333333333334,0.5074074074074074,18.75,14.375925925925925
09/13/2014,Boston College,3-2,5.0,0,0,67.0,23.0,188.0,0.234,61.0,4.0,15.0,86.0,4.0,1.0,27.0,1.0,85.5,6.0,Boston College,5,13.4,4.6,37.6,12.2,0.8,3.0,17.2,0.8,0.2,5.4,0.2,17.1,14.533333333333333,11.586666666666666,5.8500000000000005,5.069999999999999,39.75,32.75,0.21966666666666668,0.1778,13.916666666666666,11.18,1.1166666666666667,1.075,1.45,1.1333333333333333,17.683333333333334,13.603333333333333,0.3833333333333333,0.3683333333333333,5.066666666666667,3.356666666666667,0.7333333333333334,0.4766666666666667,18.566666666666666,14.708333333333332
09/19/2014,"Milwaukee @ East Lansing, Mich.",0-3,3.0,0,0,35.0,19.0,110.0,0.145,34.0,1.0,5.0,39.0,2.0,0.0,10.0,6.0,41.0,1.0,Milwaukee,3,11.666666666666666,6.333333333333333,36.66666666666666,11.333333333333334,0.3333333333333333,1.6666666666666667,13.0,0.6666666666666666,0.0,3.333333333333333,2.0,13.666666666666666,14.25,11.75151515151515,5.633333333333333,5.027272727272727,37.86666666666667,33.190909090909095,0.22833333333333336,0.1829090909090909,13.233333333333334,11.272727272727273,1.2166666666666668,1.05,2.1999999999999997,1.303030303030303,17.0,13.93030303030303,0.2833333333333334,0.353030303030303,5.033333333333333,3.5424242424242425,0.5499999999999999,0.45151515151515154,18.26666666666667,14.925757575757574
