date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/29/2014,@ Saint Louis,3-1,4.0,0,0,56.0,23.0,161.0,0.205,55.0,2.0,14.0,70.0,3.0,3.0,16.0,0.0,69.0,0.0,Saint Louis,4,14.0,5.75,40.25,13.75,0.5,3.5,17.5,0.75,0.75,4.0,0.0,17.25,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/29/2014,"Southeast Mo. St. @ St. Louis, MO",1-3,4.0,0,0,49.0,28.0,159.0,0.132,46.0,8.0,12.0,83.0,9.0,2.0,10.0,0.0,64.0,4.0,Southeast Mo. St.,4,12.25,7.0,39.75,11.5,2.0,3.0,20.75,2.25,0.5,2.5,0.0,16.0,,7.0,,2.875,,20.125,,0.1025,,6.875,,0.25,,1.75,,8.75,,0.375,,2.0,,0.0,,8.625
08/30/2014,"Alabama @ St. Louis, MO",2-3,5.0,0,0,45.0,29.0,148.0,0.108,44.0,7.0,10.0,68.0,5.0,1.0,24.0,0.0,65.0,2.0,Alabama,5,9.0,5.8,29.6,8.8,1.4,2.0,13.6,1.0,0.2,4.8,0.0,13.0,,8.75,,4.25,,26.666666666666668,,0.11233333333333333,,8.416666666666666,,0.8333333333333334,,2.1666666666666665,,12.75,,0.4166666666666667,,2.1666666666666665,,0.0,,11.083333333333334
09/05/2014,Ole Miss,2-3,5.0,0,0,60.0,25.0,172.0,0.203,57.0,8.0,11.0,74.0,2.0,3.0,8.0,2.0,75.0,1.0,Ole Miss,5,12.0,5.0,34.4,11.4,1.6,2.2,14.8,0.4,0.6,1.6,0.4,15.0,11.75,8.8125,6.183333333333334,4.6375,36.53333333333333,27.4,0.14833333333333334,0.11124999999999999,11.35,8.5125,1.3,0.975,2.8333333333333335,2.125,17.283333333333335,12.9625,0.48333333333333334,0.3625,3.766666666666667,2.825,0.0,0.0,15.416666666666666,11.5625
09/06/2014,Arkansas St.,2-3,5.0,0,0,71.0,35.0,220.0,0.164,68.0,5.0,8.0,104.0,4.0,1.0,16.0,4.0,85.0,0.0,Arkansas St.,5,14.2,7.0,44.0,13.6,1.0,1.6,20.8,0.8,0.2,3.2,0.8,17.0,11.083333333333334,9.45,5.933333333333334,4.71,34.583333333333336,28.8,0.1476666666666667,0.1296,10.566666666666668,9.09,1.6666666666666667,1.1,2.4,2.1399999999999997,16.383333333333333,13.330000000000002,0.43333333333333335,0.41,2.966666666666667,2.58,0.13333333333333333,0.08,14.666666666666666,12.25
09/06/2014,UT Martin,3-0,3.0,0,0,47.0,13.0,118.0,0.288,46.0,5.0,8.0,60.0,3.0,1.0,12.0,0.0,59.0,1.0,UT Martin,3,15.666666666666666,4.333333333333333,39.333333333333336,15.333333333333334,1.6666666666666667,2.6666666666666665,20.0,1.0,0.3333333333333333,4.0,0.0,19.666666666666668,11.733333333333334,10.241666666666667,5.933333333333334,5.091666666666667,36.0,31.333333333333332,0.15833333333333335,0.13533333333333333,11.266666666666666,9.841666666666667,1.3333333333333333,1.0833333333333333,1.9333333333333336,2.05,16.400000000000002,14.575000000000001,0.3333333333333333,0.375,3.1999999999999997,2.6833333333333336,0.4000000000000001,0.20000000000000004,15.0,13.041666666666666
09/12/2014,"Nicholls @ Starkville, Miss.",3-0,3.0,0,0,38.0,10.0,113.0,0.248,37.0,7.0,8.0,64.0,5.0,5.0,8.0,0.0,54.0,0.0,Nicholls,3,12.666666666666666,3.333333333333333,37.66666666666666,12.333333333333334,2.333333333333333,2.6666666666666665,21.33333333333333,1.6666666666666667,1.6666666666666667,2.6666666666666665,0.0,18.0,13.955555555555556,11.016666666666667,5.444444444444444,4.983333333333333,39.24444444444445,32.476190476190474,0.21833333333333335,0.1571428571428571,13.444444444444445,10.626190476190475,1.4222222222222223,1.1666666666666665,2.1555555555555554,2.138095238095238,18.533333333333335,15.35,0.37777777777777777,0.36904761904761907,2.9333333333333336,2.8714285714285714,0.4000000000000001,0.17142857142857146,17.222222222222225,13.988095238095239
09/12/2014,@ Mississippi St.,3-2,5.0,0,0,60.0,25.0,189.0,0.185,55.0,8.0,19.0,88.0,2.0,0.0,18.0,0.0,77.0,0.0,Mississippi St.,5,12.0,5.0,37.8,11.0,1.6,3.8,17.6,0.4,0.0,3.6,0.0,15.4,14.177777777777777,11.222916666666668,4.888888888888888,4.777083333333334,40.333333333333336,33.125,0.2333333333333333,0.16849999999999998,13.755555555555555,10.839583333333332,1.6666666666666667,1.3125,2.3111111111111113,2.2041666666666666,20.711111111111112,16.097916666666666,0.7333333333333334,0.53125,3.288888888888889,2.8458333333333337,0.26666666666666666,0.15000000000000002,18.222222222222225,14.489583333333334
09/13/2014,"South Alabama @ Starkville, Miss.",3-0,3.0,0,0,42.0,9.0,115.0,0.287,41.0,6.0,3.0,63.0,1.0,0.0,12.0,0.0,54.0,0.0,South Alabama,3,14.0,3.0,38.333333333333336,13.666666666666666,2.0,1.0,21.0,0.3333333333333333,0.0,4.0,0.0,18.0,13.444444444444443,11.30925925925926,4.222222222222222,4.801851851851852,38.26666666666666,33.644444444444446,0.24033333333333332,0.17033333333333334,12.888888888888891,10.857407407407406,1.8666666666666665,1.3444444444444443,3.0444444444444443,2.3814814814814813,19.644444444444442,16.264814814814812,0.6666666666666666,0.4722222222222222,3.422222222222222,2.92962962962963,0.0,0.13333333333333336,17.68888888888889,14.59074074074074
09/13/2014,"Northwestern St. @ Starkville, Miss.",3-0,3.0,0,0,36.0,10.0,108.0,0.241,32.0,7.0,5.0,69.0,3.0,1.0,10.0,3.0,49.0,0.0,Northwestern St.,3,12.0,3.333333333333333,36.0,10.666666666666666,2.333333333333333,1.6666666666666667,23.0,1.0,0.3333333333333333,3.333333333333333,1.0,16.333333333333332,12.888888888888891,11.578333333333335,3.7777777777777772,4.621666666666667,37.93333333333333,34.11333333333333,0.24,0.182,12.333333333333334,11.138333333333332,1.9777777777777776,1.41,2.488888888888889,2.243333333333333,19.977777777777778,16.738333333333333,0.5555555555555557,0.425,3.422222222222222,3.036666666666667,0.0,0.12000000000000002,17.133333333333336,14.931666666666667
