date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/29/2014,Providence,3-1,4.0,0,0,62.0,25.0,146.0,0.253,59.0,3.0,6.0,66.0,7.0,6.0,6.0,4.0,74.0,3.0,Providence,4,15.5,6.25,36.5,14.75,0.75,1.5,16.5,1.75,1.5,1.5,1.0,18.5,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/30/2014,The Citadel,3-0,3.0,0,0,50.0,17.0,113.0,0.292,48.0,2.0,9.0,54.0,2.0,0.0,8.0,0.0,56.0,3.0,The Citadel,3,16.666666666666668,5.666666666666667,37.66666666666666,16.0,0.6666666666666666,3.0,18.0,0.6666666666666666,0.0,2.6666666666666665,0.0,18.666666666666668,,7.75,,3.125,,18.25,,0.1265,,7.375,,0.375,,0.75,,8.25,,0.75,,0.75,,0.5,,9.25
08/30/2014,Southern Utah,1-3,4.0,0,0,40.0,30.0,149.0,0.067,39.0,5.0,7.0,68.0,4.0,4.0,6.0,2.0,52.0,7.0,Southern Utah,4,10.0,7.5,37.25,9.75,1.25,1.75,17.0,1.0,1.0,1.5,0.5,13.0,,10.722222222222223,,3.9722222222222228,,24.722222222222218,,0.18166666666666664,,10.25,,0.47222222222222215,,1.5,,11.5,,0.5,,1.3888888888888886,,0.3333333333333333,,12.388888888888891
09/05/2014,"Alabama @ Charlottesville, Va.",1-3,4.0,0,0,43.0,26.0,131.0,0.13,39.0,10.0,14.0,45.0,5.0,3.0,6.0,0.0,59.0,0.0,Alabama,4,10.75,6.5,32.75,9.75,2.5,3.5,11.25,1.25,0.75,1.5,0.0,14.75,14.055555555555557,10.541666666666668,6.472222222222222,4.854166666666667,37.138888888888886,27.854166666666664,0.204,0.15299999999999997,13.5,10.125,0.8888888888888888,0.6666666666666666,2.0833333333333335,1.5625,17.166666666666668,12.875,0.8333333333333334,0.625,1.8888888888888886,1.4166666666666665,0.5,0.375,16.722222222222225,12.541666666666668
09/06/2014,@ Virginia,1-3,4.0,0,0,51.0,24.0,131.0,0.206,50.0,7.0,10.0,54.0,5.0,1.0,8.0,6.0,63.0,0.0,Virginia,4,12.75,6.0,32.75,12.5,1.75,2.5,13.5,1.25,0.25,2.0,1.5,15.75,12.472222222222223,10.583333333333334,6.555555555555556,5.183333333333334,35.888888888888886,28.833333333333332,0.163,0.14839999999999998,11.833333333333334,10.05,1.472222222222222,1.0333333333333332,2.75,1.95,15.416666666666666,12.55,0.5833333333333334,0.65,1.8888888888888886,1.4333333333333331,0.16666666666666666,0.3,15.472222222222223,12.983333333333334
09/06/2014,"LIU @ Charlottesville, Va.",1-3,4.0,0,0,50.0,23.0,146.0,0.185,43.0,4.0,6.0,58.0,10.0,1.0,14.0,5.0,62.0,4.0,LIU,4,12.5,5.75,36.5,10.75,1.0,1.5,14.5,2.5,0.25,3.5,1.25,15.5,11.166666666666666,10.944444444444445,6.666666666666667,5.319444444444445,34.25,29.48611111111111,0.13433333333333333,0.15799999999999997,10.666666666666666,10.458333333333334,1.8333333333333333,1.1527777777777777,2.5833333333333335,2.0416666666666665,13.916666666666666,12.708333333333334,0.6666666666666666,0.5833333333333334,1.6666666666666667,1.5277777777777777,0.6666666666666666,0.5,14.5,13.444444444444445
09/12/2014,@ Cleveland St.,0-3,3.0,0,0,34.0,23.0,134.0,0.082,30.0,1.0,7.0,68.0,8.0,2.0,10.0,0.0,42.0,2.0,Cleveland St.,3,11.333333333333334,7.666666666666667,44.66666666666666,10.0,0.3333333333333333,2.333333333333333,22.666666666666668,2.6666666666666665,0.6666666666666666,3.333333333333333,0.0,14.0,12.0,11.166666666666668,6.083333333333333,5.380952380952381,34.0,30.488095238095237,0.17366666666666666,0.16185714285714284,11.0,10.5,1.75,1.130952380952381,2.5,1.9642857142857142,13.083333333333334,12.964285714285714,0.4166666666666667,0.5357142857142857,2.3333333333333335,1.8095238095238095,0.9166666666666666,0.6071428571428571,15.333333333333334,13.738095238095239
09/13/2014,"Toledo @ Cleveland, Ohio",3-2,5.0,0,0,53.0,28.0,176.0,0.142,47.0,8.0,11.0,83.0,5.0,2.0,8.0,3.0,67.0,1.0,Toledo,5,10.6,5.6,35.2,9.4,1.6,2.2,16.6,1.0,0.4,1.6,0.6,13.4,12.194444444444445,11.1875,6.472222222222221,5.666666666666667,37.97222222222222,32.260416666666664,0.15766666666666665,0.15187499999999998,11.083333333333334,10.4375,1.027777777777778,1.03125,2.111111111111111,2.0104166666666665,16.88888888888889,14.177083333333334,0.38888888888888884,0.5520833333333334,2.944444444444444,2.0,0.9166666666666666,0.53125,15.083333333333334,13.770833333333334
09/13/2014,"Dayton @ Cleveland, OH",0-3,3.0,0,0,38.0,24.0,125.0,0.112,37.0,5.0,5.0,61.0,2.0,2.0,12.0,2.0,51.0,4.0,Dayton,3,12.666666666666666,8.0,41.66666666666666,12.333333333333334,1.6666666666666667,1.6666666666666667,20.33333333333333,0.6666666666666666,0.6666666666666666,4.0,0.6666666666666666,17.0,11.47777777777778,11.122222222222222,6.338888888888889,5.65925925925926,38.788888888888884,32.587037037037035,0.13633333333333333,0.15077777777777776,10.049999999999999,10.322222222222223,0.9777777777777779,1.0944444444444443,2.011111111111111,2.031481481481481,17.92222222222222,14.446296296296298,0.4388888888888889,0.5351851851851852,2.8111111111111113,1.9555555555555557,0.6166666666666667,0.5388888888888889,14.299999999999999,13.729629629629631
09/19/2014,@ Lafayette,3-0,3.0,0,0,30.0,13.0,84.0,0.202,28.0,8.0,6.0,38.0,6.0,0.0,8.0,0.0,42.0,0.0,Lafayette,3,10.0,4.333333333333333,28.0,9.333333333333334,2.6666666666666665,2.0,12.666666666666666,2.0,0.0,2.6666666666666665,0.0,14.0,11.533333333333333,11.276666666666667,7.088888888888889,5.8933333333333335,40.511111111111106,33.49499999999999,0.112,0.14689999999999998,10.577777777777778,10.523333333333333,1.2,1.1516666666666666,2.066666666666667,1.9949999999999999,19.866666666666664,15.035000000000002,0.5777777777777778,0.5483333333333335,2.977777777777778,2.16,0.4222222222222222,0.5516666666666666,14.799999999999999,14.056666666666667
09/26/2014,Lehigh,0-3,3.0,0,0,32.0,23.0,106.0,0.085,32.0,4.0,10.0,43.0,4.0,2.0,2.0,0.0,39.0,3.0,Lehigh,3,10.666666666666666,7.666666666666667,35.333333333333336,10.666666666666666,1.3333333333333333,3.333333333333333,14.333333333333334,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,13.0,11.088888888888889,11.16060606060606,5.977777777777778,5.751515151515152,34.955555555555556,32.99545454545454,0.152,0.15190909090909088,10.355555555555556,10.415151515151514,1.9777777777777779,1.2893939393939393,1.9555555555555557,1.9954545454545454,16.53333333333333,14.81969696969697,0.3555555555555556,0.4984848484848486,2.755555555555555,2.2060606060606065,0.4222222222222222,0.5015151515151515,14.799999999999999,14.05151515151515
09/27/2014,Bucknell,3-2,5.0,0,0,71.0,25.0,177.0,0.26,65.0,7.0,10.0,81.0,2.0,3.0,6.0,3.0,84.0,8.0,Bucknell,5,14.2,5.0,35.4,13.0,1.4,2.0,16.2,0.4,0.6,1.2,0.6,16.8,11.111111111111109,11.119444444444445,6.666666666666667,5.911111111111111,35.0,33.19027777777777,0.13300000000000003,0.14633333333333332,10.777777777777779,10.436111111111112,1.888888888888889,1.2930555555555554,2.3333333333333335,2.1069444444444443,15.777777777777777,14.779166666666669,0.4444444444444444,0.5125000000000001,2.4444444444444446,2.077777777777778,0.2222222222222222,0.4597222222222222,14.666666666666666,13.963888888888889
10/03/2014,@ Colgate,2-3,5.0,0,0,60.0,32.0,190.0,0.147,55.0,4.0,10.0,94.0,3.0,1.0,21.0,1.0,75.5,4.0,Colgate,5,12.0,6.4,38.0,11.0,0.8,2.0,18.8,0.6,0.2,4.2,0.2,15.1,11.622222222222222,11.356410256410255,5.666666666666667,5.841025641025642,32.91111111111111,33.360256410256405,0.18233333333333338,0.15507692307692308,11.0,10.633333333333335,1.7999999999999998,1.301282051282051,2.444444444444444,2.0987179487179484,14.4,14.88846153846154,0.4222222222222222,0.5192307692307693,1.511111111111111,2.0102564102564107,0.19999999999999998,0.4705128205128205,14.6,14.182051282051283
10/10/2014,Army West Point,3-0,3.0,0,0,48.0,17.0,124.0,0.25,46.0,3.0,5.0,52.0,3.0,7.0,2.0,2.0,59.0,2.0,Army West Point,3,16.0,5.666666666666667,41.333333333333336,15.333333333333334,1.0,1.6666666666666667,17.333333333333332,1.0,2.333333333333333,0.6666666666666666,0.6666666666666666,19.666666666666668,12.28888888888889,11.402380952380952,6.355555555555557,5.880952380952381,36.24444444444445,33.691666666666656,0.16400000000000003,0.1545,11.555555555555555,10.65952380952381,1.1777777777777778,1.2654761904761904,2.444444444444444,2.0916666666666663,16.444444444444446,15.167857142857144,0.4888888888888889,0.4964285714285715,2.0222222222222226,2.166666666666667,0.26666666666666666,0.4511904761904762,14.966666666666667,14.247619047619049
