date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/29/2014,"Alabama A&M @ Hattiesburg, Miss.",3-1,4.0,0,0,59.0,17.0,159.0,0.264,54.0,3.0,9.0,59.0,1.0,1.0,4.0,1.0,65.0,5.0,Alabama A&M,4,14.75,4.25,39.75,13.5,0.75,2.25,14.75,0.25,0.25,1.0,0.25,16.25
08/30/2014,@ Southern Miss.,1-3,4.0,0,0,35.0,22.0,130.0,0.1,33.0,2.0,7.0,37.0,5.0,1.0,12.0,2.0,44.0,0.0,Southern Miss.,4,8.75,5.5,32.5,8.25,0.5,1.75,9.25,1.25,0.25,3.0,0.5,11.0
08/30/2014,"Ark.-Pine Bluff @ Hattiesburg, Miss.",3-0,3.0,0,0,39.0,11.0,108.0,0.259,39.0,2.0,6.0,56.0,1.0,3.0,4.0,0.0,46.0,0.0,Ark.-Pine Bluff,3,13.0,3.6666666666666665,36.0,13.0,0.6666666666666666,2.0,18.666666666666668,0.3333333333333333,1.0,1.3333333333333333,0.0,15.333333333333334
09/05/2014,"Southern U. @ Lafayette, La.",3-0,3.0,0,0,34.0,17.0,114.0,0.149,30.0,9.0,10.0,54.0,4.0,4.0,4.0,2.0,49.0,1.0,Southern U.,3,11.333333333333334,5.666666666666667,38.0,10.0,3.0,3.3333333333333335,18.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,16.333333333333332
09/06/2014,"Southern Miss. @ Lafayette, La.",0-3,3.0,0,0,24.0,20.0,114.0,0.035,23.0,0.0,7.0,44.0,2.0,2.0,8.0,0.0,30.0,3.0,Southern Miss.,3,8.0,6.666666666666667,38.0,7.666666666666667,0.0,2.3333333333333335,14.666666666666666,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.0,10.0
09/06/2014,@ Louisiana,0-3,3.0,0,0,33.0,20.0,116.0,0.112,31.0,4.0,8.0,54.0,3.0,1.0,4.0,0.0,40.0,1.0,Louisiana,3,11.0,6.666666666666667,38.666666666666664,10.333333333333334,1.3333333333333333,2.6666666666666665,18.0,1.0,0.3333333333333333,1.3333333333333333,0.0,13.333333333333334
09/12/2014,"Memphis @ Starkville, Miss.",0-3,3.0,0,0,30.0,19.0,123.0,0.089,29.0,5.0,8.0,57.0,7.0,1.0,8.0,0.0,40.0,0.0,Memphis,3,10.0,6.333333333333333,41.0,9.666666666666666,1.6666666666666667,2.6666666666666665,19.0,2.333333333333333,0.3333333333333333,2.6666666666666665,0.0,13.333333333333334
09/13/2014,@ Mississippi St.,0-3,3.0,0,0,27.0,20.0,117.0,0.06,24.0,3.0,8.0,59.0,12.0,1.0,12.0,0.0,37.0,0.0,Mississippi St.,3,9.0,6.666666666666667,39.0,8.0,1.0,2.6666666666666665,19.666666666666668,4.0,0.3333333333333333,4.0,0.0,12.333333333333334
09/13/2014,"South Alabama @ Starkville, Miss.",0-3,3.0,0,0,33.0,21.0,121.0,0.099,32.0,2.0,6.0,53.0,1.0,1.0,8.0,2.0,40.0,0.0,South Alabama,3,11.0,7.0,40.333333333333336,10.666666666666666,0.6666666666666666,2.0,17.666666666666668,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,13.333333333333334
09/19/2014,@ North Florida,1-3,4.0,0,0,54.0,22.0,166.0,0.193,52.0,6.0,7.0,82.0,10.0,0.0,8.0,1.0,64.0,1.0,North Florida,4,13.5,5.5,41.5,13.0,1.5,1.75,20.5,2.5,0.0,2.0,0.25,16.0
