date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/29/2014,TCU,3-0,3.0,0,0,48.0,9.0,91.0,0.429,42.0,2.0,6.0,35.0,0.0,3.0,10.0,4.0,58.0,0.0,TCU,3,16.0,3.0,30.333333333333332,14.0,0.6666666666666666,2.0,11.666666666666666,0.0,1.0,3.3333333333333335,1.3333333333333333,19.333333333333332
08/30/2014,William & Mary,3-0,3.0,0,0,45.0,7.0,66.0,0.576,41.0,4.0,10.0,30.0,0.0,1.0,15.0,1.0,57.5,0.0,William & Mary,3,15.0,2.3333333333333335,22.0,13.666666666666666,1.3333333333333333,3.3333333333333335,10.0,0.0,0.3333333333333333,5.0,0.3333333333333333,19.166666666666668
08/30/2014,Iona,3-0,3.0,0,0,40.0,14.0,79.0,0.329,35.0,4.0,11.0,35.0,1.0,0.0,11.0,0.0,49.5,0.0,Iona,3,13.333333333333334,4.666666666666667,26.333333333333332,11.666666666666666,1.3333333333333333,3.6666666666666665,11.666666666666666,0.3333333333333333,0.0,3.6666666666666665,0.0,16.5
09/05/2014,@ Stanford,2-3,5.0,0,0,71.0,29.0,173.0,0.243,69.0,4.0,14.0,73.0,2.0,2.0,12.0,1.0,83.0,0.0,Stanford,5,14.2,5.8,34.6,13.8,0.8,2.8,14.6,0.4,0.4,2.4,0.2,16.6
09/06/2014,"UCLA @ Stanford, Calif.",3-0,3.0,0,0,43.0,5.0,86.0,0.442,41.0,5.0,6.0,34.0,6.0,1.0,18.0,2.0,58.0,1.0,UCLA,3,14.333333333333334,1.6666666666666667,28.666666666666668,13.666666666666666,1.6666666666666667,2.0,11.333333333333334,2.0,0.3333333333333333,6.0,0.6666666666666666,19.333333333333332
09/12/2014,@ Villanova,3-0,3.0,0,0,54.0,12.0,101.0,0.416,52.0,7.0,7.0,38.0,0.0,2.0,4.0,0.0,65.0,0.0,Villanova,3,18.0,4.0,33.666666666666664,17.333333333333332,2.3333333333333335,2.3333333333333335,12.666666666666666,0.0,0.6666666666666666,1.3333333333333333,0.0,21.666666666666668
09/12/2014,"American @ Villanova, Pa.",3-1,4.0,0,0,49.0,17.0,119.0,0.269,42.0,14.0,9.0,53.0,4.0,2.0,18.0,1.0,74.0,0.0,American,4,12.25,4.25,29.75,10.5,3.5,2.25,13.25,1.0,0.5,4.5,0.25,18.5
09/13/2014,"Kansas @ Villanova, PA",3-0,3.0,0,0,43.0,13.0,94.0,0.319,36.0,6.0,7.0,34.0,4.0,0.0,18.0,0.0,58.0,1.0,Kansas,3,14.333333333333334,4.333333333333333,31.333333333333332,12.0,2.0,2.3333333333333335,11.333333333333334,1.3333333333333333,0.0,6.0,0.0,19.333333333333332
09/13/2014,"Yale @ Villanova, PA",3-0,3.0,0,0,45.0,6.0,93.0,0.419,40.0,3.0,10.0,43.0,2.0,2.0,4.0,2.0,52.0,0.0,Yale,3,15.0,2.0,31.0,13.333333333333334,1.0,3.3333333333333335,14.333333333333334,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,17.333333333333332
09/19/2014,DePaul,3-0,3.0,0,0,38.0,4.0,58.0,0.586,36.0,15.0,8.0,22.0,0.0,3.0,6.0,1.0,59.0,0.0,DePaul,3,12.666666666666666,1.3333333333333333,19.333333333333332,12.0,5.0,2.6666666666666665,7.333333333333333,0.0,1.0,2.0,0.3333333333333333,19.666666666666668
