date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/29/2014,South Alabama,3-0,3.0,0,0,31.0,9.0,97.0,0.227,29.0,11.0,9.0,36.0,6.0,0.0,8.0,4.0,46.0,0.0,South Alabama
08/30/2014,Nevada,3-2,5.0,0,0,59.0,25.0,166.0,0.205,56.0,7.0,8.0,66.0,9.0,1.0,10.0,6.0,72.0,0.0,Nevada
08/30/2014,Oral Roberts,1-3,4.0,0,0,59.0,12.0,126.0,0.373,56.0,2.0,8.0,51.0,11.0,0.0,17.0,3.0,69.5,0.0,Oral Roberts
09/05/2014,"Utah St. @ Irvine, Calif.",3-2,5.0,0,0,61.0,28.0,170.0,0.194,59.0,11.0,9.0,69.0,6.0,0.0,16.0,4.0,80.0,1.0,Utah St.
09/05/2014,@ UC Irvine,2-3,5.0,0,0,58.0,14.0,162.0,0.272,52.0,7.0,10.0,64.0,8.0,4.0,14.0,6.0,76.0,0.0,UC Irvine
09/06/2014,"Idaho @ Irvine, Calif.",1-3,4.0,0,0,51.0,18.0,134.0,0.246,48.0,6.0,10.0,57.0,11.0,3.0,12.0,2.0,66.0,0.0,Idaho
09/12/2014,@ Creighton,1-3,4.0,0,0,45.0,20.0,134.0,0.187,44.0,4.0,11.0,63.0,3.0,0.0,14.0,2.0,56.0,1.0,Creighton
09/13/2014,"Bowling Green @ Omaha, Neb.",3-0,3.0,0,0,44.0,10.0,96.0,0.354,42.0,8.0,3.0,42.0,2.0,2.0,8.0,0.0,58.0,0.0,Bowling Green
09/13/2014,"Wichita St. @ Omaha, Neb.",1-3,4.0,0,0,59.0,23.0,143.0,0.252,54.0,3.0,6.0,55.0,9.0,0.0,16.0,1.0,70.0,0.0,Wichita St.
09/19/2014,"N.C. Central @ Tempe, Ariz.",3-0,3.0,0,0,41.0,15.0,110.0,0.236,40.0,8.0,10.0,44.0,4.0,7.0,2.0,0.0,57.0,0.0,N.C. Central
09/20/2014,"Colorado St. @ Tempe, Ariz.",0-3,3.0,0,0,40.0,25.0,123.0,0.122,40.0,4.0,9.0,43.0,2.0,1.0,2.0,0.0,46.0,0.0,Colorado St.
09/20/2014,@ Arizona St.,0-3,3.0,0,0,40.0,15.0,118.0,0.212,38.0,5.0,5.0,51.0,4.0,1.0,6.0,0.0,49.0,0.0,Arizona St.
09/25/2014,@ Saint Mary's (CA),3-2,5.0,0,0,61.0,18.0,177.0,0.243,57.0,11.0,12.0,91.0,6.0,1.0,24.0,5.0,85.0,5.0,Saint Mary's 
09/27/2014,@ Pacific,0-3,3.0,0,0,23.0,23.0,127.0,0.0,20.0,0.0,5.0,49.0,4.0,1.0,12.0,1.0,30.0,1.0,Pacific
09/30/2014,BYU,0-3,3.0,0,0,41.0,17.0,130.0,0.185,39.0,2.0,10.0,60.0,1.0,0.0,10.0,1.0,48.0,1.0,BYU
10/02/2014,@ Gonzaga,1-3,4.0,0,0,39.0,27.0,139.0,0.086,34.0,7.0,10.0,46.0,4.0,3.0,8.0,2.0,53.0,0.0,Gonzaga
10/04/2014,@ Portland,3-1,4.0,0,0,60.0,19.0,146.0,0.281,56.0,11.0,14.0,57.0,10.0,1.0,10.0,5.0,77.0,1.0,Portland
10/11/2014,LMU (CA),0-3,3.0,0,0,44.0,11.0,102.0,0.324,41.0,3.0,13.0,26.0,3.0,0.0,8.0,1.0,51.0,0.0,LMU 
10/16/2014,Santa Clara,1-3,4.0,0,0,59.0,16.0,175.0,0.246,57.0,6.0,12.0,59.0,7.0,0.0,18.0,2.0,74.0,0.0,Santa Clara
10/18/2014,San Francisco,1-3,4.0,0,0,54.0,21.0,152.0,0.217,51.0,4.0,13.0,64.0,1.0,0.0,12.0,1.0,64.0,0.0,San Francisco
10/23/2014,@ San Diego,0-3,3.0,0,0,26.0,18.0,113.0,0.071,25.0,4.0,6.0,36.0,4.0,0.0,20.0,2.0,40.0,0.0,San Diego
10/25/2014,@ BYU,1-3,4.0,0,0,52.0,32.0,133.0,0.15,49.0,2.0,9.0,48.0,6.0,1.0,21.0,1.0,65.5,0.0,BYU
10/30/2014,Portland,3-0,3.0,0,0,43.0,5.0,104.0,0.365,41.0,8.0,6.0,47.0,3.0,1.0,12.0,0.0,58.0,0.0,Portland
11/01/2014,Gonzaga,3-0,3.0,0,0,52.0,8.0,114.0,0.386,51.0,8.0,6.0,54.0,3.0,1.0,10.0,1.0,66.0,1.0,Gonzaga
11/08/2014,@ LMU (CA),0-3,3.0,0,0,40.0,16.0,116.0,0.207,37.0,2.0,8.0,38.0,5.0,0.0,14.0,0.0,49.0,1.0,LMU 
11/13/2014,@ San Francisco,3-1,4.0,0,0,69.0,17.0,155.0,0.335,66.0,6.0,10.0,62.0,6.0,2.0,10.0,0.0,82.0,0.0,San Francisco
11/15/2014,@ Santa Clara,3-1,4.0,0,0,51.0,15.0,137.0,0.263,47.0,6.0,6.0,48.0,7.0,2.0,20.0,1.0,69.0,1.0,Santa Clara
11/20/2014,Pacific,1-3,4.0,0,0,48.0,19.0,144.0,0.201,47.0,6.0,9.0,45.0,4.0,2.0,11.0,6.0,61.5,2.0,Pacific
11/22/2014,Saint Mary's (CA),3-1,4.0,0,0,56.0,18.0,145.0,0.262,51.0,8.0,10.0,69.0,8.0,2.0,16.0,1.0,74.0,1.0,Saint Mary's 
11/25/2014,San Diego,0-3,3.0,0,0,42.0,18.0,131.0,0.183,40.0,4.0,5.0,53.0,2.0,0.0,10.0,2.0,51.0,1.0,San Diego
