date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/29/2014,SMU,3-0,3.0,0,0,48.0,13.0,113.0,0.31,44.0,5.0,3.0,59.0,1.0,2.0,2.0,2.0,56.0,0.0,SMU,3,16.0,4.333333333333333,37.666666666666664,14.666666666666666,1.6666666666666667,1.0,19.666666666666668,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,18.666666666666668
08/30/2014,Georgia,3-1,4.0,0,0,62.0,34.0,153.0,0.183,58.0,7.0,4.0,66.0,7.0,2.0,14.0,1.0,78.0,0.0,Georgia,4,15.5,8.5,38.25,14.5,1.75,1.0,16.5,1.75,0.5,3.5,0.25,19.5
08/30/2014,Fordham,3-0,3.0,0,0,41.0,7.0,69.0,0.493,39.0,7.0,6.0,41.0,3.0,1.0,16.0,1.0,57.0,0.0,Fordham,3,13.666666666666666,2.3333333333333335,23.0,13.0,2.3333333333333335,2.0,13.666666666666666,1.0,0.3333333333333333,5.333333333333333,0.3333333333333333,19.0
09/05/2014,"Campbell @ Long Beach, Calif.",3-1,4.0,0,0,63.0,25.0,162.0,0.235,59.0,6.0,6.0,76.0,4.0,0.0,8.0,2.0,73.0,2.0,Campbell,4,15.75,6.25,40.5,14.75,1.5,1.5,19.0,1.0,0.0,2.0,0.5,18.25
09/06/2014,@ Long Beach St.,1-3,4.0,0,0,43.0,30.0,147.0,0.088,37.0,8.0,3.0,63.0,5.0,2.0,14.0,5.0,60.0,1.0,Long Beach St.,4,10.75,7.5,36.75,9.25,2.0,0.75,15.75,1.25,0.5,3.5,1.25,15.0
09/06/2014,"Army West Point @ Long Beach, Calif.",3-0,3.0,0,0,45.0,14.0,98.0,0.316,43.0,7.0,2.0,42.0,4.0,0.0,16.0,2.0,60.0,0.0,Army West Point,3,15.0,4.666666666666667,32.666666666666664,14.333333333333334,2.3333333333333335,0.6666666666666666,14.0,1.3333333333333333,0.0,5.333333333333333,0.6666666666666666,20.0
09/11/2014,"UCLA @ Honolulu, Hawai'i",0-3,3.0,0,0,24.0,16.0,86.0,0.093,23.0,5.0,9.0,24.0,0.0,1.0,2.0,0.0,31.0,1.0,UCLA,3,8.0,5.333333333333333,28.666666666666668,7.666666666666667,1.6666666666666667,3.0,8.0,0.0,0.3333333333333333,0.6666666666666666,0.0,10.333333333333334
09/12/2014,"Utah St. @ Honolulu, O'ahu",1-3,4.0,0,0,63.0,34.0,185.0,0.157,61.0,6.0,6.0,80.0,7.0,1.0,20.0,3.0,80.0,1.0,Utah St.,4,15.75,8.5,46.25,15.25,1.5,1.5,20.0,1.75,0.25,5.0,0.75,20.0
09/14/2014,@ Hawaii,1-3,4.0,0,0,49.0,23.0,127.0,0.205,44.0,3.0,7.0,41.0,5.0,1.0,18.0,3.0,62.0,1.0,Hawaii,4,12.25,5.75,31.75,11.0,0.75,1.75,10.25,1.25,0.25,4.5,0.75,15.5
09/19/2014,@ Denver,2-3,5.0,0,0,63.0,25.0,176.0,0.216,59.0,4.0,5.0,81.0,3.0,10.0,14.0,4.0,84.0,2.0,Denver,5,12.6,5.0,35.2,11.8,0.8,1.0,16.2,0.6,2.0,2.8,0.8,16.8
09/20/2014,"Nevada @ Denver, Colo.",3-0,3.0,0,0,37.0,14.0,87.0,0.264,34.0,6.0,4.0,54.0,3.0,6.0,8.0,0.0,53.0,0.0,Nevada,3,12.333333333333334,4.666666666666667,29.0,11.333333333333334,2.0,1.3333333333333333,18.0,1.0,2.0,2.6666666666666665,0.0,17.666666666666668
09/20/2014,"UTEP @ Denver, Colo.",3-2,5.0,0,0,58.0,35.0,163.0,0.141,53.0,6.0,6.0,72.0,6.0,2.0,10.0,1.0,71.0,1.0,UTEP,5,11.6,7.0,32.6,10.6,1.2,1.2,14.4,1.2,0.4,2.0,0.2,14.2
09/26/2014,Santa Clara,3-0,3.0,0,0,40.0,14.0,106.0,0.245,37.0,3.0,3.0,53.0,0.0,5.0,14.0,0.0,55.0,1.0,Santa Clara,3,13.333333333333334,4.666666666666667,35.333333333333336,12.333333333333334,1.0,1.0,17.666666666666668,0.0,1.6666666666666667,4.666666666666667,0.0,18.333333333333332
09/30/2014,Saint Mary's (CA),3-0,3.0,0,0,48.0,17.0,109.0,0.284,42.0,3.0,6.0,51.0,3.0,1.0,8.0,0.0,56.0,2.0,Saint Mary's ,3,16.0,5.666666666666667,36.333333333333336,14.0,1.0,2.0,17.0,1.0,0.3333333333333333,2.6666666666666665,0.0,18.666666666666668
10/02/2014,@ BYU,1-3,4.0,0,0,48.0,31.0,123.0,0.138,46.0,5.0,8.0,30.0,2.0,0.0,6.0,0.0,56.0,1.0,BYU,4,12.0,7.75,30.75,11.5,1.25,2.0,7.5,0.5,0.0,1.5,0.0,14.0
10/04/2014,@ San Diego,1-3,4.0,0,0,48.0,21.0,149.0,0.181,43.0,4.0,5.0,54.0,5.0,3.0,20.0,4.0,65.0,0.0,San Diego,4,12.0,5.25,37.25,10.75,1.0,1.25,13.5,1.25,0.75,5.0,1.0,16.25
10/09/2014,Gonzaga,2-3,5.0,0,0,63.0,30.0,174.0,0.19,60.0,4.0,8.0,70.0,2.0,1.0,14.0,3.0,75.0,0.0,Gonzaga,5,12.6,6.0,34.8,12.0,0.8,1.6,14.0,0.4,0.2,2.8,0.6,15.0
10/11/2014,Portland,3-2,5.0,0,0,70.0,38.0,200.0,0.16,66.0,8.0,3.0,109.0,5.0,0.0,16.0,3.0,86.0,0.0,Portland,5,14.0,7.6,40.0,13.2,1.6,0.6,21.8,1.0,0.0,3.2,0.6,17.2
