date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/29/2014,"Lehigh @ Buffalo, NY",3-0,3.0,0,0,41.0,18.0,140.0,0.164,36.0,8.0,5.0,68.0,2.0,1.0,12.0,0.0,56.0,0.0,Lehigh,3,13.666666666666666,6.0,46.66666666666666,12.0,2.6666666666666665,1.6666666666666667,22.666666666666668,0.6666666666666666,0.3333333333333333,4.0,0.0,18.666666666666668,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/29/2014,"Ole Miss @ Buffalo, NY",0-3,3.0,0,0,33.0,18.0,98.0,0.153,32.0,3.0,4.0,41.0,5.0,1.0,6.0,0.0,40.0,0.0,Ole Miss,3,11.0,6.0,32.666666666666664,10.666666666666666,1.0,1.3333333333333333,13.666666666666666,1.6666666666666667,0.3333333333333333,2.0,0.0,13.333333333333334,,6.833333333333333,,3.0,,23.33333333333333,,0.082,,6.0,,1.3333333333333333,,0.8333333333333334,,11.333333333333334,,0.16666666666666666,,2.0,,0.0,,9.333333333333334
08/30/2014,@ Buffalo,0-3,3.0,0,0,28.0,16.0,106.0,0.113,26.0,0.0,3.0,47.0,6.0,0.0,11.0,0.0,33.5,2.0,Buffalo,3,9.333333333333334,5.333333333333333,35.333333333333336,8.666666666666666,0.0,1.0,15.666666666666666,2.0,0.0,3.6666666666666665,0.0,11.166666666666666,,8.222222222222221,,4.0,,26.44444444444444,,0.10566666666666667,,7.5555555555555545,,1.222222222222222,,1.0,,12.111111111111112,,0.2222222222222222,,2.0,,0.0,,10.666666666666666
09/05/2014,"Rutgers @ South Orange, N.J.",0-3,3.0,0,0,22.0,17.0,102.0,0.049,21.0,2.0,3.0,36.0,5.0,1.0,6.0,2.0,28.0,0.0,Rutgers,3,7.333333333333333,5.666666666666667,34.0,7.0,0.6666666666666666,1.0,12.0,1.6666666666666667,0.3333333333333333,2.0,0.6666666666666666,9.333333333333334,11.333333333333334,8.5,5.777777777777778,4.333333333333333,38.22222222222222,28.666666666666664,0.14333333333333334,0.1075,10.444444444444445,7.833333333333332,1.222222222222222,0.9166666666666666,1.3333333333333333,1.0,17.333333333333332,13.0,0.2222222222222222,0.16666666666666666,3.222222222222222,2.4166666666666665,0.0,0.0,14.388888888888891,10.791666666666666
09/05/2014,@ Seton Hall,0-3,3.0,0,0,29.0,19.0,105.0,0.095,27.0,1.0,4.0,50.0,3.0,3.0,6.0,1.0,36.0,0.0,Seton Hall,3,9.666666666666666,6.333333333333333,35.0,9.0,0.3333333333333333,1.3333333333333333,16.666666666666668,1.0,1.0,2.0,0.3333333333333333,12.0,9.222222222222223,8.266666666666667,5.666666666666667,4.6,34.0,29.73333333333333,0.10500000000000002,0.0958,8.777777777777777,7.666666666666666,0.5555555555555555,0.8666666666666666,1.111111111111111,1.0,13.777777777777777,12.8,0.2222222222222222,0.2,2.5555555555555554,2.333333333333333,0.2222222222222222,0.13333333333333333,11.277777777777779,10.5
09/06/2014,"UNLV @ South Orange, N.J.",0-3,3.0,0,0,25.0,18.0,94.0,0.074,25.0,1.0,3.0,45.0,2.0,0.0,10.0,0.0,31.0,1.0,UNLV,3,8.333333333333334,6.0,31.33333333333333,8.333333333333334,0.3333333333333333,1.0,15.0,0.6666666666666666,0.0,3.333333333333333,0.0,10.333333333333334,8.777777777777777,8.5,5.777777777777778,4.888888888888888,34.77777777777778,30.61111111111111,0.08566666666666667,0.09566666666666666,8.222222222222221,7.888888888888888,0.3333333333333333,0.7777777777777777,1.111111111111111,1.0555555555555556,14.777777777777779,13.444444444444445,0.4444444444444444,0.3333333333333333,2.5555555555555554,2.2777777777777777,0.3333333333333333,0.16666666666666666,10.833333333333334,10.75
09/06/2014,"Cornell @ South Orange, N.J.",2-3,5.0,0,0,53.0,20.0,160.0,0.206,52.0,6.0,6.0,74.0,4.0,0.0,23.0,5.0,70.5,0.0,Cornell,5,10.6,4.0,32.0,10.4,1.2,1.2,14.8,0.8,0.0,4.6,1.0,14.1,8.444444444444445,8.476190476190476,6.0,5.047619047619047,33.44444444444444,30.714285714285715,0.07266666666666667,0.09257142857142855,8.111111111111112,7.952380952380952,0.4444444444444444,0.7142857142857142,1.111111111111111,1.0476190476190477,14.555555555555557,13.666666666666668,0.4444444444444444,0.2857142857142857,2.444444444444444,2.4285714285714284,0.3333333333333333,0.14285714285714285,10.555555555555555,10.69047619047619
09/09/2014,Binghamton,0-3,3.0,0,0,41.0,28.0,152.0,0.086,36.0,2.0,3.0,66.0,3.0,1.0,8.0,3.0,48.0,5.0,Binghamton,3,13.666666666666666,9.333333333333334,50.66666666666666,12.0,0.6666666666666666,1.0,22.0,1.0,0.3333333333333333,2.6666666666666665,1.0,16.0,9.533333333333333,8.741666666666667,5.444444444444444,4.916666666666666,32.77777777777778,30.875,0.125,0.10674999999999998,9.244444444444445,8.258333333333333,0.6222222222222222,0.7749999999999999,1.1777777777777778,1.0666666666666667,15.488888888888889,13.808333333333334,0.3333333333333333,0.25,3.3111111111111113,2.7,0.4444444444444445,0.25,12.144444444444446,11.116666666666665
09/12/2014,Sacred Heart @ Unknown,1-3,4.0,0,0,37.0,16.0,110.0,0.191,35.0,4.0,4.0,39.0,11.0,0.0,40.0,2.0,61.0,3.0,Sacred Heart,4,9.25,4.0,27.5,8.75,1.0,1.0,9.75,2.75,0.0,10.0,0.5,15.25,10.866666666666667,9.28888888888889,6.4444444444444455,5.407407407407407,37.99999999999999,33.07407407407407,0.122,0.10444444444444442,10.244444444444445,8.674074074074074,0.7333333333333333,0.762962962962963,1.0666666666666667,1.0592592592592593,17.266666666666666,14.718518518518518,0.1111111111111111,0.2592592592592593,3.533333333333333,2.6962962962962966,0.6666666666666666,0.3333333333333333,13.47777777777778,11.659259259259258
09/13/2014,@ Hofstra,0-3,3.0,0,0,20.0,22.0,80.0,-0.025,20.0,1.0,2.0,28.0,4.0,0.0,4.0,2.0,23.0,0.0,Hofstra,3,6.666666666666667,7.333333333333333,26.666666666666668,6.666666666666667,0.3333333333333333,0.6666666666666666,9.333333333333334,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,7.666666666666667,11.172222222222222,9.285,5.777777777777779,5.266666666666667,36.72222222222222,32.516666666666666,0.161,0.11309999999999998,10.383333333333333,8.681666666666667,0.9555555555555554,0.7866666666666666,1.0666666666666667,1.0533333333333332,15.516666666666666,14.221666666666668,0.1111111111111111,0.23333333333333334,5.7555555555555555,3.4266666666666667,0.8333333333333334,0.35,15.116666666666667,12.018333333333333
