date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/29/2014,Gardner-Webb,3-0,3.0,0,0,39.0,15.0,101.0,0.238,31.0,2.0,4.0,44.0,0.0,0.0,20.0,2.0,51.0,1.0,Gardner-Webb
08/30/2014,Georgia Tech,3-1,4.0,0,0,53.0,19.0,132.0,0.258,49.0,6.0,5.0,60.0,0.0,0.0,24.0,3.0,71.0,0.0,Georgia Tech
08/30/2014,Jacksonville,3-1,4.0,0,0,40.0,22.0,115.0,0.157,39.0,6.0,4.0,52.0,2.0,4.0,24.0,0.0,62.0,3.0,Jacksonville
09/05/2014,"Clemson @ Rock Hill, SC",1-3,4.0,0,0,36.0,26.0,134.0,0.075,34.0,7.0,5.0,55.0,6.0,2.0,12.0,2.0,51.0,0.0,Clemson
09/06/2014,"Furman @ Rock Hill, SC",2-3,5.0,0,0,61.0,26.0,192.0,0.182,58.0,7.0,8.0,91.0,5.0,4.0,20.0,2.0,82.0,1.0,Furman
09/06/2014,@ Winthrop,3-0,3.0,0,0,36.0,15.0,107.0,0.196,33.0,1.0,1.0,54.0,4.0,1.0,22.0,1.0,49.0,1.0,Winthrop
09/12/2014,@ Campbell,3-0,3.0,0,0,48.0,14.0,115.0,0.296,44.0,3.0,5.0,60.0,4.0,0.0,10.0,0.0,56.0,1.0,Campbell
09/13/2014,"North Florida @ Buies Creek, N.C.",3-1,4.0,0,0,53.0,21.0,130.0,0.246,49.0,4.0,4.0,58.0,12.0,3.0,12.0,3.0,66.0,2.0,North Florida
09/13/2014,"Elon @ Buies Creek, N.C.",3-0,3.0,0,0,42.0,9.0,102.0,0.324,40.0,1.0,2.0,59.0,1.0,2.0,8.0,4.0,49.0,1.0,Elon
09/19/2014,Norfolk St.,3-0,3.0,0,0,36.0,8.0,91.0,0.308,35.0,3.0,2.0,44.0,2.0,0.0,12.0,3.0,45.0,2.0,Norfolk St.
09/19/2014,Eastern Ky.,3-2,5.0,0,0,57.0,29.0,166.0,0.169,53.0,2.0,3.0,77.0,8.0,0.0,34.0,0.0,76.0,1.0,Eastern Ky.
09/20/2014,The Citadel,3-0,3.0,0,0,43.0,7.0,89.0,0.404,41.0,2.0,3.0,48.0,1.0,0.0,16.0,2.0,53.0,1.0,The Citadel
09/26/2014,Ole Miss,3-2,5.0,0,0,69.0,34.0,190.0,0.184,63.0,3.0,9.0,74.0,3.0,3.0,24.0,4.0,87.0,1.0,Ole Miss
09/28/2014,Kentucky,1-3,4.0,0,0,46.0,18.0,123.0,0.228,45.0,1.0,7.0,42.0,6.0,4.0,8.0,2.0,55.0,0.0,Kentucky
10/03/2014,@ Mississippi St.,3-0,3.0,0,0,38.0,12.0,109.0,0.239,38.0,5.0,2.0,59.0,4.0,1.0,16.0,1.0,52.0,0.0,Mississippi St.
10/05/2014,@ Auburn,3-2,5.0,0,0,56.0,24.0,152.0,0.211,54.0,2.0,4.0,60.0,4.0,3.0,16.0,1.0,69.0,1.0,Auburn
10/12/2014,@ Alabama,1-3,4.0,0,0,47.0,26.0,132.0,0.159,44.0,5.0,10.0,50.0,7.0,0.0,14.0,2.0,59.0,0.0,Alabama
10/15/2014,Florida,1-3,4.0,0,0,40.0,24.0,135.0,0.119,37.0,0.0,7.0,51.0,6.0,1.0,6.0,2.0,44.0,2.0,Florida
10/19/2014,Texas A&M,2-3,5.0,0,0,48.0,33.0,142.0,0.106,45.0,5.0,6.0,54.0,6.0,4.0,16.0,4.0,65.0,1.0,Texas A&M
10/21/2014,@ Coastal Carolina,0-3,3.0,0,0,27.0,21.0,117.0,0.051,26.0,1.0,4.0,60.0,2.0,1.0,4.0,0.0,31.0,0.0,Coastal Carolina
10/24/2014,Mississippi St.,3-1,4.0,0,0,65.0,22.0,157.0,0.274,63.0,4.0,6.0,71.0,5.0,3.0,24.0,0.0,84.0,2.0,Mississippi St.
10/26/2014,Missouri,3-1,4.0,0,0,60.0,16.0,123.0,0.358,56.0,7.0,5.0,50.0,7.0,1.0,8.0,3.0,72.0,0.0,Missouri
10/31/2014,@ LSU,1-3,4.0,0,0,44.0,15.0,127.0,0.228,42.0,2.0,7.0,58.0,6.0,0.0,20.0,3.0,56.0,1.0,LSU
