date,opponent/venue,result,sets,mp,ms,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/29/2014,@ Ball St.,0-3,3.0,0,0,25.0,22.0,102.0,0.029,24.0,3.0,12.0,42.0,1.0,3.0,2.0,1.0,32.0,2.0,Ball St.,3,8.333333333333334,7.333333333333333,34.0,8.0,1.0,4.0,14.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,10.666666666666666,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/30/2014,"Eastern Ill. @ Muncie, Ind.",0-3,3.0,0,0,30.0,18.0,98.0,0.122,27.0,2.0,7.0,40.0,6.0,2.0,4.0,2.0,36.0,1.0,Eastern Ill.,3,10.0,6.0,32.666666666666664,9.0,0.6666666666666666,2.333333333333333,13.333333333333334,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,12.0,,4.166666666666667,,3.6666666666666665,,17.0,,0.0145,,4.0,,0.5,,2.0,,7.0,,0.5,,0.3333333333333333,,0.16666666666666666,,5.333333333333333
08/30/2014,"Northern Colo. @ Muncie, Ind.",1-3,4.0,0,0,47.0,26.0,138.0,0.152,44.0,6.0,7.0,54.0,4.0,2.0,10.0,0.0,60.0,1.0,Northern Colo.,4,11.75,6.5,34.5,11.0,1.5,1.75,13.5,1.0,0.5,2.5,0.0,15.0,,6.111111111111112,,4.444444444444444,,22.222222222222218,,0.050333333333333334,,5.666666666666667,,0.5555555555555555,,2.111111111111111,,9.111111111111112,,0.5555555555555555,,0.6666666666666666,,0.3333333333333333,,7.5555555555555545
09/05/2014,Eastern Ill.,2-3,5.0,0,0,56.0,32.0,182.0,0.132,53.0,7.0,4.0,79.0,6.0,1.0,20.0,3.0,74.0,0.0,Eastern Ill.,5,11.2,6.4,36.4,10.6,1.4,0.8,15.8,1.2,0.2,4.0,0.6,14.8,10.027777777777779,7.520833333333334,6.611111111111111,4.958333333333333,33.72222222222222,25.291666666666664,0.10099999999999999,0.07575,9.333333333333334,7.0,1.0555555555555556,0.7916666666666666,2.694444444444444,2.020833333333333,13.611111111111112,10.208333333333334,0.7222222222222222,0.5416666666666666,1.5,1.125,0.3333333333333333,0.25,12.555555555555555,9.416666666666666
09/06/2014,Saint Louis,0-3,3.0,0,0,31.0,23.0,108.0,0.074,28.0,3.0,3.0,36.0,5.0,1.0,10.0,0.0,40.0,0.0,Saint Louis,3,10.333333333333334,7.666666666666667,36.0,9.333333333333334,1.0,1.0,12.0,1.6666666666666667,0.3333333333333333,3.333333333333333,0.0,13.333333333333334,10.983333333333333,8.256666666666666,6.300000000000001,5.246666666666667,34.52222222222222,27.513333333333332,0.13533333333333333,0.087,10.200000000000001,7.720000000000001,1.1888888888888889,0.9133333333333333,1.6277777777777775,1.7766666666666666,14.21111111111111,11.326666666666668,0.45555555555555555,0.47333333333333333,2.611111111111111,1.7,0.4222222222222222,0.32,13.933333333333335,10.493333333333334
09/06/2014,UTEP,1-3,4.0,0,0,49.0,36.0,171.0,0.076,49.0,3.0,5.0,91.0,8.0,2.0,24.0,0.0,66.0,0.0,UTEP,4,12.25,9.0,42.75,12.25,0.75,1.25,22.75,2.0,0.5,6.0,0.0,16.5,11.094444444444443,8.602777777777778,6.855555555555557,5.6499999999999995,35.63333333333333,28.927777777777777,0.11933333333333335,0.08483333333333333,10.311111111111112,7.98888888888889,1.3,0.9277777777777777,1.1833333333333333,1.6472222222222221,13.766666666666666,11.43888888888889,0.3444444444444444,0.45,3.2777777777777772,1.972222222222222,0.19999999999999998,0.26666666666666666,14.37777777777778,10.966666666666667
09/09/2014,Bradley,3-1,4.0,0,0,46.0,27.0,145.0,0.131,43.0,8.0,6.0,62.0,2.0,2.0,14.0,3.0,63.0,0.0,Bradley,4,11.5,6.75,36.25,10.75,2.0,1.5,15.5,0.5,0.5,3.5,0.75,15.75,11.261111111111111,9.123809523809523,7.68888888888889,6.128571428571428,38.38333333333333,30.902380952380952,0.09400000000000001,0.08357142857142856,10.72777777777778,8.597619047619048,1.05,0.9023809523809524,1.0166666666666666,1.5904761904761904,16.849999999999998,13.054761904761905,0.3444444444444444,0.4571428571428572,4.444444444444444,2.5476190476190474,0.19999999999999998,0.2285714285714286,14.87777777777778,11.757142857142856
09/12/2014,"Buffalo @ Chicago, Ill.",0-3,3.0,0,0,31.0,21.0,102.0,0.098,27.0,5.0,6.0,37.0,5.0,0.0,6.0,1.0,39.0,0.0,Buffalo,3,10.333333333333334,7.0,34.0,9.0,1.6666666666666667,2.0,12.333333333333334,1.6666666666666667,0.0,2.0,0.3333333333333333,13.0,11.361111111111112,9.420833333333334,7.8055555555555545,6.20625,38.333333333333336,31.570833333333333,0.09366666666666668,0.0895,10.777777777777777,8.866666666666667,1.25,1.0395833333333333,1.25,1.5791666666666666,16.75,13.360416666666667,0.4444444444444445,0.4625,4.277777777777778,2.6666666666666665,0.25,0.29375,15.194444444444443,12.25625
09/13/2014,"Eastern Ky. @ Chicago, Ill.",0-3,3.0,0,0,41.0,21.0,131.0,0.153,37.0,5.0,6.0,55.0,6.0,2.0,12.0,1.0,54.0,0.0,Eastern Ky.,3,13.666666666666666,7.0,43.66666666666666,12.333333333333334,1.6666666666666667,2.0,18.33333333333333,2.0,0.6666666666666666,4.0,0.3333333333333333,18.0,11.361111111111112,9.522222222222222,7.583333333333333,6.294444444444444,37.666666666666664,31.840740740740742,0.10166666666666667,0.09044444444444444,10.666666666666666,8.881481481481481,1.4722222222222223,1.1092592592592592,1.5833333333333333,1.6259259259259258,16.86111111111111,13.246296296296297,0.3333333333333333,0.41111111111111115,3.8333333333333335,2.5925925925925926,0.3611111111111111,0.29814814814814816,15.083333333333334,12.338888888888889
09/13/2014,@ UIC,3-2,5.0,0,0,48.0,16.0,154.0,0.208,46.0,11.0,6.0,52.0,5.0,4.0,22.0,1.0,74.0,0.0,UIC,5,9.6,3.2,30.8,9.2,2.2,1.2,10.4,1.0,0.8,4.4,0.2,14.8,11.833333333333334,9.936666666666667,6.916666666666667,6.365,37.97222222222222,33.02333333333333,0.12733333333333333,0.0967,10.694444444444445,9.226666666666667,1.777777777777778,1.1649999999999998,1.8333333333333333,1.6633333333333333,15.388888888888888,13.755,0.38888888888888884,0.4366666666666667,3.1666666666666665,2.7333333333333334,0.47222222222222215,0.3016666666666667,15.583333333333334,12.905000000000001
