date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/28/2015,Howard,3-0,3.0,0,42.0,12.0,102.0,0.294,40.0,1.0,5.0,51.0,1.0,3.0,11.0,2.0,51.5,2.0,Howard,3,14.0,4.0,34.0,13.333333333333334,0.3333333333333333,1.6666666666666667,17.0,0.3333333333333333,1.0,3.6666666666666665,0.6666666666666666,17.166666666666668,0.6666666666666666
08/29/2015,"Georgetown @ Fairfax, Va.",3-1,4.0,0,44.0,12.0,126.0,0.254,37.0,10.0,6.0,61.0,8.0,3.0,20.0,0.0,67.0,0.0,Georgetown,4,11.0,3.0,31.5,9.25,2.5,1.5,15.25,2.0,0.75,5.0,0.0,16.75,0.0
08/29/2015,@ George Mason,3-0,3.0,0,45.0,13.0,114.0,0.281,40.0,6.0,6.0,61.0,1.0,3.0,8.0,0.0,58.0,0.0,George Mason,3,15.0,4.333333333333333,38.0,13.333333333333334,2.0,2.0,20.333333333333332,0.3333333333333333,1.0,2.6666666666666665,0.0,19.333333333333332,0.0
08/30/2015,Florida,1-3,4.0,0,51.0,18.0,138.0,0.239,49.0,3.0,10.0,51.0,5.0,2.0,8.0,3.0,60.0,2.0,Florida,4,12.75,4.5,34.5,12.25,0.75,2.5,12.75,1.25,0.5,2.0,0.75,15.0,0.5
09/04/2015,"UCLA @ Honolulu, Hawai'i",0-3,3.0,0,30.0,15.0,113.0,0.133,29.0,0.0,9.0,50.0,3.0,0.0,16.0,1.0,38.0,0.0,UCLA,3,10.0,5.0,37.666666666666664,9.666666666666666,0.0,3.0,16.666666666666668,1.0,0.0,5.333333333333333,0.3333333333333333,12.666666666666666,0.0
09/05/2015,@ Hawaii,0-3,3.0,0,32.0,12.0,78.0,0.256,28.0,4.0,7.0,23.0,7.0,3.0,10.0,1.0,44.0,0.0,Hawaii,3,10.666666666666666,4.0,26.0,9.333333333333334,1.3333333333333333,2.3333333333333335,7.666666666666667,2.333333333333333,1.0,3.3333333333333335,0.3333333333333333,14.666666666666666,0.0
09/06/2015,"Iowa @ Honolulu, O`ahu",1-3,4.0,0,48.0,22.0,148.0,0.176,43.0,2.0,7.0,54.0,5.0,2.0,20.0,2.0,62.0,1.0,Iowa,4,12.0,5.5,37.0,10.75,0.5,1.75,13.5,1.25,0.5,5.0,0.5,15.5,0.25
09/11/2015,"Northeastern @ New York, N.Y.",3-0,3.0,0,44.0,8.0,106.0,0.34,39.0,3.0,8.0,55.0,2.0,2.0,10.0,0.0,54.0,0.0,Northeastern,3,14.666666666666666,2.6666666666666665,35.333333333333336,13.0,1.0,2.6666666666666665,18.333333333333332,0.6666666666666666,0.6666666666666666,3.3333333333333335,0.0,18.0,0.0
09/12/2015,"NJIT @ New York, N.Y.",3-0,3.0,0,30.0,10.0,72.0,0.278,26.0,5.0,6.0,32.0,5.0,4.0,20.0,3.0,49.0,0.0,NJIT,3,10.0,3.3333333333333335,24.0,8.666666666666666,1.6666666666666667,2.0,10.666666666666666,1.6666666666666667,1.3333333333333333,6.666666666666667,1.0,16.333333333333332,0.0
09/12/2015,@ Columbia,3-0,3.0,0,43.0,19.0,132.0,0.182,39.0,3.0,4.0,50.0,0.0,1.0,19.0,1.0,56.5,0.0,Columbia,3,14.333333333333334,6.333333333333333,44.0,13.0,1.0,1.3333333333333333,16.666666666666668,0.0,0.3333333333333333,6.333333333333333,0.3333333333333333,18.833333333333332,0.0
