date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/28/2015,"Bethune-Cookman @ Boca Raton, Fla.",2-3,5.0,0,70.0,25.0,197.0,0.228,65.0,5.0,7.0,100.0,7.0,1.0,18.0,1.0,85.0,0.0,Bethune-Cookman,5,14.0,5.0,39.4,13.0,1.0,1.4,20.0,1.4,0.2,3.6,0.2,17.0,0.0
08/28/2015,"Ga. Southern @ Boca Raton, Fla.",0-3,3.0,0,27.0,24.0,104.0,0.029,24.0,1.0,6.0,40.0,6.0,1.0,6.0,4.0,32.0,2.0,Ga. Southern,3,9.0,8.0,34.666666666666664,8.0,0.3333333333333333,2.0,13.333333333333334,2.0,0.3333333333333333,2.0,1.3333333333333333,10.666666666666666,0.6666666666666666
08/29/2015,"Stetson @ Boca Raton, Fla.",3-2,5.0,0,44.0,20.0,163.0,0.147,43.0,11.0,6.0,82.0,7.0,2.0,20.0,2.0,67.0,3.0,Stetson,5,8.8,4.0,32.6,8.6,2.2,1.2,16.4,1.4,0.4,4.0,0.4,13.4,0.6
08/29/2015,@ Fla. Atlantic,0-3,3.0,0,23.0,22.0,90.0,0.011,21.0,1.0,0.0,37.0,7.0,0.0,8.0,1.0,28.0,1.0,Fla. Atlantic,3,7.666666666666667,7.333333333333333,30.0,7.0,0.3333333333333333,0.0,12.333333333333334,2.333333333333333,0.0,2.6666666666666665,0.3333333333333333,9.333333333333334,0.3333333333333333
09/04/2015,"Cincinnati @ Cleveland, Ohio",0-3,3.0,0,21.0,18.0,94.0,0.032,20.0,2.0,1.0,38.0,11.0,0.0,11.0,0.0,28.5,0.0,Cincinnati,3,7.0,6.0,31.333333333333332,6.666666666666667,0.6666666666666666,0.3333333333333333,12.666666666666666,3.6666666666666665,0.0,3.6666666666666665,0.0,9.5,0.0
09/05/2015,"Central Mich. @ Cleveland, Ohio",2-3,5.0,0,54.0,26.0,147.0,0.19,51.0,9.0,11.0,58.0,13.0,0.0,9.0,3.0,67.5,1.0,Central Mich.,5,10.8,5.2,29.4,10.2,1.8,2.2,11.6,2.6,0.0,1.8,0.6,13.5,0.2
09/05/2015,@ Cleveland St.,0-3,3.0,0,24.0,27.0,105.0,-0.029,23.0,2.0,3.0,42.0,4.0,0.0,16.0,1.0,34.0,1.0,Cleveland St.,3,8.0,9.0,35.0,7.666666666666667,0.6666666666666666,1.0,14.0,1.3333333333333333,0.0,5.333333333333333,0.3333333333333333,11.333333333333334,0.3333333333333333
09/11/2015,"Duquesne @ Philadelphia, Pa.",3-2,5.0,0,62.0,27.0,193.0,0.181,60.0,2.0,10.0,98.0,6.0,1.0,23.0,1.0,76.5,1.0,Duquesne,5,12.4,5.4,38.6,12.0,0.4,2.0,19.6,1.2,0.2,4.6,0.2,15.3,0.2
09/12/2015,"Montana @ Philadelphia, Pa.",3-2,5.0,0,53.0,17.0,153.0,0.235,51.0,3.0,12.0,71.0,6.0,0.0,22.0,0.0,67.0,3.0,Montana,5,10.6,3.4,30.6,10.2,0.6,2.4,14.2,1.2,0.0,4.4,0.0,13.4,0.6
09/12/2015,@ Temple,0-3,3.0,0,23.0,17.0,95.0,0.063,21.0,3.0,2.0,20.0,8.0,1.0,6.0,4.0,30.0,0.0,Temple,3,7.666666666666667,5.666666666666667,31.666666666666668,7.0,1.0,0.6666666666666666,6.666666666666667,2.6666666666666665,0.3333333333333333,2.0,1.3333333333333333,10.0,0.0
09/13/2015,"Towson @ Philadelphia, Pa.",0-3,3.0,0,25.0,13.0,87.0,0.138,24.0,3.0,1.0,43.0,8.0,1.0,10.0,1.0,34.0,0.0,Towson,3,8.333333333333334,4.333333333333333,29.0,8.0,1.0,0.3333333333333333,14.333333333333334,2.6666666666666665,0.3333333333333333,3.3333333333333335,0.3333333333333333,11.333333333333334,0.0
09/18/2015,@ Cornell,1-3,4.0,0,42.0,19.0,132.0,0.174,40.0,6.0,8.0,64.0,9.0,2.0,8.0,0.0,54.0,3.0,Cornell,4,10.5,4.75,33.0,10.0,1.5,2.0,16.0,2.25,0.5,2.0,0.0,13.5,0.75
09/19/2015,"Seton Hall @ Ithaca, N.Y.",2-3,5.0,0,49.0,20.0,165.0,0.176,45.0,1.0,10.0,64.0,9.0,3.0,12.0,0.0,59.0,0.0,Seton Hall,5,9.8,4.0,33.0,9.0,0.2,2.0,12.8,1.8,0.6,2.4,0.0,11.8,0.0
09/19/2015,"Loyola Chicago @ Ithaca, N.Y.",0-3,3.0,0,32.0,15.0,106.0,0.16,29.0,2.0,5.0,40.0,5.0,0.0,8.0,7.0,38.0,3.0,Loyola Chicago,3,10.666666666666666,5.0,35.333333333333336,9.666666666666666,0.6666666666666666,1.6666666666666667,13.333333333333334,1.6666666666666667,0.0,2.6666666666666665,2.3333333333333335,12.666666666666666,1.0
09/25/2015,UAlbany,2-3,5.0,0,58.0,42.0,204.0,0.078,56.0,3.0,7.0,101.0,2.0,3.0,10.0,0.0,69.0,1.0,UAlbany,5,11.6,8.4,40.8,11.2,0.6,1.4,20.2,0.4,0.6,2.0,0.0,13.8,0.2
10/02/2015,Hartford,3-0,3.0,0,33.0,6.0,69.0,0.391,29.0,3.0,9.0,29.0,5.0,1.0,14.0,0.0,44.0,1.0,Hartford,3,11.0,2.0,23.0,9.666666666666666,1.0,3.0,9.666666666666666,1.6666666666666667,0.3333333333333333,4.666666666666667,0.0,14.666666666666666,0.3333333333333333
10/04/2015,New Hampshire,0-3,3.0,0,37.0,20.0,118.0,0.144,37.0,3.0,7.0,62.0,6.0,3.0,6.0,0.0,46.0,0.0,New Hampshire,3,12.333333333333334,6.666666666666667,39.333333333333336,12.333333333333334,1.0,2.3333333333333335,20.666666666666668,2.0,1.0,2.0,0.0,15.333333333333334,0.0
