date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,"Youngstown St. @ Toledo, OH",3-2,5.0,0,51.0,29.0,145.0,0.152,49.0,10.0,5.0,65.0,16.0,5.0,16.0,3.0,74.0,0.0,Youngstown St.
08/28/2015,@ Toledo,3-2,5.0,0,50.0,21.0,152.0,0.191,45.0,6.0,9.0,65.0,6.0,0.0,10.0,1.0,61.0,7.0,Toledo
08/29/2015,"Green Bay @ Toledo, OH",3-0,3.0,0,32.0,15.0,100.0,0.17,30.0,5.0,8.0,51.0,3.0,2.0,14.0,1.0,46.0,1.0,Green Bay
09/04/2015,Weber St.,1-3,4.0,0,55.0,35.0,146.0,0.137,53.0,6.0,6.0,59.0,6.0,0.0,20.0,4.0,71.0,1.0,Weber St.
09/05/2015,UMass Lowell,3-0,3.0,0,51.0,14.0,104.0,0.356,50.0,5.0,10.0,51.0,5.0,0.0,10.0,3.0,61.0,1.0,UMass Lowell
09/05/2015,Manhattan,3-2,5.0,0,62.0,21.0,175.0,0.234,60.0,12.0,5.0,90.0,7.0,4.0,20.0,7.0,88.0,2.0,Manhattan
09/11/2015,"Omaha @ Kansas City, Mo.",0-3,3.0,0,30.0,20.0,107.0,0.093,29.0,5.0,3.0,44.0,7.0,1.0,4.0,0.0,38.0,0.0,Omaha
09/11/2015,@ Kansas City,0-3,3.0,0,25.0,20.0,102.0,0.049,25.0,2.0,7.0,39.0,2.0,2.0,6.0,0.0,32.0,0.0,Kansas City
09/12/2015,"SIUE @ Kansas City, Mo.",0-3,3.0,0,32.0,21.0,109.0,0.101,31.0,3.0,5.0,49.0,6.0,0.0,10.0,1.0,40.0,2.0,SIUE
09/18/2015,Southeast Mo. St.,2-3,5.0,0,71.0,29.0,185.0,0.227,65.0,6.0,7.0,85.0,3.0,1.0,14.0,2.0,85.0,4.0,Southeast Mo. St.
09/19/2015,DePaul,0-3,3.0,0,39.0,14.0,102.0,0.245,34.0,1.0,7.0,43.0,11.0,0.0,6.0,1.0,43.0,4.0,DePaul
09/19/2015,UTEP,0-3,3.0,0,36.0,21.0,135.0,0.111,33.0,3.0,2.0,65.0,4.0,2.0,14.0,2.0,48.0,5.0,UTEP
09/24/2015,Loyola Chicago,0-3,3.0,0,22.0,13.0,85.0,0.106,20.0,1.0,3.0,35.0,8.0,1.0,14.0,0.0,31.0,6.0,Loyola Chicago
09/29/2015,UNI,0-3,3.0,0,36.0,22.0,131.0,0.107,31.0,1.0,4.0,48.0,2.0,1.0,4.0,3.0,40.0,1.0,UNI
10/02/2015,@ Southern Ill.,1-3,4.0,0,53.0,26.0,130.0,0.208,45.0,6.0,7.0,44.0,4.0,1.0,14.0,4.0,67.0,5.0,Southern Ill.
10/03/2015,@ Evansville,1-3,4.0,0,48.0,23.0,142.0,0.176,44.0,5.0,6.0,61.0,4.0,1.0,8.0,3.0,58.0,0.0,Evansville
10/09/2015,Indiana St.,0-3,3.0,0,32.0,21.0,123.0,0.089,29.0,7.0,3.0,43.0,0.0,1.0,4.0,2.0,42.0,2.0,Indiana St.
10/10/2015,Illinois St.,0-3,3.0,0,32.0,20.0,99.0,0.121,30.0,4.0,2.0,40.0,3.0,0.0,4.0,1.0,38.0,3.0,Illinois St.
10/13/2015,Drake,1-3,4.0,0,51.0,27.0,160.0,0.15,49.0,4.0,11.0,72.0,8.0,2.0,10.0,2.0,62.0,1.0,Drake
10/16/2015,@ Wichita St.,0-3,3.0,0,24.0,13.0,70.0,0.157,22.0,0.0,4.0,21.0,6.0,1.0,14.0,1.0,32.0,4.0,Wichita St.
10/17/2015,@ Missouri St.,0-3,3.0,0,30.0,21.0,109.0,0.083,28.0,1.0,5.0,43.0,3.0,2.0,8.0,2.0,37.0,0.0,Missouri St.
10/24/2015,@ Loyola Chicago,0-3,3.0,0,34.0,15.0,87.0,0.218,30.0,3.0,6.0,30.0,5.0,0.0,2.0,1.0,38.0,2.0,Loyola Chicago
10/30/2015,Evansville,3-2,5.0,0,73.0,34.0,192.0,0.203,70.0,4.0,11.0,78.0,4.0,1.0,16.0,0.0,86.0,1.0,Evansville
10/31/2015,Southern Ill.,1-3,4.0,0,52.0,15.0,143.0,0.259,51.0,5.0,7.0,51.0,8.0,0.0,6.0,4.0,60.0,1.0,Southern Ill.
11/06/2015,@ Illinois St.,1-3,4.0,0,46.0,18.0,125.0,0.224,41.0,8.0,13.0,39.0,11.0,2.0,12.0,0.0,62.0,1.0,Illinois St.
11/07/2015,@ Indiana St.,0-3,3.0,0,28.0,24.0,120.0,0.033,28.0,3.0,9.0,49.0,2.0,0.0,6.0,1.0,34.0,2.0,Indiana St.
11/13/2015,Missouri St.,0-3,3.0,0,27.0,10.0,87.0,0.195,25.0,2.0,6.0,29.0,4.0,1.0,4.0,1.0,32.0,1.0,Missouri St.
11/14/2015,Wichita St.,0-3,3.0,0,35.0,20.0,101.0,0.149,32.0,0.0,8.0,35.0,6.0,0.0,2.0,0.0,36.0,1.0,Wichita St.
11/20/2015,@ UNI,0-3,3.0,0,31.0,15.0,114.0,0.14,30.0,2.0,5.0,43.0,0.0,1.0,4.0,1.0,36.0,2.0,UNI
11/21/2015,@ Drake,0-3,3.0,0,34.0,27.0,120.0,0.058,32.0,5.0,7.0,52.0,5.0,0.0,6.0,0.0,42.0,1.0,Drake
