date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,"Col. of Charleston @ Madison, Wis.",2-3,5.0,0,52.0,26.0,174.0,0.149,49.0,2.0,10.0,71.0,6.0,4.0,8.0,6.0,62.0,3.0,Col. of Charleston
08/29/2015,"Western Ky. @ Madison, Wis.",0-3,3.0,0,23.0,17.0,108.0,0.056,22.0,1.0,9.0,35.0,6.0,1.0,4.0,4.0,27.0,3.0,Western Ky.
08/29/2015,@ Wisconsin,0-3,3.0,0,26.0,23.0,120.0,0.025,23.0,1.0,4.0,42.0,1.0,1.0,12.0,3.0,34.0,1.0,Wisconsin
09/05/2015,"Youngstown St. @ Pittsburgh, PA",1-3,4.0,0,43.0,15.0,119.0,0.235,43.0,6.0,9.0,54.0,10.0,1.0,12.0,8.0,56.0,2.0,Youngstown St.
09/05/2015,@ Pittsburgh,0-3,3.0,0,20.0,15.0,92.0,0.054,18.0,1.0,4.0,30.0,6.0,1.0,10.0,2.0,27.0,0.0,Pittsburgh
09/06/2015,@ Duquesne,0-3,3.0,0,34.0,20.0,115.0,0.122,31.0,3.0,3.0,38.0,3.0,2.0,14.0,4.0,46.0,1.0,Duquesne
09/11/2015,Rutgers,0-3,3.0,0,34.0,17.0,110.0,0.155,32.0,1.0,7.0,36.0,3.0,3.0,4.0,1.0,40.0,1.0,Rutgers
09/12/2015,Yale,0-3,3.0,0,30.0,23.0,119.0,0.059,25.0,2.0,5.0,44.0,2.0,0.0,8.0,1.0,36.0,4.0,Yale
09/12/2015,UAlbany,0-3,3.0,0,37.0,21.0,136.0,0.118,36.0,0.0,7.0,61.0,3.0,0.0,0.0,2.0,37.0,3.0,UAlbany
09/18/2015,@ Bucknell,3-0,3.0,0,47.0,13.0,110.0,0.309,46.0,5.0,3.0,50.0,3.0,2.0,12.0,1.0,60.0,0.0,Bucknell
09/19/2015,"Providence @ Lewisburg, Pa.",3-2,5.0,0,65.0,16.0,181.0,0.271,60.0,4.0,6.0,86.0,6.0,5.0,16.0,2.0,82.0,0.0,Providence
09/19/2015,"Delaware St. @ Lewisburg, Pa.",3-0,3.0,0,38.0,8.0,94.0,0.319,36.0,4.0,5.0,45.0,3.0,1.0,8.0,1.0,47.0,0.0,Delaware St.
09/25/2015,Army West Point,1-3,4.0,0,50.0,20.0,186.0,0.161,47.0,1.0,6.0,95.0,3.0,3.0,18.0,2.0,63.0,2.0,Army West Point
09/26/2015,Holy Cross,3-1,4.0,0,50.0,19.0,134.0,0.231,45.0,2.0,5.0,74.0,3.0,6.0,20.0,2.0,68.0,1.0,Holy Cross
10/02/2015,@ Navy,3-2,5.0,0,59.0,17.0,161.0,0.261,54.0,9.0,7.0,68.0,7.0,2.0,8.0,1.0,74.0,1.0,Navy
10/03/2015,@ Lehigh,0-3,3.0,0,31.0,10.0,114.0,0.184,30.0,5.0,2.0,55.0,5.0,4.0,2.0,2.0,41.0,0.0,Lehigh
10/09/2015,American,2-3,5.0,0,48.0,32.0,174.0,0.092,45.0,10.0,7.0,85.0,4.0,2.0,8.0,0.0,64.0,1.0,American
10/10/2015,Loyola Maryland,3-1,4.0,0,52.0,12.0,120.0,0.333,50.0,4.0,9.0,47.0,6.0,1.0,14.0,6.0,64.0,3.0,Loyola Maryland
10/12/2015,Bucknell,3-0,3.0,0,42.0,14.0,102.0,0.275,39.0,6.0,7.0,52.0,0.0,3.0,18.0,1.0,60.0,1.0,Bucknell
10/15/2015,@ Lafayette,3-0,3.0,0,36.0,6.0,99.0,0.303,32.0,6.0,8.0,52.0,3.0,1.0,6.0,3.0,46.0,1.0,Lafayette
10/23/2015,@ Holy Cross,3-0,3.0,0,47.0,8.0,121.0,0.322,39.0,5.0,1.0,49.0,9.0,1.0,4.0,1.0,55.0,4.0,Holy Cross
10/24/2015,@ Army West Point,1-3,4.0,0,42.0,23.0,147.0,0.129,41.0,9.0,7.0,56.0,3.0,1.0,10.0,1.0,57.0,2.0,Army West Point
10/30/2015,Lehigh,1-3,4.0,0,47.0,19.0,125.0,0.224,40.0,4.0,9.0,50.0,4.0,2.0,16.0,1.0,61.0,1.0,Lehigh
10/31/2015,Navy,3-0,3.0,0,33.0,10.0,90.0,0.256,30.0,4.0,8.0,35.0,2.0,1.0,14.0,4.0,45.0,1.0,Navy
11/07/2015,@ American,0-3,3.0,0,31.0,17.0,101.0,0.139,27.0,2.0,3.0,32.0,6.0,1.0,8.0,0.0,38.0,1.0,American
11/08/2015,@ Loyola Maryland,3-0,3.0,0,38.0,6.0,86.0,0.372,34.0,11.0,4.0,37.0,1.0,4.0,10.0,0.0,58.0,1.0,Loyola Maryland
11/14/2015,Lafayette,3-0,3.0,0,43.0,13.0,127.0,0.236,42.0,3.0,6.0,71.0,1.0,3.0,14.0,1.0,56.0,0.0,Lafayette
11/21/2015,@ American,0-3,3.0,0,32.0,16.0,105.0,0.152,29.0,4.0,7.0,43.0,2.0,1.0,10.0,3.0,42.0,1.0,American
