date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/28/2015,Baylor,3-0,3.0,0,32.0,14.0,95.0,0.189,31.0,8.0,5.0,44.0,2.0,4.0,8.0,1.0,48.0,1.0,Baylor,3,10.666666666666666,4.666666666666667,31.666666666666668,10.333333333333334,2.6666666666666665,1.6666666666666667,14.666666666666666,0.6666666666666666,1.3333333333333333,2.6666666666666665,0.3333333333333333,16.0,0.3333333333333333
08/29/2015,UC Davis,3-0,3.0,0,43.0,14.0,104.0,0.279,40.0,5.0,2.0,53.0,2.0,3.0,10.0,2.0,56.0,2.0,UC Davis,3,14.333333333333334,4.666666666666667,34.666666666666664,13.333333333333334,1.6666666666666667,0.6666666666666666,17.666666666666668,0.6666666666666666,1.0,3.3333333333333335,0.6666666666666666,18.666666666666668,0.6666666666666666
08/29/2015,UNI,3-0,3.0,0,42.0,13.0,123.0,0.236,32.0,2.0,6.0,66.0,2.0,2.0,14.0,0.0,53.0,3.0,UNI,3,14.0,4.333333333333333,41.0,10.666666666666666,0.6666666666666666,2.0,22.0,0.6666666666666666,0.6666666666666666,4.666666666666667,0.0,17.666666666666668,1.0
09/04/2015,Arizona St.,0-3,3.0,0,37.0,25.0,122.0,0.098,35.0,0.0,6.0,46.0,2.0,1.0,18.0,0.0,47.0,0.0,Arizona St.,3,12.333333333333334,8.333333333333334,40.666666666666664,11.666666666666666,0.0,2.0,15.333333333333334,0.6666666666666666,0.3333333333333333,6.0,0.0,15.666666666666666,0.0
09/05/2015,Western Mich.,3-0,3.0,0,53.0,17.0,123.0,0.293,46.0,2.0,4.0,49.0,1.0,0.0,19.0,0.0,64.5,0.0,Western Mich.,3,17.666666666666668,5.666666666666667,41.0,15.333333333333334,0.6666666666666666,1.3333333333333333,16.333333333333332,0.3333333333333333,0.0,6.333333333333333,0.0,21.5,0.0
09/08/2015,Northern Colo.,3-0,3.0,0,38.0,11.0,102.0,0.265,35.0,3.0,3.0,58.0,3.0,6.0,10.0,0.0,52.0,0.0,Northern Colo.,3,12.666666666666666,3.6666666666666665,34.0,11.666666666666666,1.0,1.0,19.333333333333332,1.0,2.0,3.3333333333333335,0.0,17.333333333333332,0.0
09/13/2015,"Iona @ Austin, Texas",3-0,3.0,0,52.0,11.0,102.0,0.402,51.0,2.0,8.0,46.0,5.0,1.0,14.0,4.0,62.0,0.0,Iona,3,17.333333333333332,3.6666666666666665,34.0,17.0,0.6666666666666666,2.6666666666666665,15.333333333333334,1.6666666666666667,0.3333333333333333,4.666666666666667,1.3333333333333333,20.666666666666668,0.0
09/13/2015,@ Texas,0-3,3.0,0,38.0,15.0,96.0,0.24,36.0,3.0,7.0,35.0,9.0,1.0,8.0,4.0,46.0,0.0,Texas,3,12.666666666666666,5.0,32.0,12.0,1.0,2.3333333333333335,11.666666666666666,3.0,0.3333333333333333,2.6666666666666665,1.3333333333333333,15.333333333333334,0.0
09/15/2015,@ Texas A&M,2-3,5.0,0,57.0,30.0,173.0,0.156,52.0,13.0,6.0,61.0,3.0,2.0,14.0,7.0,79.0,1.0,Texas A&M,5,11.4,6.0,34.6,10.4,2.6,1.2,12.2,0.6,0.4,2.8,1.4,15.8,0.2
09/20/2015,Eastern Ky.,3-0,3.0,0,40.0,11.0,92.0,0.315,36.0,4.0,5.0,45.0,0.0,2.0,10.0,0.0,51.0,0.0,Eastern Ky.,3,13.333333333333334,3.6666666666666665,30.666666666666668,12.0,1.3333333333333333,1.6666666666666667,15.0,0.0,0.6666666666666666,3.3333333333333335,0.0,17.0,0.0
09/24/2015,Utah St.,3-0,3.0,0,42.0,17.0,96.0,0.26,40.0,8.0,8.0,50.0,0.0,1.0,16.0,1.0,59.0,2.0,Utah St.,3,14.0,5.666666666666667,32.0,13.333333333333334,2.6666666666666665,2.6666666666666665,16.666666666666668,0.0,0.3333333333333333,5.333333333333333,0.3333333333333333,19.666666666666668,0.6666666666666666
09/26/2015,Boise St.,3-2,5.0,0,69.0,13.0,172.0,0.326,64.0,1.0,8.0,73.0,2.0,2.0,19.0,2.0,81.5,1.0,Boise St.,5,13.8,2.6,34.4,12.8,0.2,1.6,14.6,0.4,0.4,3.8,0.4,16.3,0.2
10/01/2015,@ Nevada,3-0,3.0,0,39.0,9.0,85.0,0.353,33.0,4.0,3.0,33.0,4.0,2.0,17.0,2.0,53.5,1.0,Nevada,3,13.0,3.0,28.333333333333332,11.0,1.3333333333333333,1.0,11.0,1.3333333333333333,0.6666666666666666,5.666666666666667,0.6666666666666666,17.833333333333332,0.3333333333333333
10/03/2015,@ San Diego St.,3-0,3.0,0,38.0,15.0,98.0,0.235,33.0,4.0,5.0,42.0,1.0,1.0,13.0,2.0,49.5,2.0,San Diego St.,3,12.666666666666666,5.0,32.666666666666664,11.0,1.3333333333333333,1.6666666666666667,14.0,0.3333333333333333,0.3333333333333333,4.333333333333333,0.6666666666666666,16.5,0.6666666666666666
10/08/2015,New Mexico,3-0,3.0,0,51.0,16.0,104.0,0.337,48.0,2.0,12.0,51.0,1.0,2.0,13.0,1.0,61.5,0.0,New Mexico,3,17.0,5.333333333333333,34.666666666666664,16.0,0.6666666666666666,4.0,17.0,0.3333333333333333,0.6666666666666666,4.333333333333333,0.3333333333333333,20.5,0.0
10/10/2015,Air Force,3-0,3.0,0,52.0,15.0,105.0,0.352,50.0,6.0,3.0,46.0,2.0,1.0,13.0,0.0,65.5,1.0,Air Force,3,17.333333333333332,5.0,35.0,16.666666666666668,2.0,1.0,15.333333333333334,0.6666666666666666,0.3333333333333333,4.333333333333333,0.0,21.833333333333332,0.3333333333333333
10/13/2015,Wyoming,3-0,3.0,0,47.0,14.0,104.0,0.317,43.0,6.0,4.0,46.0,3.0,0.0,18.0,1.0,62.0,1.0,Wyoming,3,15.666666666666666,4.666666666666667,34.666666666666664,14.333333333333334,2.0,1.3333333333333333,15.333333333333334,1.0,0.0,6.0,0.3333333333333333,20.666666666666668,0.3333333333333333
10/17/2015,@ San Jose St.,3-1,4.0,0,51.0,16.0,126.0,0.278,42.0,4.0,11.0,60.0,6.0,3.0,28.0,1.0,72.0,1.0,San Jose St.,4,12.75,4.0,31.5,10.5,1.0,2.75,15.0,1.5,0.75,7.0,0.25,18.0,0.25
10/22/2015,@ Boise St.,3-0,3.0,0,51.0,15.0,116.0,0.31,48.0,3.0,3.0,57.0,3.0,2.0,10.0,0.0,61.0,1.0,Boise St.,3,17.0,5.0,38.666666666666664,16.0,1.0,1.0,19.0,1.0,0.6666666666666666,3.3333333333333335,0.0,20.333333333333332,0.3333333333333333
10/24/2015,@ Utah St.,3-0,3.0,0,52.0,10.0,104.0,0.404,49.0,2.0,5.0,54.0,1.0,1.0,22.0,2.0,66.0,1.0,Utah St.,3,17.333333333333332,3.3333333333333335,34.666666666666664,16.333333333333332,0.6666666666666666,1.6666666666666667,18.0,0.3333333333333333,0.3333333333333333,7.333333333333333,0.6666666666666666,22.0,0.3333333333333333
10/29/2015,San Diego St.,3-0,3.0,0,43.0,13.0,94.0,0.319,41.0,4.0,6.0,46.0,2.0,1.0,12.0,3.0,54.0,1.0,San Diego St.,3,14.333333333333334,4.333333333333333,31.333333333333332,13.666666666666666,1.3333333333333333,2.0,15.333333333333334,0.6666666666666666,0.3333333333333333,4.0,1.0,18.0,0.3333333333333333
10/31/2015,Nevada,3-0,3.0,0,41.0,15.0,84.0,0.31,36.0,4.0,2.0,38.0,4.0,2.0,18.0,1.0,56.0,0.0,Nevada,3,13.666666666666666,5.0,28.0,12.0,1.3333333333333333,0.6666666666666666,12.666666666666666,1.3333333333333333,0.6666666666666666,6.0,0.3333333333333333,18.666666666666668,0.0
