date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/28/2015,San Diego,1-3,4.0,0,40.0,28.0,123.0,0.098,39.0,7.0,11.0,36.0,5.0,2.0,16.0,0.0,57.0,1.0,San Diego,4,10.0,7.0,30.75,9.75,1.75,2.75,9.0,1.25,0.5,4.0,0.0,14.25,0.25
08/29/2015,Florida St.,3-2,5.0,0,73.0,22.0,164.0,0.311,63.0,6.0,13.0,53.0,2.0,1.0,16.0,0.0,88.0,1.0,Florida St.,5,14.6,4.4,32.8,12.6,1.2,2.6,10.6,0.4,0.2,3.2,0.0,17.6,0.2
08/29/2015,Oklahoma,3-2,5.0,0,62.0,23.0,138.0,0.283,58.0,4.0,16.0,44.0,7.0,2.0,10.0,0.0,73.0,0.0,Oklahoma,5,12.4,4.6,27.6,11.6,0.8,3.2,8.8,1.4,0.4,2.0,0.0,14.6,0.0
09/04/2015,@ Penn St.,0-3,3.0,0,35.0,29.0,109.0,0.055,31.0,3.0,11.0,42.0,5.0,0.0,6.0,3.0,41.0,0.0,Penn St.,3,11.666666666666666,9.666666666666666,36.333333333333336,10.333333333333334,1.0,3.6666666666666665,14.0,1.6666666666666667,0.0,2.0,1.0,13.666666666666666,0.0
09/05/2015,"Illinois @ University Park, Pa.",0-3,3.0,0,32.0,22.0,97.0,0.103,31.0,1.0,7.0,32.0,6.0,2.0,4.0,1.0,37.0,1.0,Illinois,3,10.666666666666666,7.333333333333333,32.333333333333336,10.333333333333334,0.3333333333333333,2.3333333333333335,10.666666666666666,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,12.333333333333334,0.3333333333333333
09/11/2015,"Sam Houston @ Houston, Texas",3-0,3.0,0,42.0,14.0,102.0,0.275,38.0,4.0,14.0,41.0,2.0,0.0,20.0,1.0,56.0,1.0,Sam Houston,3,14.0,4.666666666666667,34.0,12.666666666666666,1.3333333333333333,4.666666666666667,13.666666666666666,0.6666666666666666,0.0,6.666666666666667,0.3333333333333333,18.666666666666668,0.3333333333333333
09/12/2015,@ Rice,1-3,4.0,0,54.0,22.0,130.0,0.246,53.0,4.0,15.0,48.0,7.0,3.0,14.0,2.0,68.0,0.0,Rice,4,13.5,5.5,32.5,13.25,1.0,3.75,12.0,1.75,0.75,3.5,0.5,17.0,0.0
09/12/2015,"Louisiana @ Houston, Texas",3-0,3.0,0,44.0,15.0,106.0,0.274,40.0,3.0,11.0,44.0,4.0,2.0,10.0,2.0,54.0,0.0,Louisiana,3,14.666666666666666,5.0,35.333333333333336,13.333333333333334,1.0,3.6666666666666665,14.666666666666666,1.3333333333333333,0.6666666666666666,3.3333333333333335,0.6666666666666666,18.0,0.0
09/18/2015,Weber St.,3-0,3.0,0,44.0,14.0,85.0,0.353,42.0,4.0,10.0,25.0,3.0,0.0,18.0,0.0,57.0,1.0,Weber St.,3,14.666666666666666,4.666666666666667,28.333333333333332,14.0,1.3333333333333333,3.3333333333333335,8.333333333333334,1.0,0.0,6.0,0.0,19.0,0.3333333333333333
09/18/2015,Montana St.,3-1,4.0,0,51.0,18.0,125.0,0.264,48.0,5.0,8.0,45.0,4.0,2.0,30.0,3.0,73.0,1.0,Montana St.,4,12.75,4.5,31.25,12.0,1.25,2.0,11.25,1.0,0.5,7.5,0.75,18.25,0.25
