date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/28/2015,@ Central Conn. St.,0-3,3.0,0,50.0,22.0,125.0,0.224,48.0,6.0,3.0,49.0,3.0,2.0,12.0,6.0,64.0,3.0,Central Conn. St.,3,16.666666666666668,7.333333333333333,41.66666666666666,16.0,2.0,1.0,16.333333333333332,1.0,0.6666666666666666,4.0,2.0,21.33333333333333,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/29/2015,"Bucknell @ New Britain, Conn.",0-3,3.0,0,37.0,19.0,115.0,0.157,35.0,4.0,9.0,39.0,5.0,0.0,22.0,1.0,52.0,1.0,Bucknell,3,12.333333333333334,6.333333333333333,38.333333333333336,11.666666666666666,1.3333333333333333,3.0,13.0,1.6666666666666667,0.0,7.333333333333333,0.3333333333333333,17.333333333333332,0.3333333333333333,,8.333333333333334,,3.6666666666666665,,20.83333333333333,,0.112,,8.0,,1.0,,0.5,,8.166666666666666,,0.3333333333333333,,2.0,,1.0,,10.666666666666664
08/29/2015,"NJIT @ New Britain, CT",3-0,3.0,0,39.0,12.0,90.0,0.3,35.0,3.0,7.0,37.0,1.0,1.0,14.0,6.0,50.0,0.0,NJIT,3,13.0,4.0,30.0,11.666666666666666,1.0,2.333333333333333,12.333333333333334,0.3333333333333333,0.3333333333333333,4.666666666666667,2.0,16.666666666666668,0.0,,9.666666666666666,,4.555555555555555,,26.666666666666668,,0.127,,9.222222222222221,,1.111111111111111,,1.3333333333333333,,9.777777777777777,,0.2222222222222222,,3.7777777777777772,,0.7777777777777778,,12.888888888888886
09/04/2015,Holy Cross,3-1,4.0,0,61.0,41.0,173.0,0.116,55.0,4.0,4.0,69.0,5.0,2.0,16.0,2.0,75.0,2.0,Holy Cross,4,15.25,10.25,43.25,13.75,1.0,1.0,17.25,1.25,0.5,4.0,0.5,18.75,0.5,14.0,10.5,5.888888888888888,4.416666666666666,36.666666666666664,27.5,0.227,0.17025,13.111111111111109,9.833333333333332,1.4444444444444444,1.0833333333333333,2.111111111111111,1.5833333333333333,13.888888888888888,10.416666666666666,0.3333333333333333,0.25,5.333333333333333,4.0,1.4444444444444444,1.0833333333333335,18.444444444444443,13.833333333333332
09/04/2015,Boston College,3-2,5.0,0,50.0,29.0,141.0,0.149,49.0,8.0,13.0,53.0,3.0,1.0,14.0,2.0,66.0,3.0,Boston College,5,10.0,5.8,28.2,9.8,1.6,2.6,10.6,0.6,0.2,2.8,0.4,13.2,0.6,13.527777777777779,11.45,6.861111111111112,5.583333333333333,37.19444444444445,30.65,0.19100000000000003,0.15940000000000001,12.361111111111109,10.616666666666665,1.111111111111111,1.0666666666666667,2.111111111111111,1.4666666666666666,14.194444444444443,11.783333333333333,0.27777777777777773,0.3,5.333333333333333,4.0,0.9444444444444443,0.9666666666666668,17.583333333333332,14.816666666666666
09/05/2015,New Hampshire,1-3,4.0,0,47.0,27.0,141.0,0.142,44.0,9.0,4.0,64.0,7.0,3.0,10.0,4.0,64.0,0.0,New Hampshire,4,11.75,6.75,35.25,11.0,2.25,1.0,16.0,1.75,0.75,2.5,1.0,16.0,0.0,12.75,11.208333333333334,6.683333333333334,5.619444444444444,33.81666666666666,30.241666666666664,0.18833333333333332,0.15766666666666668,11.738888888888889,10.480555555555554,1.2,1.1555555555555557,1.9777777777777779,1.6555555555555557,13.394444444444444,11.58611111111111,0.3444444444444444,0.2833333333333333,3.822222222222223,3.8000000000000003,0.9666666666666667,0.8722222222222223,16.20555555555556,14.547222222222222
09/11/2015,@ Penn,1-3,4.0,0,54.0,29.0,153.0,0.163,52.0,6.0,2.0,61.0,1.0,0.0,10.0,1.0,65.0,2.0,Penn,4,13.5,7.25,38.25,13.0,1.5,0.5,15.25,0.25,0.0,2.5,0.25,16.25,0.5,12.333333333333334,11.285714285714286,7.6000000000000005,5.78095238095238,35.56666666666666,30.957142857142856,0.13566666666666669,0.15542857142857144,11.516666666666666,10.554761904761904,1.6166666666666665,1.311904761904762,1.5333333333333332,1.561904761904762,14.616666666666665,12.216666666666667,0.4833333333333334,0.35000000000000003,3.1,3.6142857142857143,0.6333333333333333,0.8904761904761906,15.983333333333334,14.754761904761905
09/12/2015,"Delaware St. @ Philadelphia, Pa.",3-0,3.0,0,52.0,13.0,120.0,0.325,46.0,4.0,5.0,59.0,1.0,0.0,10.0,1.0,61.0,0.0,Delaware St.,3,17.333333333333332,4.333333333333333,40.0,15.333333333333334,1.3333333333333333,1.6666666666666667,19.666666666666668,0.3333333333333333,0.0,3.333333333333333,0.3333333333333333,20.33333333333333,0.0,11.75,11.5625,6.6000000000000005,5.964583333333333,33.9,31.86875,0.15133333333333335,0.15637500000000001,11.266666666666666,10.860416666666666,1.7833333333333332,1.3354166666666667,1.3666666666666665,1.4291666666666667,13.949999999999998,12.595833333333333,0.3166666666666667,0.30625,2.6,3.475,0.5499999999999999,0.8104166666666668,15.15,14.941666666666666
09/12/2015,"Towson @ Philadelphia, Pa.",1-3,4.0,0,38.0,25.0,135.0,0.096,35.0,4.0,5.0,57.0,9.0,0.0,16.0,3.0,50.0,1.0,Towson,4,9.5,6.25,33.75,8.75,1.0,1.25,14.25,2.25,0.0,4.0,0.75,12.5,0.25,14.194444444444443,12.203703703703702,6.111111111111111,5.783333333333333,37.833333333333336,32.77222222222222,0.21,0.1751111111111111,13.111111111111112,11.357407407407406,1.6944444444444444,1.3351851851851853,1.0555555555555556,1.4555555555555555,16.972222222222218,13.381481481481481,0.25,0.27222222222222225,2.7777777777777772,3.4592592592592593,0.5277777777777778,0.7574074074074075,17.527777777777775,15.540740740740741
09/19/2015,@ Niagara,2-3,5.0,0,49.0,32.0,183.0,0.093,46.0,2.0,6.0,70.0,1.0,3.0,16.0,1.0,62.0,4.0,Niagara,5,9.8,6.4,36.6,9.2,0.4,1.2,14.0,0.2,0.6,3.2,0.2,12.4,0.8,13.444444444444443,11.933333333333334,5.944444444444444,5.83,37.333333333333336,32.87,0.19466666666666665,0.16720000000000002,12.361111111111112,11.096666666666666,1.2777777777777777,1.3016666666666667,1.138888888888889,1.435,16.388888888888886,13.468333333333334,0.0,0.24500000000000002,3.2777777777777772,3.513333333333333,0.4444444444444445,0.7566666666666667,16.36111111111111,15.236666666666668
