date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/28/2015,@ Western Caro.,2-3,5.0,0,72.0,32.0,176.0,0.227,70.0,8.0,14.0,67.0,6.0,3.0,12.0,10.0,89.0,0.0,Western Caro.,5,14.4,6.4,35.2,14.0,1.6,2.8,13.4,1.2,0.6,2.4,2.0,17.8,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/29/2015,"Fresno St. @ Cullowhee, N.C.",2-3,5.0,0,53.0,30.0,171.0,0.135,51.0,5.0,8.0,65.0,9.0,4.0,10.0,4.0,67.0,1.0,Fresno St.,5,10.6,6.0,34.2,10.2,1.0,1.6,13.0,1.8,0.8,2.0,0.8,13.4,0.2,,7.2,,3.2,,17.6,,0.1135,,7.0,,0.8,,1.4,,6.7,,0.3,,1.2,,1.0,,8.9
08/29/2015,"Murray St. @ Cullowhee, N.C.",0-3,3.0,0,18.0,18.0,81.0,0.0,18.0,5.0,8.0,20.0,9.0,2.0,8.0,5.0,29.0,1.0,Murray St.,3,6.0,6.0,27.0,6.0,1.6666666666666667,2.6666666666666665,6.666666666666667,3.0,0.6666666666666666,2.6666666666666665,1.6666666666666667,9.666666666666666,0.3333333333333333,,8.333333333333334,,4.133333333333334,,23.133333333333336,,0.12066666666666666,,8.066666666666666,,0.8666666666666667,,1.4666666666666668,,8.799999999999999,,0.4666666666666666,,1.4666666666666668,,0.9333333333333332,,10.4
09/04/2015,"Loyola Maryland @ High Point, N.C.",3-0,3.0,0,45.0,15.0,92.0,0.326,43.0,5.0,4.0,41.0,1.0,1.0,4.0,3.0,53.0,2.0,Loyola Maryland,3,15.0,5.0,30.666666666666668,14.333333333333334,1.6666666666666667,1.3333333333333333,13.666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,17.666666666666668,0.6666666666666666,10.333333333333334,7.75,6.133333333333333,4.6,32.13333333333333,24.1,0.12066666666666666,0.0905,10.066666666666666,7.55,1.4222222222222223,1.0666666666666667,2.3555555555555556,1.7666666666666666,11.022222222222224,8.266666666666666,0.6888888888888888,0.5166666666666666,2.3555555555555556,1.7666666666666666,1.488888888888889,1.1166666666666667,13.622222222222222,10.216666666666667
09/04/2015,"South Carolina St. @ High Point, N.C.",3-0,3.0,0,36.0,20.0,105.0,0.152,34.0,11.0,3.0,48.0,1.0,1.0,10.0,0.0,53.0,2.0,South Carolina St.,3,12.0,6.666666666666667,35.0,11.333333333333334,3.6666666666666665,1.0,16.0,0.3333333333333333,0.3333333333333333,3.333333333333333,0.0,17.666666666666668,0.6666666666666666,10.533333333333333,9.2,5.666666666666667,4.68,30.622222222222224,25.413333333333334,0.1536666666666667,0.1376,10.177777777777777,8.906666666666666,1.4444444444444446,1.1866666666666668,1.8666666666666665,1.6800000000000002,11.111111111111112,9.346666666666666,0.6,0.48,1.9999999999999998,1.6800000000000002,1.1555555555555557,1.0933333333333333,13.577777777777778,11.706666666666667
09/05/2015,@ High Point,3-2,5.0,0,64.0,25.0,199.0,0.196,65.0,6.0,13.0,93.0,4.0,5.0,20.0,0.0,85.0,2.0,High Point,5,12.8,5.0,39.8,13.0,1.2,2.6,18.6,0.8,1.0,4.0,0.0,17.0,0.4,11.0,9.666666666666666,5.888888888888889,5.011111111111111,30.88888888888889,27.01111111111111,0.15933333333333335,0.13999999999999999,10.555555555555555,9.311111111111112,2.3333333333333335,1.5999999999999999,1.6666666666666667,1.5666666666666667,12.111111111111112,10.455555555555554,0.4444444444444444,0.45555555555555555,2.444444444444444,1.9555555555555557,0.888888888888889,0.9111111111111111,15.0,12.700000000000001
09/08/2015,Kennesaw St.,2-3,5.0,0,47.0,23.0,164.0,0.146,45.0,13.0,11.0,72.0,3.0,2.0,12.0,6.0,68.0,5.0,Kennesaw St.,5,9.4,4.6,32.8,9.0,2.6,2.2,14.4,0.6,0.4,2.4,1.2,13.6,1.0,13.266666666666666,10.114285714285714,5.555555555555556,5.009523809523809,35.15555555555556,28.83809523809524,0.22466666666666668,0.148,12.888888888888891,9.838095238095239,2.1777777777777776,1.5428571428571427,1.6444444444444446,1.7142857142857142,16.08888888888889,11.619047619047619,0.5555555555555555,0.5333333333333333,2.888888888888889,2.2476190476190476,0.3333333333333333,0.780952380952381,17.444444444444443,13.314285714285715
09/11/2015,Grambling,3-0,3.0,0,40.0,12.0,73.0,0.384,38.0,7.0,8.0,31.0,2.0,1.0,8.0,1.0,52.0,1.0,Grambling,3,13.333333333333334,4.0,24.33333333333333,12.666666666666666,2.333333333333333,2.6666666666666665,10.333333333333334,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.3333333333333333,17.333333333333332,0.3333333333333333,11.4,10.025,5.422222222222222,4.958333333333333,35.86666666666667,29.333333333333336,0.16466666666666668,0.14775,11.111111111111109,9.733333333333334,2.488888888888889,1.6749999999999998,1.9333333333333336,1.775,16.333333333333332,11.966666666666667,0.5777777777777778,0.5166666666666667,3.244444444444444,2.2666666666666666,0.39999999999999997,0.8333333333333334,16.08888888888889,13.35
09/11/2015,Radford,2-3,5.0,0,73.0,23.0,191.0,0.262,67.0,4.0,6.0,96.0,4.0,1.0,4.0,6.0,80.0,4.0,Radford,5,14.6,4.6,38.2,13.4,0.8,1.2,19.2,0.8,0.2,0.8,1.2,16.0,0.8,11.844444444444443,10.392592592592592,4.533333333333332,4.851851851851851,32.31111111111111,28.77777777777778,0.24200000000000002,0.174,11.555555555555555,10.05925925925926,2.0444444444444443,1.7481481481481478,2.488888888888889,1.8740740740740742,14.444444444444443,11.785185185185185,0.5777777777777777,0.4962962962962963,3.022222222222222,2.3111111111111113,0.5111111111111111,0.7777777777777778,15.97777777777778,13.792592592592591
09/12/2015,DePaul,1-3,4.0,0,49.0,22.0,148.0,0.182,47.0,4.0,9.0,49.0,7.0,1.0,20.0,6.0,64.0,1.0,DePaul,4,12.25,5.5,37.0,11.75,1.0,2.25,12.25,1.75,0.25,5.0,1.5,16.0,0.25,12.444444444444445,10.813333333333333,4.3999999999999995,4.826666666666666,31.777777777777775,29.72,0.264,0.1828,11.688888888888888,10.393333333333334,1.9111111111111108,1.653333333333333,2.022222222222222,1.8066666666666666,14.644444444444446,12.526666666666667,0.3111111111111111,0.4666666666666667,1.955555555555555,2.16,0.9111111111111111,0.82,15.644444444444446,14.013333333333332
