date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/28/2015,Michigan St.,3-2,5.0,0,65.0,34.0,196.0,0.158,57.0,3.0,12.0,78.0,2.0,3.0,21.0,2.0,81.5,0.0,Michigan St.,5,13.0,6.8,39.2,11.4,0.6,2.4,15.6,0.4,0.6,4.2,0.4,16.3,0.0
08/29/2015,Little Rock,3-0,3.0,0,49.0,14.0,113.0,0.31,42.0,7.0,4.0,39.0,3.0,0.0,14.0,6.0,63.0,0.0,Little Rock,3,16.333333333333332,4.666666666666667,37.666666666666664,14.0,2.3333333333333335,1.3333333333333333,13.0,1.0,0.0,4.666666666666667,2.0,21.0,0.0
08/29/2015,IUPUI,3-0,3.0,0,47.0,18.0,111.0,0.261,45.0,5.0,4.0,44.0,0.0,0.0,8.0,4.0,56.0,0.0,IUPUI,3,15.666666666666666,6.0,37.0,15.0,1.6666666666666667,1.3333333333333333,14.666666666666666,0.0,0.0,2.6666666666666665,1.3333333333333333,18.666666666666668,0.0
09/01/2015,Ohio,1-3,4.0,0,47.0,28.0,172.0,0.11,43.0,3.0,11.0,82.0,8.0,2.0,14.0,2.0,59.0,1.0,Ohio,4,11.75,7.0,43.0,10.75,0.75,2.75,20.5,2.0,0.5,3.5,0.5,14.75,0.25
09/04/2015,@ UNI,3-1,4.0,0,67.0,26.0,164.0,0.25,63.0,4.0,8.0,68.0,2.0,0.0,23.0,6.0,82.5,2.0,UNI,4,16.75,6.5,41.0,15.75,1.0,2.0,17.0,0.5,0.0,5.75,1.5,20.625,0.5
09/05/2015,"Creighton @ Cedar Falls, Iowa",0-3,3.0,0,33.0,21.0,103.0,0.117,32.0,2.0,8.0,40.0,7.0,3.0,0.0,1.0,38.0,1.0,Creighton,3,11.0,7.0,34.333333333333336,10.666666666666666,0.6666666666666666,2.6666666666666665,13.333333333333334,2.333333333333333,1.0,0.0,0.3333333333333333,12.666666666666666,0.3333333333333333
09/05/2015,"Southern California @ Cedar Falls, Iowa",0-3,3.0,0,34.0,18.0,97.0,0.165,30.0,2.0,6.0,25.0,6.0,1.0,2.0,2.0,38.0,1.0,Southern California,3,11.333333333333334,6.0,32.333333333333336,10.0,0.6666666666666666,2.0,8.333333333333334,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,12.666666666666666,0.3333333333333333
09/11/2015,"Illinois @ Wichita, Kan.",0-3,3.0,0,31.0,20.0,108.0,0.102,29.0,0.0,10.0,36.0,2.0,0.0,26.0,2.0,44.0,1.0,Illinois,3,10.333333333333334,6.666666666666667,36.0,9.666666666666666,0.0,3.3333333333333335,12.0,0.6666666666666666,0.0,8.666666666666666,0.6666666666666666,14.666666666666666,0.3333333333333333
09/11/2015,@ Wichita St.,2-3,5.0,0,63.0,19.0,153.0,0.288,59.0,3.0,12.0,55.0,9.0,4.0,14.0,4.0,77.0,0.0,Wichita St.,5,12.6,3.8,30.6,11.8,0.6,2.4,11.0,1.8,0.8,2.8,0.8,15.4,0.0
09/12/2015,"NIU @ Wichita, Kan.",3-0,3.0,0,47.0,12.0,97.0,0.361,41.0,7.0,11.0,40.0,1.0,2.0,10.0,3.0,61.0,0.0,NIU,3,15.666666666666666,4.0,32.333333333333336,13.666666666666666,2.3333333333333335,3.6666666666666665,13.333333333333334,0.3333333333333333,0.6666666666666666,3.3333333333333335,1.0,20.333333333333332,0.0
