date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,"CSUN @ Salt Lake City, Utah",3-2,5.0,0,68.0,24.0,169.0,0.26,66.0,8.0,23.0,69.0,5.0,2.0,16.0,7.0,86.0,0.0,CSUN
08/29/2015,"Idaho St. @ Salt Lake City, Utah",3-1,4.0,0,53.0,27.0,141.0,0.184,53.0,9.0,5.0,61.0,6.0,1.0,2.0,6.0,64.0,1.0,Idaho St.
08/29/2015,@ Utah,3-1,4.0,0,63.0,22.0,153.0,0.268,59.0,3.0,7.0,58.0,2.0,2.0,8.0,4.0,72.0,0.0,Utah
09/04/2015,Pepperdine,3-1,4.0,0,63.0,20.0,185.0,0.232,61.0,3.0,17.0,79.0,2.0,4.0,14.0,3.0,77.0,0.0,Pepperdine
09/04/2015,Ball St.,3-1,4.0,0,50.0,22.0,129.0,0.217,47.0,7.0,8.0,54.0,1.0,5.0,6.0,4.0,65.0,0.0,Ball St.
09/05/2015,Fla. Atlantic,0-3,3.0,0,37.0,24.0,113.0,0.115,34.0,0.0,7.0,34.0,3.0,2.0,6.0,1.0,42.0,0.0,Fla. Atlantic
09/11/2015,@ Creighton,0-3,3.0,0,26.0,20.0,97.0,0.062,25.0,3.0,7.0,30.0,7.0,1.0,4.0,8.0,32.0,1.0,Creighton
09/12/2015,"CSU Bakersfield @ Omaha, Neb.",2-3,5.0,0,67.0,25.0,169.0,0.249,65.0,9.0,6.0,69.0,4.0,1.0,24.0,7.0,89.0,2.0,CSU Bakersfield
09/12/2015,"Pacific @ Omaha, Neb.",0-3,3.0,0,37.0,21.0,101.0,0.158,35.0,3.0,6.0,35.0,3.0,1.0,4.0,3.0,43.0,1.0,Pacific
09/16/2015,@ Ole Miss,1-3,4.0,0,59.0,27.0,160.0,0.2,58.0,4.0,5.0,67.0,3.0,1.0,6.0,1.0,67.0,0.0,Ole Miss
09/18/2015,@ Northwestern,1-3,4.0,0,49.0,21.0,139.0,0.201,46.0,5.0,7.0,50.0,5.0,1.0,6.0,0.0,58.0,0.0,Northwestern
09/19/2015,"Milwaukee @ Evanston, Ill.",3-1,4.0,0,58.0,25.0,153.0,0.216,57.0,4.0,6.0,50.0,5.0,2.0,8.0,3.0,68.0,0.0,Milwaukee
09/22/2015,@ Belmont,3-2,5.0,0,68.0,32.0,181.0,0.199,65.0,6.0,15.0,80.0,4.0,2.0,16.0,4.0,84.0,2.0,Belmont
09/25/2015,@ NJIT,3-0,3.0,0,34.0,6.0,63.0,0.444,31.0,3.0,10.0,26.0,2.0,1.0,12.0,1.0,44.0,0.0,NJIT
09/29/2015,Western Ky.,0-3,3.0,0,39.0,17.0,108.0,0.204,36.0,2.0,8.0,36.0,2.0,0.0,2.0,7.0,42.0,0.0,Western Ky.
10/02/2015,Stetson,3-0,3.0,0,50.0,9.0,97.0,0.423,47.0,6.0,8.0,44.0,1.0,4.0,6.0,2.0,63.0,0.0,Stetson
10/04/2015,FGCU,3-0,3.0,0,55.0,14.0,94.0,0.436,53.0,2.0,8.0,46.0,2.0,1.0,4.0,1.0,60.0,3.0,FGCU
10/09/2015,@ North Florida,3-0,3.0,0,55.0,11.0,121.0,0.364,54.0,6.0,11.0,46.0,1.0,1.0,2.0,2.0,63.0,0.0,North Florida
10/10/2015,@ Jacksonville,3-2,5.0,0,85.0,27.0,191.0,0.304,73.0,4.0,14.0,77.0,3.0,3.0,6.0,0.0,95.0,0.0,Jacksonville
10/16/2015,USC Upstate,3-0,3.0,0,42.0,23.0,125.0,0.152,42.0,2.0,6.0,68.0,2.0,6.0,14.0,1.0,57.0,2.0,USC Upstate
10/18/2015,Kennesaw St.,2-3,5.0,0,71.0,36.0,182.0,0.192,69.0,1.0,16.0,69.0,1.0,2.0,12.0,5.0,80.0,0.0,Kennesaw St.
10/20/2015,Belmont,3-2,5.0,0,63.0,26.0,149.0,0.248,61.0,3.0,8.0,50.0,5.0,2.0,6.0,2.0,71.0,2.0,Belmont
10/24/2015,NJIT,3-0,3.0,0,47.0,12.0,97.0,0.361,45.0,3.0,8.0,41.0,2.0,0.0,8.0,2.0,54.0,1.0,NJIT
10/30/2015,@ USC Upstate,3-0,3.0,0,56.0,15.0,131.0,0.313,54.0,2.0,9.0,63.0,0.0,1.0,4.0,2.0,61.0,0.0,USC Upstate
10/31/2015,@ Kennesaw St.,3-2,5.0,0,78.0,29.0,190.0,0.258,76.0,4.0,11.0,83.0,4.0,2.0,4.0,2.0,86.0,2.0,Kennesaw St.
11/06/2015,Jacksonville,3-0,3.0,0,50.0,15.0,106.0,0.33,46.0,2.0,5.0,47.0,1.0,1.0,2.0,2.0,54.0,0.0,Jacksonville
11/08/2015,North Florida,3-0,3.0,0,48.0,22.0,118.0,0.22,43.0,1.0,4.0,48.0,0.0,2.0,18.0,3.0,60.0,0.0,North Florida
11/13/2015,@ FGCU,3-2,5.0,0,66.0,25.0,146.0,0.281,63.0,7.0,15.0,52.0,2.0,0.0,18.0,2.0,82.0,2.0,FGCU
11/14/2015,@ Stetson,3-0,3.0,0,42.0,9.0,89.0,0.371,39.0,9.0,5.0,36.0,0.0,3.0,4.0,4.0,56.0,0.0,Stetson
11/20/2015,Jacksonville,3-1,4.0,0,66.0,24.0,163.0,0.258,63.0,1.0,6.0,68.0,1.0,3.0,16.0,5.0,78.0,3.0,Jacksonville
11/21/2015,Kennesaw St.,3-0,3.0,0,44.0,9.0,97.0,0.361,41.0,4.0,7.0,46.0,1.0,3.0,12.0,4.0,57.0,3.0,Kennesaw St.
12/04/2015,@ UCLA,0-3,3.0,0,31.0,21.0,96.0,0.104,30.0,1.0,4.0,24.0,4.0,1.0,2.0,3.0,34.0,0.0,UCLA
