date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/29/2015,@ Robert Morris,1-3,4.0,0,48.0,33.0,153.0,0.098,46.0,3.0,8.0,58.0,3.0,1.0,8.0,1.0,56.0,1.0,Robert Morris
08/29/2015,"UMBC @ Moon Township, Pa.",1-3,4.0,0,46.0,21.0,143.0,0.175,46.0,2.0,9.0,53.0,7.0,1.0,10.0,0.0,54.0,2.0,UMBC
08/30/2015,"Canisius @ Moon Township, Pa.",0-3,3.0,0,27.0,25.0,108.0,0.019,25.0,1.0,2.0,40.0,4.0,1.0,16.0,0.0,37.0,4.0,Canisius
09/01/2015,Howard,3-0,3.0,0,38.0,11.0,105.0,0.257,36.0,5.0,12.0,49.0,3.0,0.0,16.0,3.0,51.0,1.0,Howard
09/04/2015,"Georgia St. @ High Point, N.C.",0-3,3.0,0,29.0,17.0,91.0,0.132,27.0,1.0,6.0,28.0,5.0,2.0,4.0,2.0,34.0,1.0,Georgia St.
09/04/2015,@ High Point,1-3,4.0,0,41.0,24.0,144.0,0.118,39.0,4.0,9.0,62.0,3.0,3.0,12.0,0.0,54.0,2.0,High Point
09/05/2015,"South Carolina St. @ High Point, N.C.",3-1,4.0,0,52.0,18.0,140.0,0.243,48.0,10.0,10.0,57.0,8.0,3.0,10.0,2.0,70.0,0.0,South Carolina St.
09/08/2015,Saint Francis (PA),3-0,3.0,0,45.0,8.0,112.0,0.33,40.0,3.0,4.0,54.0,5.0,1.0,12.0,2.0,55.0,1.0,Saint Francis 
09/11/2015,"Manhattan @ Princess Anne, Md.",3-1,4.0,0,53.0,20.0,120.0,0.275,45.0,7.0,12.0,46.0,8.0,1.0,14.0,6.0,68.0,2.0,Manhattan
09/12/2015,"N.C. Central @ Princess Anne, Md.",3-2,5.0,0,46.0,13.0,127.0,0.26,41.0,11.0,13.0,64.0,10.0,1.0,21.0,3.0,68.5,1.0,N.C. Central
09/12/2015,@ UMES,2-3,5.0,0,56.0,30.0,147.0,0.177,48.0,6.0,9.0,57.0,9.0,0.0,15.0,3.0,69.5,3.0,UMES
09/18/2015,@ Delaware,0-3,3.0,0,25.0,17.0,96.0,0.083,22.0,2.0,3.0,39.0,12.0,1.0,2.0,2.0,29.0,1.0,Delaware
09/18/2015,"Sacred Heart @ Newark, Del.",2-3,5.0,0,48.0,25.0,145.0,0.159,47.0,4.0,9.0,57.0,10.0,5.0,20.0,3.0,67.0,0.0,Sacred Heart
09/19/2015,"Morgan St. @ Newark, Del.",1-3,4.0,0,44.0,26.0,141.0,0.128,35.0,6.0,9.0,61.0,7.0,0.0,22.0,2.0,61.0,1.0,Morgan St.
09/22/2015,@ George Washington,1-3,4.0,0,48.0,20.0,124.0,0.226,41.0,8.0,9.0,44.0,6.0,0.0,10.0,0.0,61.0,4.0,George Washington
09/25/2015,@ Lehigh,0-3,3.0,0,34.0,19.0,84.0,0.179,32.0,4.0,5.0,22.0,4.0,3.0,6.0,2.0,44.0,0.0,Lehigh
09/26/2015,@ Lafayette,0-3,3.0,0,35.0,13.0,109.0,0.202,34.0,3.0,9.0,52.0,8.0,2.0,10.0,0.0,45.0,2.0,Lafayette
10/03/2015,Army West Point,0-3,3.0,0,29.0,19.0,85.0,0.118,24.0,4.0,9.0,19.0,7.0,1.0,12.0,0.0,40.0,3.0,Army West Point
10/04/2015,Holy Cross,3-0,3.0,0,50.0,16.0,112.0,0.304,42.0,4.0,4.0,58.0,1.0,0.0,8.0,1.0,58.0,1.0,Holy Cross
10/09/2015,@ Bucknell,0-3,3.0,0,38.0,27.0,106.0,0.104,37.0,2.0,6.0,34.0,4.0,0.0,8.0,0.0,44.0,0.0,Bucknell
10/10/2015,@ Colgate,1-3,4.0,0,45.0,31.0,134.0,0.104,43.0,6.0,6.0,51.0,4.0,0.0,4.0,3.0,53.0,2.0,Colgate
10/14/2015,American,0-3,3.0,0,30.0,21.0,94.0,0.096,26.0,4.0,6.0,35.0,2.0,0.0,2.0,2.0,35.0,4.0,American
10/16/2015,@ Navy,0-3,3.0,0,23.0,23.0,81.0,0.0,22.0,3.0,7.0,21.0,6.0,2.0,8.0,0.0,32.0,0.0,Navy
10/23/2015,Lafayette,1-3,4.0,0,46.0,23.0,143.0,0.161,43.0,1.0,10.0,65.0,7.0,1.0,16.0,3.0,56.0,6.0,Lafayette
10/24/2015,Lehigh,0-3,3.0,0,25.0,21.0,94.0,0.043,24.0,1.0,8.0,45.0,5.0,1.0,14.0,2.0,34.0,1.0,Lehigh
10/30/2015,@ Army West Point,0-3,3.0,0,26.0,15.0,86.0,0.128,24.0,4.0,7.0,23.0,4.0,0.0,8.0,0.0,34.0,2.0,Army West Point
10/31/2015,@ Holy Cross,0-3,3.0,0,36.0,25.0,113.0,0.097,31.0,3.0,7.0,52.0,6.0,0.0,18.0,0.0,48.0,4.0,Holy Cross
11/07/2015,Bucknell,0-3,3.0,0,29.0,18.0,86.0,0.128,23.0,1.0,5.0,35.0,4.0,2.0,5.0,0.0,34.5,3.0,Bucknell
11/08/2015,Colgate,0-3,3.0,0,34.0,19.0,93.0,0.161,34.0,1.0,5.0,37.0,11.0,0.0,2.0,3.0,36.0,1.0,Colgate
11/13/2015,@ American,0-3,3.0,0,25.0,20.0,92.0,0.054,22.0,2.0,4.0,29.0,10.0,3.0,2.0,1.0,31.0,1.0,American
11/14/2015,Navy,0-3,3.0,0,39.0,13.0,111.0,0.234,34.0,2.0,7.0,44.0,10.0,0.0,12.0,0.0,47.0,0.0,Navy
