date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,"North Dakota @ Ames, Iowa",3-1,4.0,0,71.0,19.0,156.0,0.333,66.0,2.0,6.0,72.0,7.0,2.0,14.0,2.0,82.0,1.0,North Dakota
08/29/2015,"Dayton @ Ames, Iowa",3-0,3.0,0,45.0,11.0,100.0,0.34,45.0,2.0,3.0,48.0,4.0,2.0,10.0,2.0,54.0,1.0,Dayton
08/29/2015,@ Iowa St.,3-0,3.0,0,38.0,18.0,120.0,0.167,31.0,5.0,4.0,55.0,4.0,0.0,17.0,3.0,51.5,0.0,Iowa St.
09/04/2015,"Oral Roberts @ Springfield, Mo.",2-3,5.0,0,68.0,26.0,156.0,0.269,63.0,4.0,9.0,71.0,4.0,1.0,10.0,3.0,78.0,1.0,Oral Roberts
09/05/2015,"Miami (FL) @ Springfield, Mo.",3-2,5.0,0,57.0,28.0,173.0,0.168,55.0,6.0,5.0,81.0,2.0,2.0,24.0,2.0,77.0,1.0,Miami 
09/05/2015,@ Missouri St.,3-1,4.0,0,68.0,18.0,154.0,0.325,68.0,2.0,10.0,62.0,4.0,2.0,16.0,3.0,80.0,2.0,Missouri St.
09/11/2015,@ Wyoming,2-3,5.0,0,57.0,35.0,172.0,0.128,55.0,4.0,7.0,66.0,2.0,1.0,15.0,3.0,69.5,1.0,Wyoming
09/11/2015,"Northern Colo. @ Laramie, Wyo.",3-1,4.0,0,61.0,13.0,145.0,0.331,55.0,6.0,5.0,73.0,5.0,2.0,14.0,3.0,76.0,1.0,Northern Colo.
09/12/2015,"Kansas @ Laramie, WY",0-3,3.0,0,36.0,13.0,97.0,0.237,34.0,1.0,2.0,44.0,4.0,1.0,6.0,2.0,41.0,0.0,Kansas
09/18/2015,Wichita St.,2-3,5.0,0,62.0,34.0,194.0,0.144,58.0,6.0,5.0,86.0,6.0,1.0,17.0,4.0,77.5,3.0,Wichita St.
09/19/2015,IUPUI,3-1,4.0,0,61.0,18.0,173.0,0.249,59.0,5.0,5.0,88.0,2.0,1.0,14.0,0.0,74.0,1.0,IUPUI
09/19/2015,UAlbany,3-0,3.0,0,43.0,11.0,107.0,0.299,42.0,5.0,6.0,57.0,1.0,1.0,19.0,2.0,58.5,0.0,UAlbany
09/23/2015,Xavier,0-3,3.0,0,31.0,15.0,109.0,0.147,29.0,1.0,4.0,39.0,2.0,0.0,14.0,1.0,39.0,1.0,Xavier
09/26/2015,DePaul,3-0,3.0,0,43.0,7.0,99.0,0.364,41.0,3.0,5.0,55.0,2.0,0.0,16.0,0.0,54.0,0.0,DePaul
09/30/2015,Butler,3-1,4.0,0,58.0,15.0,139.0,0.309,53.0,4.0,7.0,71.0,6.0,1.0,8.0,1.0,67.0,1.0,Butler
10/02/2015,@ Villanova,0-3,3.0,0,38.0,20.0,116.0,0.155,34.0,2.0,4.0,57.0,5.0,2.0,15.0,3.0,49.5,1.0,Villanova
10/03/2015,@ Seton Hall,3-0,3.0,0,48.0,10.0,115.0,0.33,45.0,7.0,4.0,59.0,3.0,1.0,12.0,2.0,62.0,0.0,Seton Hall
10/09/2015,@ Georgetown,3-0,3.0,0,41.0,13.0,95.0,0.295,38.0,6.0,7.0,36.0,3.0,2.0,10.0,1.0,54.0,2.0,Georgetown
10/11/2015,@ Creighton,0-3,3.0,0,33.0,12.0,101.0,0.208,29.0,2.0,4.0,41.0,2.0,0.0,10.0,2.0,40.0,0.0,Creighton
10/16/2015,Providence,3-0,3.0,0,43.0,16.0,117.0,0.231,40.0,4.0,7.0,54.0,4.0,0.0,14.0,1.0,54.0,3.0,Providence
10/17/2015,St. John's (NY),3-0,3.0,0,43.0,11.0,97.0,0.33,40.0,4.0,1.0,43.0,2.0,4.0,10.0,0.0,56.0,2.0,St. John's 
10/23/2015,Seton Hall,3-1,4.0,0,55.0,20.0,154.0,0.227,51.0,3.0,7.0,70.0,2.0,0.0,23.0,2.0,69.5,1.0,Seton Hall
10/24/2015,Villanova,3-1,4.0,0,51.0,17.0,150.0,0.227,49.0,7.0,7.0,83.0,4.0,1.0,22.0,1.0,70.0,1.0,Villanova
10/26/2015,Milwaukee,3-0,3.0,0,47.0,12.0,110.0,0.318,44.0,1.0,2.0,65.0,2.0,0.0,16.0,2.0,56.0,1.0,Milwaukee
10/31/2015,@ DePaul,3-0,3.0,0,43.0,10.0,114.0,0.289,36.0,4.0,4.0,59.0,2.0,1.0,16.0,0.0,56.0,0.0,DePaul
11/06/2015,Creighton,0-3,3.0,0,39.0,24.0,135.0,0.111,39.0,2.0,2.0,67.0,1.0,1.0,19.0,3.0,51.5,0.0,Creighton
11/07/2015,Georgetown,3-0,3.0,0,46.0,13.0,105.0,0.314,42.0,2.0,3.0,48.0,2.0,0.0,14.0,2.0,55.0,1.0,Georgetown
11/14/2015,@ St. John's (NY),2-3,5.0,0,60.0,19.0,176.0,0.233,56.0,4.0,7.0,96.0,7.0,3.0,22.0,1.0,78.0,1.0,St. John's 
11/15/2015,@ Providence,3-0,3.0,0,49.0,9.0,106.0,0.377,47.0,3.0,3.0,60.0,4.0,0.0,12.0,4.0,58.0,2.0,Providence
11/20/2015,@ Butler,3-0,3.0,0,49.0,5.0,107.0,0.411,46.0,1.0,5.0,58.0,3.0,1.0,8.0,2.0,55.0,1.0,Butler
11/21/2015,@ Xavier,1-3,4.0,0,53.0,27.0,177.0,0.147,48.0,6.0,1.0,86.0,4.0,4.0,8.0,2.0,67.0,2.0,Xavier
11/27/2015,@ Creighton,2-3,5.0,0,56.0,34.0,198.0,0.111,53.0,4.0,8.0,105.0,3.0,3.0,20.0,1.0,73.0,4.0,Creighton
12/04/2015,"UNI @ Minneapolis, MN",3-2,5.0,0,69.0,11.0,169.0,0.343,64.0,3.0,7.0,82.0,6.0,2.0,16.0,3.0,82.0,3.0,UNI
12/05/2015,@ Minnesota,0-3,3.0,0,35.0,25.0,117.0,0.085,34.0,4.0,6.0,55.0,2.0,1.0,14.0,0.0,47.0,2.0,Minnesota
