date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,@ Southern Miss.,2-3,5.0,0,43.0,28.0,164.0,0.091,37.0,6.0,12.0,72.0,4.0,2.0,16.0,2.0,59.0,2.0,Southern Miss.
08/29/2015,"Southern U. @ Hattiesburg, Miss.",3-0,3.0,0,32.0,15.0,86.0,0.198,32.0,4.0,5.0,43.0,2.0,1.0,8.0,0.0,41.0,0.0,Southern U.
08/29/2015,"Nicholls @ Hattiesburg, Miss.",2-3,5.0,0,53.0,26.0,157.0,0.172,52.0,9.0,6.0,82.0,10.0,1.0,14.0,1.0,70.0,4.0,Nicholls
09/03/2015,"Georgia Tech @ Athens, Ga.",0-3,3.0,0,27.0,23.0,86.0,0.047,26.0,6.0,2.0,27.0,8.0,0.0,6.0,0.0,36.0,1.0,Georgia Tech
09/04/2015,@ Georgia,0-3,3.0,0,26.0,16.0,72.0,0.139,26.0,6.0,11.0,27.0,10.0,2.0,6.0,5.0,37.0,2.0,Georgia
09/04/2015,"Kennesaw St. @ Athens, Ga.",0-3,3.0,0,26.0,20.0,86.0,0.07,25.0,3.0,4.0,32.0,7.0,0.0,6.0,5.0,32.0,0.0,Kennesaw St.
09/11/2015,@ Stetson,2-3,5.0,0,41.0,27.0,159.0,0.088,40.0,11.0,13.0,87.0,6.0,4.0,28.0,1.0,70.0,7.0,Stetson
09/12/2015,"FIU @ DeLand, Fla.",0-3,3.0,0,27.0,23.0,118.0,0.034,27.0,1.0,5.0,51.0,7.0,1.0,10.0,2.0,34.0,0.0,FIU
09/15/2015,Troy,3-1,4.0,0,45.0,15.0,130.0,0.231,41.0,8.0,10.0,50.0,7.0,1.0,20.0,3.0,64.0,4.0,Troy
09/19/2015,South Carolina St.,3-0,3.0,0,43.0,16.0,111.0,0.243,39.0,9.0,7.0,47.0,5.0,2.0,10.0,1.0,59.0,0.0,South Carolina St.
09/22/2015,Alabama A&M,3-1,4.0,0,52.0,24.0,140.0,0.2,52.0,10.0,8.0,60.0,3.0,2.0,12.0,2.0,70.0,4.0,Alabama A&M
09/25/2015,@ Samford,1-3,4.0,0,42.0,23.0,159.0,0.119,39.0,6.0,12.0,55.0,8.0,2.0,12.0,0.0,56.0,2.0,Samford
09/26/2015,@ Furman,0-3,3.0,0,39.0,19.0,125.0,0.16,36.0,4.0,7.0,52.0,3.0,1.0,14.0,2.0,51.0,3.0,Furman
09/30/2015,The Citadel,3-0,3.0,0,42.0,10.0,90.0,0.356,40.0,5.0,8.0,38.0,2.0,2.0,16.0,2.0,57.0,1.0,The Citadel
10/02/2015,@ Chattanooga,1-3,4.0,0,32.0,20.0,134.0,0.09,30.0,4.0,9.0,68.0,7.0,0.0,22.0,4.0,47.0,2.0,Chattanooga
10/03/2015,@ ETSU,0-3,3.0,0,27.0,13.0,94.0,0.149,27.0,1.0,4.0,31.0,2.0,3.0,8.0,1.0,35.0,4.0,ETSU
10/09/2015,Western Caro.,3-1,4.0,0,56.0,14.0,133.0,0.316,54.0,8.0,12.0,50.0,3.0,2.0,6.0,2.0,69.0,1.0,Western Caro.
10/10/2015,Wofford,3-1,4.0,0,53.0,29.0,166.0,0.145,50.0,7.0,12.0,70.0,2.0,2.0,24.0,3.0,74.0,0.0,Wofford
10/14/2015,@ Savannah St.,3-0,3.0,0,33.0,10.0,80.0,0.288,32.0,8.0,6.0,40.0,3.0,2.0,4.0,0.0,45.0,2.0,Savannah St.
10/16/2015,Samford,3-1,4.0,0,43.0,17.0,106.0,0.245,38.0,10.0,12.0,47.0,4.0,0.0,14.0,4.0,60.0,3.0,Samford
10/17/2015,Furman,1-3,4.0,0,43.0,16.0,134.0,0.201,38.0,11.0,6.0,57.0,3.0,0.0,20.0,4.0,64.0,3.0,Furman
10/24/2015,@ Wofford,2-3,5.0,0,61.0,24.0,179.0,0.207,55.0,3.0,7.0,74.0,8.0,3.0,14.0,2.0,74.0,4.0,Wofford
10/28/2015,UNC Greensboro,2-3,5.0,0,54.0,25.0,168.0,0.173,47.0,14.0,9.0,67.0,11.0,4.0,14.0,1.0,79.0,4.0,UNC Greensboro
10/29/2015,Chattanooga,1-3,4.0,0,50.0,21.0,138.0,0.21,45.0,3.0,7.0,44.0,13.0,2.0,12.0,1.0,61.0,0.0,Chattanooga
10/31/2015,ETSU,1-3,4.0,0,49.0,21.0,126.0,0.222,46.0,10.0,8.0,44.0,13.0,1.0,10.0,0.0,65.0,0.0,ETSU
11/06/2015,@ UNC Greensboro,0-3,3.0,0,35.0,25.0,131.0,0.076,33.0,3.0,8.0,58.0,2.0,0.0,11.0,2.0,43.5,3.0,UNC Greensboro
11/07/2015,@ Western Caro.,2-3,5.0,0,60.0,31.0,196.0,0.148,58.0,4.0,5.0,89.0,7.0,3.0,6.0,2.0,70.0,5.0,Western Caro.
11/13/2015,@ The Citadel,3-2,5.0,0,48.0,24.0,161.0,0.149,44.0,10.0,7.0,76.0,6.0,3.0,18.0,0.0,70.0,0.0,The Citadel
11/21/2015,"Furman @ Cullowhee, N.C.",1-3,4.0,0,51.0,21.0,153.0,0.196,47.0,4.0,8.0,62.0,5.0,4.0,16.0,0.0,67.0,1.0,Furman
