date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,@ Maryland,0-3,3.0,0,23.0,19.0,77.0,0.052,22.0,1.0,10.0,29.0,6.0,0.0,6.0,1.0,27.0,1.0,Maryland
08/28/2015,"Kent St. @ College Park, Md.",0-3,3.0,0,24.0,16.0,82.0,0.098,21.0,4.0,7.0,30.0,9.0,0.0,0.0,3.0,28.0,1.0,Kent St.
08/29/2015,"Hofstra @ College Park, Md.",0-3,3.0,0,22.0,22.0,80.0,0.0,19.0,1.0,6.0,21.0,7.0,2.0,6.0,0.0,28.0,0.0,Hofstra
08/29/2015,"Duquesne @ College Park, MD",0-3,3.0,0,32.0,16.0,106.0,0.151,30.0,5.0,9.0,42.0,6.0,1.0,4.0,1.0,40.0,0.0,Duquesne
09/04/2015,@ UIC,0-3,3.0,0,26.0,21.0,111.0,0.045,22.0,3.0,6.0,40.0,6.0,2.0,6.0,4.0,34.0,0.0,UIC
09/05/2015,"Central Conn. St. @ Chicago, Ill.",0-3,3.0,0,23.0,23.0,88.0,0.0,22.0,5.0,8.0,34.0,11.0,1.0,6.0,3.0,32.0,0.0,Central Conn. St.
09/05/2015,"Chicago St. @ Chicago, Ill.",3-0,3.0,0,41.0,19.0,109.0,0.202,39.0,13.0,6.0,56.0,2.0,1.0,6.0,1.0,58.0,0.0,Chicago St.
09/08/2015,Georgetown,0-3,3.0,0,25.0,19.0,85.0,0.071,18.0,4.0,5.0,23.0,4.0,1.0,2.0,0.0,31.0,0.0,Georgetown
09/11/2015,"Rider @ Baltimore, Md.",2-3,5.0,0,63.0,29.0,150.0,0.227,61.0,4.0,8.0,56.0,4.0,2.0,2.0,3.0,70.0,3.0,Rider
09/11/2015,@ UMBC,1-3,4.0,0,45.0,20.0,111.0,0.225,41.0,10.0,14.0,27.0,6.0,2.0,10.0,2.0,62.0,2.0,UMBC
09/12/2015,"Fordham @ Baltimore, Md.",3-1,4.0,0,54.0,24.0,139.0,0.216,47.0,8.0,11.0,51.0,3.0,0.0,16.0,3.0,70.0,2.0,Fordham
09/18/2015,"Sacred Heart @ Newark, Del.",2-3,5.0,0,53.0,31.0,147.0,0.15,50.0,5.0,8.0,59.0,15.0,0.0,12.0,1.0,64.0,2.0,Sacred Heart
09/18/2015,@ Delaware,0-3,3.0,0,36.0,20.0,130.0,0.123,34.0,4.0,5.0,66.0,4.0,0.0,8.0,1.0,44.0,2.0,Delaware
09/19/2015,"Loyola Maryland @ Newark, Del.",3-1,4.0,0,49.0,21.0,136.0,0.206,45.0,7.0,12.0,64.0,6.0,3.0,14.0,1.0,66.0,1.0,Loyola Maryland
09/25/2015,@ Hampton,3-1,4.0,0,51.0,25.0,114.0,0.228,44.0,10.0,9.0,34.0,3.0,0.0,8.0,2.0,65.0,1.0,Hampton
09/27/2015,@ Norfolk St.,3-2,5.0,0,57.0,28.0,172.0,0.169,52.0,8.0,5.0,69.0,7.0,1.0,10.0,4.0,71.0,3.0,Norfolk St.
10/02/2015,Howard,3-1,4.0,0,59.0,23.0,133.0,0.271,56.0,2.0,13.0,48.0,4.0,2.0,6.0,0.0,66.0,2.0,Howard
10/09/2015,UMES,0-3,3.0,0,30.0,19.0,79.0,0.139,30.0,4.0,8.0,23.0,3.0,2.0,8.0,0.0,40.0,4.0,UMES
10/11/2015,Delaware St.,3-0,3.0,0,38.0,9.0,72.0,0.403,36.0,6.0,7.0,32.0,2.0,1.0,8.0,0.0,49.0,3.0,Delaware St.
10/16/2015,@ Coppin St.,2-3,5.0,0,66.0,34.0,179.0,0.179,62.0,7.0,9.0,63.0,4.0,2.0,6.0,0.0,78.0,1.0,Coppin St.
10/23/2015,Hampton,3-0,3.0,0,37.0,11.0,87.0,0.299,33.0,4.0,7.0,40.0,3.0,1.0,14.0,1.0,49.0,2.0,Hampton
10/25/2015,Norfolk St.,3-0,3.0,0,41.0,10.0,79.0,0.392,34.0,2.0,4.0,37.0,6.0,0.0,12.0,1.0,49.0,0.0,Norfolk St.
10/30/2015,@ UMES,3-1,4.0,0,49.0,31.0,135.0,0.133,47.0,4.0,9.0,71.0,7.0,2.0,8.0,0.0,59.0,4.0,UMES
11/01/2015,@ Delaware St.,3-0,3.0,0,38.0,11.0,97.0,0.278,37.0,6.0,5.0,47.0,1.0,4.0,10.0,2.0,53.0,1.0,Delaware St.
11/06/2015,@ Howard,0-3,3.0,0,39.0,18.0,100.0,0.21,37.0,1.0,6.0,28.0,6.0,1.0,4.0,1.0,43.0,2.0,Howard
11/08/2015,Coppin St.,3-2,5.0,0,68.0,24.0,152.0,0.289,64.0,4.0,7.0,53.0,6.0,5.0,14.0,2.0,84.0,5.0,Coppin St.
11/20/2015,"N.C. A&T @ Princess Anne, Md.",3-0,3.0,0,39.0,15.0,75.0,0.32,37.0,3.0,13.0,31.0,2.0,0.0,16.0,0.0,50.0,0.0,N.C. A&T
11/21/2015,"Bethune-Cookman @ Princess Anne, Md.",0-3,3.0,0,32.0,29.0,107.0,0.028,30.0,3.0,8.0,29.0,2.0,0.0,6.0,2.0,38.0,1.0,Bethune-Cookman
