date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/28/2015,"N.C. Central @ Columbia, S.C.",3-0,3.0,0,35.0,15.0,96.0,0.208,31.0,6.0,5.0,35.0,4.0,1.0,14.0,1.0,49.0,0.0,N.C. Central,3,11.666666666666666,5.0,32.0,10.333333333333334,2.0,1.6666666666666667,11.666666666666666,1.3333333333333333,0.3333333333333333,4.666666666666667,0.3333333333333333,16.333333333333332,0.0
08/29/2015,@ South Carolina,3-0,3.0,0,43.0,16.0,99.0,0.273,40.0,7.0,7.0,46.0,2.0,0.0,10.0,2.0,55.0,0.0,South Carolina,3,14.333333333333334,5.333333333333333,33.0,13.333333333333334,2.3333333333333335,2.3333333333333335,15.333333333333334,0.6666666666666666,0.0,3.3333333333333335,0.6666666666666666,18.333333333333332,0.0
08/29/2015,"Southeastern La. @ Columbia,S.C.",3-0,3.0,0,37.0,14.0,74.0,0.311,35.0,9.0,11.0,24.0,7.0,1.0,22.0,1.0,58.0,1.0,Southeastern La.,3,12.333333333333334,4.666666666666667,24.666666666666668,11.666666666666666,3.0,3.6666666666666665,8.0,2.333333333333333,0.3333333333333333,7.333333333333333,0.3333333333333333,19.333333333333332,0.3333333333333333
09/04/2015,Ole Miss,2-3,5.0,0,56.0,23.0,150.0,0.22,55.0,7.0,12.0,46.0,6.0,0.0,22.0,2.0,74.0,1.0,Ole Miss,5,11.2,4.6,30.0,11.0,1.4,2.4,9.2,1.2,0.0,4.4,0.4,14.8,0.2
09/05/2015,Jacksonville,3-1,4.0,0,54.0,20.0,147.0,0.231,47.0,11.0,6.0,59.0,4.0,0.0,19.0,3.0,74.5,0.0,Jacksonville,4,13.5,5.0,36.75,11.75,2.75,1.5,14.75,1.0,0.0,4.75,0.75,18.625,0.0
09/05/2015,Delaware,3-0,3.0,0,42.0,13.0,92.0,0.315,41.0,8.0,8.0,45.0,2.0,0.0,14.0,4.0,57.0,1.0,Delaware,3,14.0,4.333333333333333,30.666666666666668,13.666666666666666,2.6666666666666665,2.6666666666666665,15.0,0.6666666666666666,0.0,4.666666666666667,1.3333333333333333,19.0,0.3333333333333333
09/11/2015,"Nicholls @ New Orleans, La.",3-1,4.0,0,51.0,19.0,127.0,0.252,49.0,4.0,5.0,66.0,2.0,3.0,18.0,3.0,67.0,0.0,Nicholls,4,12.75,4.75,31.75,12.25,1.0,1.25,16.5,0.5,0.75,4.5,0.75,16.75,0.0
09/12/2015,"UIW @ New Orleans, La.",3-2,5.0,0,57.0,25.0,163.0,0.196,53.0,9.0,7.0,63.0,6.0,0.0,20.0,2.0,76.0,1.0,UIW,5,11.4,5.0,32.6,10.6,1.8,1.4,12.6,1.2,0.0,4.0,0.4,15.2,0.2
09/12/2015,@ Tulane,3-1,4.0,0,52.0,19.0,129.0,0.256,47.0,8.0,10.0,41.0,6.0,5.0,18.0,2.0,74.0,2.0,Tulane,4,13.0,4.75,32.25,11.75,2.0,2.5,10.25,1.5,1.25,4.5,0.5,18.5,0.5
09/18/2015,Campbell,3-0,3.0,0,44.0,6.0,84.0,0.452,41.0,6.0,8.0,36.0,3.0,0.0,10.0,0.0,55.0,0.0,Campbell,3,14.666666666666666,2.0,28.0,13.666666666666666,2.0,2.6666666666666665,12.0,1.0,0.0,3.3333333333333335,0.0,18.333333333333332,0.0
09/19/2015,Hampton,3-0,3.0,0,40.0,11.0,73.0,0.397,39.0,5.0,6.0,33.0,2.0,2.0,14.0,2.0,54.0,1.0,Hampton,3,13.333333333333334,3.6666666666666665,24.333333333333332,13.0,1.6666666666666667,2.0,11.0,0.6666666666666666,0.6666666666666666,4.666666666666667,0.6666666666666666,18.0,0.3333333333333333
09/19/2015,Tennessee,3-0,3.0,0,45.0,21.0,108.0,0.222,43.0,1.0,12.0,37.0,4.0,1.0,24.0,1.0,59.0,0.0,Tennessee,3,15.0,7.0,36.0,14.333333333333334,0.3333333333333333,4.0,12.333333333333334,1.3333333333333333,0.3333333333333333,8.0,0.3333333333333333,19.666666666666668,0.0
09/25/2015,@ Pittsburgh,1-3,4.0,0,32.0,27.0,124.0,0.04,30.0,7.0,5.0,41.0,7.0,0.0,40.0,5.0,59.0,1.0,Pittsburgh,4,8.0,6.75,31.0,7.5,1.75,1.25,10.25,1.75,0.0,10.0,1.25,14.75,0.25
