date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/28/2015,"Northwestern @ Chicago, Ill.",0-3,3.0,0,15.0,25.0,103.0,-0.097,15.0,2.0,8.0,33.0,3.0,1.0,12.0,1.0,24.0,1.0,Northwestern,3,5.0,8.333333333333334,34.333333333333336,5.0,0.6666666666666666,2.6666666666666665,11.0,1.0,0.3333333333333333,4.0,0.3333333333333333,8.0,0.3333333333333333,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/28/2015,@ Loyola Chicago,1-3,4.0,0,47.0,20.0,147.0,0.184,45.0,6.0,6.0,58.0,4.0,3.0,4.0,1.0,58.0,1.0,Loyola Chicago,4,11.75,5.0,36.75,11.25,1.5,1.5,14.5,1.0,0.75,1.0,0.25,14.5,0.25,,2.5,,4.166666666666667,,17.166666666666668,,-0.0485,,2.5,,0.3333333333333333,,1.3333333333333333,,5.5,,0.16666666666666666,,2.0,,0.16666666666666666,,4.0
08/29/2015,"Wake Forest @ Chicago, Ill.",3-1,4.0,0,45.0,16.0,126.0,0.23,40.0,7.0,9.0,43.0,11.0,1.0,22.0,2.0,64.0,1.0,Wake Forest,4,11.25,4.0,31.5,10.0,1.75,2.25,10.75,2.75,0.25,5.5,0.5,16.0,0.25,,5.583333333333333,,4.444444444444445,,23.694444444444446,,0.028999999999999998,,5.416666666666667,,0.7222222222222222,,1.3888888888888886,,8.5,,0.3611111111111111,,1.6666666666666667,,0.19444444444444442,,7.5
09/01/2015,@ Northeastern,3-2,5.0,0,36.0,23.0,160.0,0.081,32.0,7.0,9.0,72.0,4.0,2.0,8.0,0.0,49.0,1.0,Northeastern,5,7.2,4.6,32.0,6.4,1.4,1.8,14.4,0.8,0.4,1.6,0.0,9.8,0.2,9.333333333333334,7.0,5.777777777777779,4.333333333333334,34.19444444444445,25.645833333333336,0.10566666666666667,0.07925,8.75,6.5625,1.3055555555555556,0.9791666666666666,2.138888888888889,1.6041666666666665,12.083333333333334,9.0625,0.4444444444444444,0.3333333333333333,3.5,2.625,0.3611111111111111,0.2708333333333333,12.833333333333334,9.625
09/04/2015,"Marshall @ Fairfield, Conn.",3-1,4.0,0,45.0,14.0,120.0,0.258,42.0,6.0,6.0,49.0,3.0,1.0,11.0,2.0,57.5,1.0,Marshall,4,11.25,3.5,30.0,10.5,1.5,1.5,12.25,0.75,0.25,2.75,0.5,14.375,0.25,10.066666666666666,7.040000000000001,4.533333333333333,4.386666666666668,33.416666666666664,26.916666666666668,0.165,0.0796,9.216666666666667,6.529999999999999,1.55,1.0633333333333332,1.8499999999999999,1.6433333333333333,13.216666666666667,10.129999999999999,0.4666666666666666,0.3466666666666667,2.6999999999999997,2.42,0.25,0.21666666666666665,13.433333333333332,9.66
09/05/2015,"Holy Cross @ Fairfield, Conn.",3-0,3.0,0,44.0,17.0,121.0,0.223,44.0,7.0,5.0,70.0,4.0,0.0,10.0,2.0,56.0,0.0,Holy Cross,3,14.666666666666666,5.666666666666667,40.333333333333336,14.666666666666666,2.333333333333333,1.6666666666666667,23.33333333333333,1.3333333333333333,0.0,3.333333333333333,0.6666666666666666,18.666666666666668,0.0,9.9,7.741666666666667,4.033333333333333,4.23888888888889,31.166666666666668,27.430555555555557,0.18966666666666668,0.10933333333333334,8.966666666666667,7.191666666666666,1.55,1.136111111111111,1.8499999999999999,1.6194444444444445,12.466666666666667,10.483333333333333,0.3,0.33055555555555555,3.283333333333333,2.475,0.3333333333333333,0.2638888888888889,13.391666666666666,10.445833333333333
09/05/2015,@ Fairfield,3-1,4.0,0,47.0,19.0,139.0,0.201,47.0,7.0,8.0,60.0,9.0,2.0,10.0,2.0,61.0,1.0,Fairfield,4,11.75,4.75,34.75,11.75,1.75,2.0,15.0,2.25,0.5,2.5,0.5,15.25,0.25,11.03888888888889,8.730952380952381,4.588888888888889,4.442857142857144,34.111111111111114,29.273809523809526,0.18733333333333335,0.12557142857142858,10.522222222222222,8.25952380952381,1.7444444444444442,1.307142857142857,1.6555555555555557,1.6261904761904762,16.661111111111108,12.319047619047618,0.21666666666666667,0.2833333333333333,2.5611111111111113,2.5976190476190477,0.38888888888888884,0.32142857142857145,14.280555555555557,11.620238095238095
09/08/2015,Bryant,3-1,4.0,0,47.0,15.0,160.0,0.2,43.0,8.0,5.0,73.0,2.0,2.0,14.0,2.0,64.0,2.0,Bryant,4,11.75,3.75,40.0,10.75,2.0,1.25,18.25,0.5,0.5,3.5,0.5,16.0,0.5,12.555555555555555,9.108333333333334,4.638888888888889,4.481250000000001,35.02777777777778,29.958333333333336,0.22733333333333336,0.135,12.305555555555555,8.695833333333333,1.861111111111111,1.3624999999999998,1.7222222222222223,1.6729166666666666,16.86111111111111,12.654166666666665,0.25,0.3104166666666667,2.861111111111111,2.5854166666666667,0.5555555555555555,0.34375,16.097222222222225,12.073958333333334
09/11/2015,Delaware,0-3,3.0,0,36.0,18.0,125.0,0.144,35.0,2.0,9.0,59.0,7.0,1.0,6.0,2.0,42.0,2.0,Delaware,3,12.0,6.0,41.66666666666666,11.666666666666666,0.6666666666666666,3.0,19.666666666666668,2.333333333333333,0.3333333333333333,2.0,0.6666666666666666,14.0,0.6666666666666666,12.722222222222221,9.401851851851852,4.722222222222222,4.400000000000001,38.361111111111114,31.074074074074076,0.208,0.14222222222222222,12.388888888888888,8.924074074074074,2.0277777777777777,1.4333333333333331,1.638888888888889,1.6259259259259258,18.86111111111111,13.275925925925925,0.3333333333333333,0.3314814814814815,3.111111111111111,2.687037037037037,0.5555555555555555,0.3611111111111111,16.63888888888889,12.510185185185186
09/12/2015,Michigan St.,0-3,3.0,0,25.0,16.0,107.0,0.084,24.0,7.0,5.0,42.0,5.0,0.0,6.0,0.0,35.0,1.0,Michigan St.,3,8.333333333333334,5.333333333333333,35.666666666666664,8.0,2.333333333333333,1.6666666666666667,14.0,1.6666666666666667,0.0,2.0,0.0,11.666666666666666,0.3333333333333333,11.833333333333334,9.661666666666667,4.833333333333333,4.5600000000000005,38.80555555555555,32.13333333333334,0.18166666666666667,0.1424,11.388888888888888,9.198333333333334,1.4722222222222223,1.3566666666666665,2.0833333333333335,1.7633333333333332,17.63888888888889,13.914999999999997,0.4444444444444444,0.33166666666666667,2.6666666666666665,2.618333333333333,0.5555555555555555,0.39166666666666666,15.083333333333334,12.659166666666668
