date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,@ UCF,0-3,3.0,0,29.0,17.0,100.0,0.12,28.0,1.0,8.0,41.0,2.0,1.0,12.0,2.0,37.0,0.0,UCF
08/29/2015,"Delaware @ Orlando, Fla.",3-2,5.0,0,64.0,20.0,179.0,0.246,63.0,6.0,16.0,80.0,9.0,4.0,14.0,8.0,81.0,2.0,Delaware
08/29/2015,"Southern Ill. @ Orlando, Fla.",1-3,4.0,0,52.0,21.0,144.0,0.215,50.0,5.0,12.0,54.0,7.0,1.0,4.0,2.0,60.0,0.0,Southern Ill.
09/04/2015,Western Mich.,3-1,4.0,0,62.0,19.0,156.0,0.276,57.0,7.0,7.0,64.0,1.0,3.0,6.0,0.0,75.0,0.0,Western Mich.
09/05/2015,Arizona St.,0-3,3.0,0,38.0,20.0,118.0,0.153,36.0,0.0,9.0,41.0,4.0,0.0,8.0,2.0,42.0,1.0,Arizona St.
09/08/2015,@ Colorado St.,0-3,3.0,0,34.0,21.0,123.0,0.106,30.0,3.0,9.0,48.0,3.0,0.0,4.0,0.0,39.0,0.0,Colorado St.
09/11/2015,"Marquette @ Laramie, Wyo.",1-3,4.0,0,58.0,22.0,165.0,0.218,53.0,5.0,8.0,64.0,6.0,1.0,4.0,3.0,66.0,1.0,Marquette
09/11/2015,"Kansas @ Laramie, Wyo.",1-3,4.0,0,46.0,25.0,136.0,0.154,42.0,0.0,9.0,54.0,0.0,0.0,22.0,1.0,57.0,4.0,Kansas
09/12/2015,@ Wyoming,1-3,4.0,0,43.0,32.0,141.0,0.078,43.0,7.0,9.0,63.0,4.0,1.0,15.0,2.0,58.5,0.0,Wyoming
09/18/2015,Utah St.,3-0,3.0,0,43.0,17.0,105.0,0.248,38.0,4.0,5.0,38.0,3.0,4.0,10.0,2.0,56.0,0.0,Utah St.
09/19/2015,Indiana,0-3,3.0,0,26.0,12.0,84.0,0.167,22.0,0.0,6.0,22.0,3.0,3.0,14.0,3.0,36.0,3.0,Indiana
09/19/2015,Eastern Ky.,3-1,4.0,0,66.0,21.0,147.0,0.306,63.0,6.0,13.0,60.0,5.0,3.0,8.0,4.0,79.0,3.0,Eastern Ky.
09/22/2015,@ Denver,0-3,3.0,0,27.0,31.0,114.0,-0.035,26.0,3.0,6.0,38.0,5.0,1.0,6.0,1.0,34.0,2.0,Denver
09/24/2015,@ Idaho,1-3,4.0,0,57.0,35.0,163.0,0.135,55.0,1.0,8.0,73.0,4.0,1.0,2.0,4.0,60.0,0.0,Idaho
09/26/2015,@ Eastern Wash.,0-3,3.0,0,35.0,22.0,113.0,0.115,35.0,2.0,3.0,52.0,3.0,0.0,6.0,0.0,40.0,3.0,Eastern Wash.
10/01/2015,Montana St.,3-0,3.0,0,41.0,14.0,108.0,0.25,40.0,3.0,5.0,43.0,1.0,1.0,16.0,2.0,53.0,0.0,Montana St.
10/03/2015,Montana,3-1,4.0,0,65.0,18.0,139.0,0.338,61.0,5.0,8.0,60.0,3.0,0.0,14.0,0.0,77.0,1.0,Montana
10/08/2015,Idaho St.,2-3,5.0,0,49.0,18.0,157.0,0.197,47.0,3.0,7.0,66.0,6.0,1.0,18.0,3.0,62.0,0.0,Idaho St.
10/10/2015,Weber St.,3-0,3.0,0,45.0,21.0,110.0,0.218,39.0,2.0,7.0,35.0,2.0,1.0,12.0,0.0,54.0,0.0,Weber St.
10/15/2015,@ Sacramento St.,1-3,4.0,0,48.0,20.0,136.0,0.206,44.0,2.0,9.0,63.0,4.0,2.0,16.0,0.0,60.0,0.0,Sacramento St.
10/17/2015,North Dakota,3-0,3.0,0,51.0,15.0,110.0,0.327,49.0,3.0,4.0,52.0,1.0,2.0,10.0,2.0,61.0,1.0,North Dakota
10/22/2015,@ Southern Utah,1-3,4.0,0,59.0,33.0,172.0,0.151,58.0,1.0,8.0,87.0,3.0,4.0,18.0,1.0,73.0,0.0,Southern Utah
10/24/2015,@ Northern Ariz.,2-3,5.0,0,68.0,28.0,190.0,0.211,68.0,3.0,11.0,88.0,10.0,5.0,14.0,2.0,83.0,1.0,Northern Ariz.
10/29/2015,Portland St.,3-0,3.0,0,48.0,19.0,117.0,0.248,46.0,2.0,4.0,48.0,5.0,2.0,12.0,2.0,58.0,0.0,Portland St.
10/31/2015,@ North Dakota,3-2,5.0,0,72.0,23.0,185.0,0.265,68.0,2.0,9.0,86.0,3.0,4.0,16.0,6.0,86.0,0.0,North Dakota
11/06/2015,@ Montana,3-2,5.0,0,69.0,17.0,167.0,0.311,64.0,1.0,6.0,82.0,5.0,3.0,21.0,5.0,83.5,1.0,Montana
11/07/2015,@ Montana St.,3-2,5.0,0,73.0,22.0,172.0,0.297,69.0,7.0,7.0,72.0,6.0,2.0,10.0,2.0,87.0,5.0,Montana St.
11/12/2015,Eastern Wash.,3-2,5.0,0,68.0,33.0,184.0,0.19,64.0,5.0,6.0,81.0,3.0,1.0,8.0,1.0,78.0,4.0,Eastern Wash.
11/14/2015,Idaho,3-1,4.0,0,63.0,26.0,169.0,0.219,57.0,3.0,8.0,76.0,2.0,4.0,10.0,0.0,75.0,0.0,Idaho
11/19/2015,"Sacramento St. @ Flagstaff, Ariz.",1-3,4.0,0,48.0,29.0,141.0,0.135,45.0,5.0,8.0,62.0,8.0,2.0,12.0,1.0,61.0,2.0,Sacramento St.
