date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,Washington St.,3-1,4.0,0,60.0,22.0,157.0,0.242,56.0,3.0,9.0,80.0,7.0,2.0,8.0,0.0,69.0,3.0,Washington St.
08/29/2015,Elon,3-2,5.0,0,57.0,27.0,168.0,0.179,53.0,3.0,10.0,72.0,6.0,3.0,14.0,0.0,70.0,2.0,Elon
08/29/2015,LIU,3-1,4.0,0,53.0,23.0,117.0,0.256,47.0,7.0,9.0,50.0,7.0,2.0,14.0,2.0,69.0,0.0,LIU
09/04/2015,"Princeton @ Washington, DC",2-3,5.0,0,71.0,25.0,190.0,0.242,64.0,3.0,9.0,86.0,5.0,0.0,10.0,1.0,79.0,2.0,Princeton
09/04/2015,"UC Davis @ Washington, D.C.",0-3,3.0,0,32.0,23.0,112.0,0.08,27.0,1.0,3.0,52.0,5.0,2.0,2.0,2.0,36.0,0.0,UC Davis
09/05/2015,@ George Washington,1-3,4.0,0,60.0,30.0,176.0,0.17,55.0,3.0,9.0,63.0,4.0,0.0,10.0,0.0,68.0,1.0,George Washington
09/11/2015,"DePaul @ Atlanta, Ga.",2-3,5.0,0,59.0,21.0,153.0,0.248,55.0,10.0,5.0,64.0,8.0,1.0,12.0,1.0,76.0,1.0,DePaul
09/11/2015,@ Georgia St.,3-2,5.0,0,67.0,22.0,200.0,0.225,64.0,4.0,6.0,82.0,4.0,2.0,4.0,2.0,75.0,2.0,Georgia St.
09/12/2015,"Grambling @ Atlanta, GA",3-0,3.0,0,41.0,13.0,90.0,0.311,38.0,7.0,5.0,36.0,0.0,0.0,10.0,3.0,53.0,2.0,Grambling
09/15/2015,@ Norfolk St.,3-0,3.0,0,40.0,8.0,90.0,0.356,36.0,9.0,7.0,36.0,3.0,1.0,16.0,0.0,58.0,0.0,Norfolk St.
09/18/2015,@ Toledo,1-3,4.0,0,60.0,27.0,184.0,0.179,55.0,4.0,7.0,90.0,2.0,3.0,8.0,1.0,71.0,4.0,Toledo
09/18/2015,"Cleveland St. @ Toledo, OH",2-3,5.0,0,54.0,21.0,173.0,0.191,48.0,4.0,8.0,70.0,5.0,1.0,6.0,1.0,62.0,5.0,Cleveland St.
09/19/2015,"Robert Morris @ Toledo, OH",3-0,3.0,0,62.0,18.0,161.0,0.273,59.0,1.0,3.0,78.0,1.0,0.0,8.0,1.0,67.0,1.0,Robert Morris
09/25/2015,Liberty,1-3,4.0,0,41.0,29.0,151.0,0.079,38.0,4.0,7.0,54.0,2.0,0.0,16.0,2.0,53.0,4.0,Liberty
10/02/2015,UNC Asheville,0-3,3.0,0,39.0,24.0,121.0,0.124,36.0,7.0,5.0,47.0,3.0,0.0,2.0,2.0,47.0,1.0,UNC Asheville
10/03/2015,Gardner-Webb,3-1,4.0,0,49.0,22.0,167.0,0.162,49.0,3.0,4.0,74.0,10.0,3.0,12.0,0.0,61.0,0.0,Gardner-Webb
10/09/2015,@ High Point,1-3,4.0,0,46.0,24.0,166.0,0.133,42.0,2.0,5.0,79.0,9.0,1.0,16.0,3.0,57.0,1.0,High Point
10/10/2015,@ Campbell,3-1,4.0,0,55.0,16.0,121.0,0.322,50.0,7.0,8.0,63.0,5.0,1.0,12.0,0.0,69.0,0.0,Campbell
10/16/2015,Coastal Carolina,0-3,3.0,0,46.0,18.0,121.0,0.231,42.0,3.0,5.0,40.0,4.0,0.0,4.0,1.0,51.0,2.0,Coastal Carolina
10/17/2015,Charleston So.,2-3,5.0,0,65.0,26.0,171.0,0.228,63.0,7.0,5.0,65.0,8.0,0.0,20.0,1.0,82.0,1.0,Charleston So.
10/23/2015,@ Winthrop,2-3,5.0,0,67.0,29.0,178.0,0.213,57.0,5.0,10.0,81.0,6.0,2.0,18.0,5.0,83.0,0.0,Winthrop
10/24/2015,@ Presbyterian,3-0,3.0,0,46.0,12.0,106.0,0.321,43.0,3.0,5.0,49.0,2.0,1.0,6.0,3.0,53.0,0.0,Presbyterian
10/30/2015,@ Liberty,3-1,4.0,0,47.0,31.0,139.0,0.115,45.0,7.0,6.0,58.0,3.0,1.0,16.0,1.0,63.0,5.0,Liberty
11/06/2015,Campbell,3-2,5.0,0,62.0,29.0,178.0,0.185,59.0,3.0,11.0,79.0,6.0,3.0,10.0,2.0,73.0,1.0,Campbell
11/07/2015,High Point,2-3,5.0,0,61.0,26.0,182.0,0.192,51.0,4.0,8.0,55.0,5.0,3.0,14.0,4.0,75.0,2.0,High Point
11/13/2015,@ Gardner-Webb,3-2,5.0,0,58.0,25.0,154.0,0.214,47.0,2.0,5.0,69.0,4.0,6.0,6.0,0.0,69.0,2.0,Gardner-Webb
11/14/2015,@ UNC Asheville,0-3,3.0,0,35.0,11.0,100.0,0.24,34.0,2.0,2.0,35.0,5.0,0.0,6.0,3.0,40.0,1.0,UNC Asheville
11/19/2015,"Liberty @ High Point, NC",3-2,5.0,0,69.0,27.0,186.0,0.226,65.0,5.0,5.0,95.0,9.0,3.0,18.0,1.0,86.0,3.0,Liberty
11/20/2015,"Campbell @ High Point, NC",1-3,4.0,0,46.0,21.0,152.0,0.164,44.0,1.0,6.0,75.0,5.0,1.0,6.0,3.0,51.0,2.0,Campbell
