date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,"Drake @ Macomb, Ill.",2-3,5.0,0,62.0,31.0,170.0,0.182,57.0,7.0,14.0,85.0,7.0,1.0,12.0,2.0,76.0,0.0,Drake
08/28/2015,"Akron @ Macomb, Ill.",3-2,5.0,0,58.0,20.0,165.0,0.23,56.0,9.0,9.0,75.0,9.0,1.0,22.0,4.0,79.0,0.0,Akron
08/29/2015,"DePaul @ Macomb, Ill.",0-3,3.0,0,31.0,19.0,91.0,0.132,29.0,1.0,5.0,28.0,6.0,1.0,6.0,2.0,36.0,0.0,DePaul
09/04/2015,Arkansas,0-3,3.0,0,25.0,19.0,75.0,0.08,25.0,3.0,6.0,17.0,5.0,1.0,8.0,3.0,33.0,1.0,Arkansas
09/05/2015,Northern Ky.,2-3,5.0,0,51.0,27.0,144.0,0.167,46.0,8.0,9.0,45.0,6.0,2.0,12.0,6.0,67.0,1.0,Northern Ky.
09/05/2015,Louisiana Tech,0-3,3.0,0,30.0,29.0,106.0,0.009,23.0,3.0,7.0,34.0,4.0,0.0,6.0,2.0,36.0,1.0,Louisiana Tech
09/11/2015,@ Kansas City,1-3,4.0,0,53.0,22.0,164.0,0.189,50.0,4.0,8.0,89.0,7.0,2.0,4.0,0.0,61.0,2.0,Kansas City
09/11/2015,"Omaha @ Kansas City, Mo.",2-3,5.0,0,48.0,30.0,151.0,0.119,45.0,3.0,11.0,59.0,8.0,1.0,20.0,2.0,62.0,0.0,Omaha
09/12/2015,"Bradley @ Kansas City, Mo.",3-0,3.0,0,39.0,22.0,116.0,0.147,36.0,6.0,6.0,49.0,3.0,1.0,14.0,1.0,53.0,0.0,Bradley
09/19/2015,@ Cincinnati,0-3,3.0,0,27.0,13.0,110.0,0.127,24.0,2.0,5.0,50.0,5.0,0.0,8.0,2.0,33.0,2.0,Cincinnati
09/25/2015,Jacksonville St.,3-2,5.0,0,68.0,27.0,182.0,0.225,63.0,3.0,15.0,69.0,2.0,3.0,18.0,6.0,83.0,6.0,Jacksonville St.
09/26/2015,Tennessee Tech,2-3,5.0,0,58.0,24.0,152.0,0.224,54.0,1.0,9.0,61.0,6.0,1.0,12.0,2.0,66.0,2.0,Tennessee Tech
09/30/2015,Eastern Ill.,1-3,4.0,0,53.0,21.0,154.0,0.208,48.0,5.0,12.0,56.0,2.0,3.0,6.0,3.0,64.0,5.0,Eastern Ill.
10/03/2015,@ Tennessee St.,0-3,3.0,0,28.0,14.0,106.0,0.132,28.0,2.0,6.0,35.0,6.0,2.0,6.0,1.0,35.0,1.0,Tennessee St.
10/09/2015,@ Austin Peay,2-3,5.0,0,56.0,24.0,155.0,0.206,52.0,6.0,7.0,71.0,10.0,5.0,16.0,0.0,75.0,1.0,Austin Peay
10/10/2015,@ Murray St.,0-3,3.0,0,23.0,17.0,88.0,0.068,23.0,2.0,8.0,25.0,8.0,1.0,10.0,2.0,31.0,0.0,Murray St.
10/16/2015,Southeast Mo. St.,3-1,4.0,0,48.0,26.0,146.0,0.151,45.0,9.0,7.0,60.0,3.0,2.0,10.0,1.0,64.0,0.0,Southeast Mo. St.
10/17/2015,UT Martin,3-2,5.0,0,71.0,31.0,179.0,0.223,65.0,8.0,9.0,67.0,4.0,3.0,16.0,3.0,90.0,4.0,UT Martin
10/23/2015,Murray St.,1-3,4.0,0,38.0,30.0,142.0,0.056,37.0,5.0,7.0,49.0,5.0,1.0,18.0,1.0,53.0,1.0,Murray St.
10/24/2015,Austin Peay,3-1,4.0,0,66.0,26.0,161.0,0.248,57.0,3.0,10.0,77.0,6.0,1.0,2.0,4.0,71.0,1.0,Austin Peay
10/30/2015,@ UT Martin,1-3,4.0,0,56.0,27.0,163.0,0.178,54.0,4.0,9.0,70.0,5.0,2.0,18.0,8.0,71.0,1.0,UT Martin
10/31/2015,@ Southeast Mo. St.,0-3,3.0,0,40.0,20.0,102.0,0.196,37.0,3.0,4.0,45.0,5.0,2.0,4.0,0.0,47.0,1.0,Southeast Mo. St.
11/06/2015,@ Morehead St.,3-1,4.0,0,44.0,24.0,125.0,0.16,39.0,10.0,4.0,40.0,5.0,1.0,10.0,0.0,60.0,0.0,Morehead St.
11/07/2015,@ Eastern Ky.,2-3,5.0,0,56.0,25.0,147.0,0.211,42.0,7.0,7.0,63.0,10.0,5.0,18.0,0.0,77.0,0.0,Eastern Ky.
11/11/2015,@ Eastern Ill.,2-3,5.0,0,51.0,30.0,192.0,0.109,50.0,7.0,5.0,80.0,8.0,1.0,24.0,1.0,71.0,0.0,Eastern Ill.
11/14/2015,Belmont,3-1,4.0,0,54.0,17.0,133.0,0.278,51.0,7.0,8.0,60.0,6.0,1.0,12.0,1.0,68.0,0.0,Belmont
