date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/28/2015,"Rutgers @ Santa Clara, CA",3-0,3.0,0,50.0,18.0,127.0,0.252,45.0,7.0,6.0,53.0,6.0,1.0,4.0,3.0,60.0,0.0,Rutgers,3,16.666666666666668,6.0,42.333333333333336,15.0,2.333333333333333,2.0,17.666666666666668,2.0,0.3333333333333333,1.3333333333333333,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/29/2015,"Cal Poly @ San Jose, Calif.",1-3,4.0,0,50.0,19.0,147.0,0.211,43.0,5.0,7.0,55.0,9.0,2.0,14.0,3.0,64.0,1.0,Cal Poly,4,12.5,4.75,36.75,10.75,1.25,1.75,13.75,2.25,0.5,3.5,0.75,16.0,0.25,,8.333333333333334,,3.0,,21.166666666666668,,0.126,,7.5,,1.1666666666666665,,1.0,,8.833333333333334,,0.16666666666666666,,0.6666666666666666,,0.5,,10.0
08/29/2015,@ San Jose St.,3-1,4.0,0,41.0,16.0,128.0,0.195,37.0,2.0,8.0,52.0,4.0,2.0,20.0,2.0,55.0,0.0,San Jose St.,4,10.25,4.0,32.0,9.25,0.5,2.0,13.0,1.0,0.5,5.0,0.5,13.75,0.0,,9.722222222222223,,3.5833333333333335,,26.361111111111114,,0.15433333333333332,,8.583333333333334,,1.1944444444444444,,1.25,,10.472222222222223,,0.27777777777777773,,1.611111111111111,,0.5833333333333334,,12.0
09/01/2015,CSU Bakersfield,3-1,4.0,0,59.0,16.0,127.0,0.339,55.0,9.0,5.0,59.0,5.0,2.0,20.0,2.0,80.0,1.0,CSU Bakersfield,4,14.75,4.0,31.75,13.75,2.25,1.25,14.75,1.25,0.5,5.0,0.5,20.0,0.25,13.138888888888891,9.854166666666668,4.916666666666667,3.6875,37.02777777777778,27.770833333333336,0.21933333333333335,0.16449999999999998,11.666666666666666,8.75,1.361111111111111,1.0208333333333333,1.9166666666666667,1.4375,14.805555555555557,11.104166666666668,0.4444444444444444,0.3333333333333333,3.2777777777777772,2.458333333333333,0.75,0.5625,16.583333333333332,12.4375
09/04/2015,"Norfolk St. @ Buies Creek, N.C.",3-0,3.0,0,28.0,9.0,79.0,0.241,24.0,10.0,3.0,35.0,3.0,5.0,10.0,0.0,48.0,0.0,Norfolk St.,3,9.333333333333334,3.0,26.33333333333333,8.0,3.333333333333333,1.0,11.666666666666666,1.0,1.6666666666666667,3.333333333333333,0.0,16.0,0.0,12.5,10.833333333333334,4.25,3.75,33.5,28.56666666666667,0.24833333333333332,0.19939999999999997,11.25,9.75,1.3333333333333333,1.2666666666666666,1.6666666666666667,1.4,13.833333333333334,11.833333333333334,0.5,0.36666666666666664,4.5,2.9666666666666663,0.5833333333333334,0.55,16.583333333333332,13.95
09/05/2015,@ Campbell,3-1,4.0,0,54.0,16.0,173.0,0.22,51.0,7.0,12.0,94.0,2.0,5.0,10.0,0.0,71.0,3.0,Campbell,4,13.5,4.0,43.25,12.75,1.75,3.0,23.5,0.5,1.25,2.5,0.0,17.75,0.75,11.444444444444445,10.583333333333334,3.6666666666666665,3.625,30.027777777777775,28.194444444444446,0.25833333333333336,0.20633333333333334,10.333333333333334,9.458333333333334,2.0277777777777777,1.611111111111111,1.4166666666666667,1.3333333333333333,13.138888888888888,11.805555555555557,0.888888888888889,0.5833333333333334,4.444444444444444,3.0277777777777772,0.3333333333333333,0.4583333333333333,16.583333333333332,14.291666666666666
09/05/2015,"UNCW @ Buies Creek, N.C.",3-1,4.0,0,58.0,22.0,172.0,0.209,56.0,4.0,8.0,84.0,5.0,4.0,6.0,0.0,69.0,1.0,UNCW,4,14.5,5.5,43.0,14.0,1.0,2.0,21.0,1.25,1.0,1.5,0.0,17.25,0.25,12.527777777777779,11.0,3.6666666666666665,3.6785714285714284,33.77777777777778,30.3452380952381,0.26666666666666666,0.20828571428571427,11.5,9.928571428571429,2.444444444444444,1.630952380952381,1.75,1.5714285714285714,16.63888888888889,13.476190476190478,1.138888888888889,0.6785714285714286,3.6111111111111107,2.952380952380952,0.16666666666666666,0.39285714285714285,17.916666666666668,14.785714285714286
09/11/2015,"Central Mich. @ Fresno, Calif.",3-1,4.0,0,55.0,30.0,149.0,0.168,46.0,8.0,1.0,48.0,6.0,1.0,18.0,4.0,73.0,0.0,Central Mich.,4,13.75,7.5,37.25,11.5,2.0,0.25,12.0,1.5,0.25,4.5,1.0,18.25,0.0,12.444444444444445,11.4375,4.166666666666667,3.90625,37.52777777777778,31.927083333333336,0.2233333333333333,0.208375,11.583333333333334,10.4375,2.0277777777777777,1.5520833333333333,2.0,1.625,18.72222222222222,14.416666666666668,1.3055555555555556,0.71875,2.444444444444444,2.770833333333333,0.0,0.34375,17.0,15.09375
09/11/2015,"UC Riverside @ Fresno, Calif.",3-1,4.0,0,47.0,19.0,128.0,0.219,43.0,13.0,9.0,45.0,6.0,1.0,8.0,8.0,65.0,0.0,UC Riverside,4,11.75,4.75,32.0,10.75,3.25,2.25,11.25,1.5,0.25,2.0,2.0,16.25,0.0,13.916666666666666,11.694444444444445,5.666666666666667,4.305555555555555,41.166666666666664,32.51851851851852,0.19899999999999998,0.2038888888888889,12.75,10.555555555555555,1.5833333333333333,1.6018518518518519,1.75,1.4722222222222223,18.833333333333332,14.148148148148149,0.8333333333333334,0.6666666666666666,2.8333333333333335,2.962962962962963,0.3333333333333333,0.4166666666666667,17.75,15.444444444444445
09/12/2015,"Cal St. Fullerton @ Fresno, Calif.",3-0,3.0,0,44.0,15.0,118.0,0.246,37.0,9.0,6.0,47.0,1.0,0.0,12.0,1.0,59.0,0.0,Cal St. Fullerton,3,14.666666666666666,5.0,39.333333333333336,12.333333333333334,3.0,2.0,15.666666666666666,0.3333333333333333,0.0,4.0,0.3333333333333333,19.666666666666668,0.0,13.333333333333334,11.7,5.916666666666667,4.35,37.416666666666664,32.46666666666667,0.19866666666666669,0.20539999999999997,12.083333333333334,10.575,2.0833333333333335,1.7666666666666664,1.5,1.55,14.75,13.858333333333334,0.5,0.625,2.6666666666666665,2.8666666666666663,1.0,0.575,17.25,15.525
