date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/28/2015,"UIW @ Malibu, Calif.",3-0,3.0,0,36.0,11.0,101.0,0.248,34.0,4.0,6.0,39.0,2.0,0.0,12.0,2.0,46.0,0.0,UIW,3,12.0,3.6666666666666665,33.666666666666664,11.333333333333334,1.3333333333333333,2.0,13.0,0.6666666666666666,0.0,4.0,0.6666666666666666,15.333333333333334,0.0
08/28/2015,"Utah Valley @ Malibu, Calif.",3-0,3.0,0,45.0,20.0,120.0,0.208,42.0,8.0,13.0,47.0,4.0,3.0,8.0,0.0,60.0,1.0,Utah Valley,3,15.0,6.666666666666667,40.0,14.0,2.6666666666666665,4.333333333333333,15.666666666666666,1.3333333333333333,1.0,2.6666666666666665,0.0,20.0,0.3333333333333333
08/29/2015,@ Pepperdine,1-3,4.0,0,53.0,19.0,173.0,0.197,49.0,3.0,11.0,81.0,5.0,2.0,8.0,3.0,62.0,2.0,Pepperdine,4,13.25,4.75,43.25,12.25,0.75,2.75,20.25,1.25,0.5,2.0,0.75,15.5,0.5
09/04/2015,"Rice @ New Haven, Conn.",3-1,4.0,0,63.0,11.0,146.0,0.356,56.0,4.0,4.0,70.0,7.0,2.0,12.0,1.0,75.0,4.0,Rice,4,15.75,2.75,36.5,14.0,1.0,1.0,17.5,1.75,0.5,3.0,0.25,18.75,1.0
09/05/2015,"Rhode Island @ New Haven, Conn.",2-3,5.0,0,50.0,14.0,131.0,0.275,47.0,8.0,10.0,59.0,7.0,3.0,18.0,2.0,70.0,3.0,Rhode Island,5,10.0,2.8,26.2,9.4,1.6,2.0,11.8,1.4,0.6,3.6,0.4,14.0,0.6
09/05/2015,@ Yale,3-1,4.0,0,46.0,17.0,128.0,0.227,45.0,9.0,8.0,68.0,5.0,4.0,18.0,0.0,68.0,3.0,Yale,4,11.5,4.25,32.0,11.25,2.25,2.0,17.0,1.25,1.0,4.5,0.0,17.0,0.75
09/11/2015,SMU,1-3,4.0,0,47.0,21.0,161.0,0.161,46.0,6.0,5.0,67.0,10.0,3.0,14.0,2.0,63.0,1.0,SMU,4,11.75,5.25,40.25,11.5,1.5,1.25,16.75,2.5,0.75,3.5,0.5,15.75,0.25
09/12/2015,San Diego,0-3,3.0,0,27.0,17.0,89.0,0.112,25.0,1.0,5.0,31.0,7.0,1.0,10.0,2.0,34.0,2.0,San Diego,3,9.0,5.666666666666667,29.666666666666668,8.333333333333334,0.3333333333333333,1.6666666666666667,10.333333333333334,2.333333333333333,0.3333333333333333,3.3333333333333335,0.6666666666666666,11.333333333333334,0.6666666666666666
09/13/2015,UCLA,0-3,3.0,0,44.0,23.0,123.0,0.171,43.0,3.0,7.0,45.0,2.0,2.0,14.0,3.0,56.0,1.0,UCLA,3,14.666666666666666,7.666666666666667,41.0,14.333333333333334,1.0,2.3333333333333335,15.0,0.6666666666666666,0.6666666666666666,4.666666666666667,1.0,18.666666666666668,0.3333333333333333
09/18/2015,LMU (CA),2-3,5.0,0,50.0,21.0,144.0,0.201,46.0,5.0,9.0,49.0,9.0,3.0,18.0,2.0,67.0,1.0,LMU ,5,10.0,4.2,28.8,9.2,1.0,1.8,9.8,1.8,0.6,3.6,0.4,13.4,0.2
