date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,Georgia St.,3-2,5.0,0,56.0,20.0,151.0,0.238,50.0,6.0,7.0,59.0,8.0,3.0,12.0,3.0,71.0,0.0,Georgia St.
08/29/2015,Fresno St.,0-3,3.0,0,33.0,16.0,109.0,0.156,31.0,1.0,4.0,34.0,2.0,0.0,16.0,3.0,42.0,3.0,Fresno St.
08/29/2015,Murray St.,0-3,3.0,0,18.0,18.0,103.0,0.0,18.0,0.0,4.0,48.0,7.0,0.0,10.0,4.0,23.0,0.0,Murray St.
09/01/2015,UNC Asheville,3-0,3.0,0,52.0,18.0,136.0,0.25,44.0,5.0,7.0,61.0,2.0,1.0,10.0,1.0,63.0,0.0,UNC Asheville
09/05/2015,"George Mason @ Washington, DC",3-1,4.0,0,46.0,22.0,129.0,0.186,40.0,9.0,6.0,59.0,4.0,3.0,6.0,0.0,61.0,0.0,George Mason
09/05/2015,"Howard @ Washington, DC",1-3,4.0,0,47.0,18.0,149.0,0.195,37.0,0.0,10.0,68.0,9.0,4.0,6.0,0.0,54.0,2.0,Howard
09/06/2015,"Penn @ College Park, Md.",2-3,5.0,0,55.0,22.0,157.0,0.21,49.0,7.0,7.0,76.0,6.0,3.0,25.0,3.0,77.5,1.0,Penn
09/06/2015,@ Maryland,0-3,3.0,0,32.0,8.0,98.0,0.245,31.0,3.0,7.0,38.0,6.0,1.0,4.0,3.0,38.0,1.0,Maryland
09/11/2015,"William & Mary @ Greenville, N.C.",2-3,5.0,0,46.0,28.0,163.0,0.11,45.0,4.0,4.0,70.0,10.0,0.0,18.0,3.0,59.0,0.0,William & Mary
09/12/2015,"Hampton @ Greenville, N.C.",3-0,3.0,0,42.0,10.0,104.0,0.308,38.0,6.0,1.0,47.0,4.0,1.0,2.0,2.0,50.0,0.0,Hampton
09/12/2015,@ East Carolina,3-1,4.0,0,50.0,12.0,134.0,0.284,48.0,6.0,11.0,56.0,4.0,1.0,16.0,1.0,65.0,0.0,East Carolina
09/15/2015,@ App State,0-3,3.0,0,25.0,19.0,113.0,0.053,24.0,2.0,7.0,43.0,2.0,0.0,12.0,0.0,33.0,1.0,App State
09/18/2015,@ Tennessee Tech,1-3,4.0,0,56.0,20.0,163.0,0.221,54.0,7.0,3.0,73.0,8.0,1.0,16.0,0.0,72.0,1.0,Tennessee Tech
09/18/2015,"Idaho @ Cookeville, Tenn.",3-1,4.0,0,53.0,23.0,181.0,0.166,51.0,4.0,7.0,86.0,3.0,3.0,8.0,0.0,64.0,1.0,Idaho
09/19/2015,"Towson @ Cookeville, Tenn.",1-3,4.0,0,40.0,22.0,140.0,0.129,39.0,3.0,2.0,51.0,6.0,1.0,14.0,1.0,51.0,0.0,Towson
09/22/2015,High Point,0-3,3.0,0,29.0,23.0,117.0,0.051,28.0,0.0,3.0,51.0,6.0,0.0,4.0,2.0,31.0,2.0,High Point
09/25/2015,Wofford,3-2,5.0,0,67.0,28.0,199.0,0.196,63.0,10.0,6.0,99.0,4.0,0.0,18.0,2.0,86.0,0.0,Wofford
09/26/2015,@ Chattanooga,0-3,3.0,0,31.0,15.0,110.0,0.145,29.0,3.0,1.0,46.0,7.0,1.0,2.0,1.0,36.0,0.0,Chattanooga
09/30/2015,Furman,0-3,3.0,0,24.0,17.0,103.0,0.068,23.0,3.0,2.0,41.0,10.0,2.0,10.0,2.0,34.0,0.0,Furman
10/03/2015,@ UNC Greensboro,0-3,3.0,0,20.0,18.0,118.0,0.017,20.0,6.0,2.0,52.0,5.0,0.0,8.0,2.0,30.0,0.0,UNC Greensboro
10/09/2015,@ Mercer,1-3,4.0,0,51.0,17.0,125.0,0.272,46.0,3.0,7.0,55.0,8.0,0.0,18.0,0.0,63.0,1.0,Mercer
10/10/2015,@ Samford,0-3,3.0,0,28.0,14.0,85.0,0.165,26.0,5.0,8.0,35.0,8.0,0.0,6.0,3.0,36.0,0.0,Samford
10/14/2015,ETSU,0-3,3.0,0,30.0,25.0,106.0,0.047,28.0,3.0,2.0,42.0,6.0,0.0,4.0,1.0,35.0,1.0,ETSU
10/16/2015,The Citadel,3-1,4.0,0,51.0,20.0,154.0,0.201,49.0,4.0,8.0,80.0,7.0,0.0,24.0,1.0,67.0,0.0,The Citadel
10/18/2015,UNC Greensboro,1-3,4.0,0,41.0,24.0,146.0,0.116,40.0,2.0,6.0,63.0,7.0,1.0,14.0,3.0,51.0,0.0,UNC Greensboro
10/23/2015,@ Wofford,0-3,3.0,0,27.0,17.0,113.0,0.088,27.0,4.0,1.0,48.0,4.0,2.0,14.0,0.0,40.0,2.0,Wofford
10/24/2015,@ ETSU,3-2,5.0,0,45.0,25.0,160.0,0.125,43.0,3.0,8.0,78.0,5.0,2.0,18.0,1.0,59.0,2.0,ETSU
10/30/2015,@ The Citadel,3-2,5.0,0,54.0,29.0,174.0,0.144,53.0,10.0,8.0,84.0,6.0,9.0,2.0,0.0,74.0,0.0,The Citadel
10/31/2015,@ Furman,1-3,4.0,0,33.0,15.0,131.0,0.137,32.0,2.0,5.0,55.0,9.0,1.0,8.0,1.0,40.0,2.0,Furman
11/07/2015,Mercer,3-2,5.0,0,63.0,19.0,183.0,0.24,52.0,7.0,9.0,93.0,4.0,3.0,18.0,1.0,82.0,0.0,Mercer
11/13/2015,Samford,2-3,5.0,0,53.0,18.0,159.0,0.22,47.0,3.0,9.0,58.0,4.0,1.0,22.0,0.0,68.0,0.0,Samford
11/14/2015,Chattanooga,2-3,5.0,0,44.0,12.0,182.0,0.176,40.0,4.0,7.0,89.0,5.0,2.0,28.0,2.0,64.0,3.0,Chattanooga
11/21/2015,The Citadel,3-1,4.0,0,49.0,20.0,170.0,0.171,46.0,6.0,8.0,83.0,2.0,5.0,14.0,0.0,67.0,0.0,The Citadel
11/21/2015,@ Chattanooga,0-3,3.0,0,34.0,15.0,140.0,0.136,33.0,3.0,6.0,67.0,3.0,2.0,12.0,2.0,45.0,1.0,Chattanooga
