date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/28/2015,Akron,0-3,3.0,0,29.0,27.0,98.0,0.02,29.0,3.0,7.0,40.0,11.0,0.0,2.0,0.0,33.0,0.0,Akron,3,9.666666666666666,9.0,32.666666666666664,9.666666666666666,1.0,2.3333333333333335,13.333333333333334,3.6666666666666665,0.0,0.6666666666666666,0.0,11.0,0.0
08/29/2015,Drake,0-3,3.0,0,36.0,15.0,101.0,0.208,34.0,7.0,10.0,40.0,9.0,0.0,0.0,0.0,43.0,0.0,Drake,3,12.0,5.0,33.666666666666664,11.333333333333334,2.3333333333333335,3.3333333333333335,13.333333333333334,3.0,0.0,0.0,0.0,14.333333333333334,0.0
08/29/2015,DePaul,1-3,4.0,0,42.0,21.0,123.0,0.171,42.0,5.0,13.0,47.0,7.0,3.0,18.0,1.0,59.0,0.0,DePaul,4,10.5,5.25,30.75,10.5,1.25,3.25,11.75,1.75,0.75,4.5,0.25,14.75,0.0
09/04/2015,"Kansas City @ Lawrence, KS",0-3,3.0,0,20.0,24.0,100.0,-0.04,19.0,3.0,4.0,37.0,7.0,2.0,6.0,0.0,28.0,0.0,Kansas City,3,6.666666666666667,8.0,33.333333333333336,6.333333333333333,1.0,1.3333333333333333,12.333333333333334,2.333333333333333,0.6666666666666666,2.0,0.0,9.333333333333334,0.0
09/04/2015,@ Kansas,0-3,3.0,0,17.0,9.0,64.0,0.125,15.0,2.0,6.0,28.0,12.0,0.0,6.0,0.0,22.0,0.0,Kansas,3,5.666666666666667,3.0,21.333333333333332,5.0,0.6666666666666666,2.0,9.333333333333334,4.0,0.0,2.0,0.0,7.333333333333333,0.0
09/05/2015,"Duke @ Lawrence, KS",0-3,3.0,0,19.0,21.0,95.0,-0.021,18.0,1.0,5.0,35.0,6.0,3.0,6.0,1.0,26.0,0.0,Duke,3,6.333333333333333,7.0,31.666666666666668,6.0,0.3333333333333333,1.6666666666666667,11.666666666666666,2.0,1.0,2.0,0.3333333333333333,8.666666666666666,0.0
09/08/2015,@ Saint Louis,0-3,3.0,0,31.0,15.0,83.0,0.193,30.0,6.0,7.0,31.0,7.0,1.0,6.0,0.0,41.0,3.0,Saint Louis,3,10.333333333333334,5.0,27.666666666666668,10.0,2.0,2.3333333333333335,10.333333333333334,2.333333333333333,0.3333333333333333,2.0,0.0,13.666666666666666,1.0
09/11/2015,Northern Ky.,1-3,4.0,0,44.0,28.0,128.0,0.125,43.0,6.0,13.0,42.0,3.0,0.0,18.0,1.0,59.0,0.0,Northern Ky.,4,11.0,7.0,32.0,10.75,1.5,3.25,10.5,0.75,0.0,4.5,0.25,14.75,0.0
09/12/2015,@ Jackson St.,3-1,4.0,0,44.0,16.0,125.0,0.224,40.0,11.0,7.0,48.0,1.0,0.0,16.0,0.0,63.0,0.0,Jackson St.,4,11.0,4.0,31.25,10.0,2.75,1.75,12.0,0.25,0.0,4.0,0.0,15.75,0.0
09/12/2015,@ Evansville,0-3,3.0,0,23.0,19.0,92.0,0.043,21.0,6.0,3.0,28.0,9.0,1.0,8.0,3.0,34.0,0.0,Evansville,3,7.666666666666667,6.333333333333333,30.666666666666668,7.0,2.0,1.0,9.333333333333334,3.0,0.3333333333333333,2.6666666666666665,1.0,11.333333333333334,0.0
09/15/2015,@ Drake,3-2,5.0,0,49.0,23.0,162.0,0.16,44.0,3.0,10.0,68.0,9.0,1.0,16.0,6.0,61.0,2.0,Drake,5,9.8,4.6,32.4,8.8,0.6,2.0,13.6,1.8,0.2,3.2,1.2,12.2,0.4
09/18/2015,@ Indiana St.,0-3,3.0,0,24.0,18.0,90.0,0.067,24.0,0.0,4.0,37.0,7.0,3.0,2.0,2.0,28.0,2.0,Indiana St.,3,8.0,6.0,30.0,8.0,0.0,1.3333333333333333,12.333333333333334,2.333333333333333,1.0,0.6666666666666666,0.6666666666666666,9.333333333333334,0.6666666666666666
09/19/2015,"Chicago St. @ Terre Haute, Ind.",0-3,3.0,0,37.0,16.0,119.0,0.176,35.0,2.0,11.0,42.0,7.0,3.0,8.0,2.0,46.0,1.0,Chicago St.,3,12.333333333333334,5.333333333333333,39.666666666666664,11.666666666666666,0.6666666666666666,3.6666666666666665,14.0,2.333333333333333,1.0,2.6666666666666665,0.6666666666666666,15.333333333333334,0.3333333333333333
09/19/2015,"Valparaiso @ Terre Haute, Ind.",1-3,4.0,0,40.0,17.0,111.0,0.207,37.0,7.0,13.0,42.0,15.0,2.0,8.0,2.0,53.0,3.0,Valparaiso,4,10.0,4.25,27.75,9.25,1.75,3.25,10.5,3.75,0.5,2.0,0.5,13.25,0.75
