date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,@ Wisconsin,3-1,4.0,0,54.0,18.0,137.0,0.263,53.0,3.0,8.0,58.0,2.0,2.0,6.0,4.0,62.0,1.0,Wisconsin
08/29/2015,"Colgate @ Madison, Wis.",3-0,3.0,0,40.0,11.0,94.0,0.309,40.0,6.0,9.0,56.0,1.0,1.0,6.0,2.0,50.0,0.0,Colgate
08/29/2015,"Col. of Charleston @ Madison, Wis.",3-0,3.0,0,49.0,22.0,125.0,0.216,48.0,1.0,4.0,63.0,4.0,5.0,16.0,1.0,63.0,1.0,Col. of Charleston
09/04/2015,"UT Martin @ Carbondale, Ill.",3-0,3.0,0,38.0,4.0,81.0,0.42,35.0,3.0,3.0,44.0,1.0,4.0,8.0,0.0,49.0,0.0,UT Martin
09/05/2015,"Dayton @ Carbondale, Ill.",0-3,3.0,0,41.0,21.0,141.0,0.142,40.0,2.0,5.0,66.0,3.0,1.0,10.0,2.0,49.0,2.0,Dayton
09/05/2015,@ Southern Ill.,3-1,4.0,0,59.0,16.0,156.0,0.276,57.0,3.0,4.0,78.0,4.0,4.0,10.0,1.0,71.0,1.0,Southern Ill.
09/08/2015,Austin Peay,3-0,3.0,0,45.0,12.0,97.0,0.34,41.0,3.0,5.0,38.0,2.0,5.0,4.0,1.0,55.0,1.0,Austin Peay
09/11/2015,Missouri St.,2-3,5.0,0,59.0,25.0,160.0,0.212,53.0,1.0,9.0,67.0,2.0,7.0,10.0,3.0,72.0,2.0,Missouri St.
09/11/2015,Northwestern,3-0,3.0,0,44.0,19.0,132.0,0.189,39.0,4.0,5.0,62.0,1.0,0.0,16.0,2.0,56.0,0.0,Northwestern
09/12/2015,Furman,3-0,3.0,0,39.0,9.0,91.0,0.33,32.0,3.0,10.0,41.0,6.0,1.0,6.0,1.0,46.0,2.0,Furman
09/15/2015,@ Belmont,3-0,3.0,0,43.0,8.0,100.0,0.35,41.0,8.0,8.0,56.0,3.0,2.0,8.0,5.0,57.0,2.0,Belmont
09/18/2015,"Alabama @ DeKalb, Ill.",3-0,3.0,0,42.0,14.0,102.0,0.275,41.0,4.0,12.0,37.0,4.0,3.0,14.0,2.0,56.0,1.0,Alabama
09/18/2015,"UNI @ DeKalb, Ill.",3-1,4.0,0,61.0,18.0,133.0,0.323,59.0,6.0,13.0,54.0,2.0,4.0,6.0,2.0,74.0,1.0,UNI
09/19/2015,@ NIU,3-2,5.0,0,59.0,22.0,161.0,0.23,53.0,1.0,11.0,63.0,3.0,4.0,6.0,3.0,67.0,3.0,NIU
09/23/2015,@ Marshall,3-1,4.0,0,51.0,14.0,114.0,0.325,47.0,5.0,9.0,53.0,3.0,6.0,8.0,0.0,66.0,0.0,Marshall
09/25/2015,Louisiana Tech,3-0,3.0,0,45.0,7.0,82.0,0.463,42.0,3.0,7.0,37.0,1.0,3.0,12.0,1.0,57.0,0.0,Louisiana Tech
09/27/2015,FIU,3-0,3.0,0,37.0,13.0,105.0,0.229,35.0,4.0,8.0,37.0,5.0,5.0,10.0,1.0,51.0,1.0,FIU
09/29/2015,@ Lipscomb,3-0,3.0,0,45.0,8.0,94.0,0.394,42.0,2.0,7.0,42.0,2.0,1.0,8.0,1.0,52.0,1.0,Lipscomb
10/04/2015,@ Middle Tenn.,3-1,4.0,0,58.0,21.0,120.0,0.308,56.0,9.0,10.0,42.0,4.0,4.0,8.0,2.0,75.0,1.0,Middle Tenn.
10/09/2015,UTSA,3-1,4.0,0,67.0,27.0,159.0,0.252,64.0,3.0,8.0,64.0,3.0,0.0,8.0,1.0,74.0,1.0,UTSA
10/11/2015,Southern Miss.,3-1,4.0,0,56.0,15.0,134.0,0.306,54.0,3.0,3.0,52.0,2.0,2.0,12.0,0.0,67.0,1.0,Southern Miss.
10/16/2015,@ Charlotte,3-0,3.0,0,49.0,21.0,114.0,0.246,48.0,4.0,4.0,57.0,4.0,1.0,11.0,0.0,59.5,2.0,Charlotte
10/18/2015,@ North Texas,3-2,5.0,0,65.0,21.0,158.0,0.278,64.0,2.0,9.0,63.0,6.0,5.0,8.0,2.0,76.0,0.0,North Texas
10/23/2015,UAB,3-0,3.0,0,39.0,4.0,83.0,0.422,38.0,4.0,10.0,38.0,1.0,7.0,2.0,0.0,51.0,0.0,UAB
10/25/2015,Fla. Atlantic,3-0,3.0,0,40.0,16.0,96.0,0.25,38.0,9.0,4.0,47.0,3.0,4.0,4.0,0.0,55.0,1.0,Fla. Atlantic
10/31/2015,@ Rice,2-3,5.0,0,68.0,17.0,189.0,0.27,63.0,3.0,8.0,69.0,1.0,6.0,16.0,8.0,85.0,2.0,Rice
11/01/2015,@ UTEP,3-0,3.0,0,50.0,15.0,93.0,0.376,49.0,2.0,5.0,39.0,5.0,2.0,12.0,0.0,60.0,0.0,UTEP
11/06/2015,@ FIU,3-0,3.0,0,44.0,10.0,96.0,0.354,40.0,6.0,12.0,35.0,3.0,4.0,8.0,0.0,58.0,0.0,FIU
11/08/2015,@ Fla. Atlantic,3-0,3.0,0,49.0,10.0,122.0,0.32,47.0,3.0,9.0,57.0,3.0,2.0,12.0,2.0,60.0,0.0,Fla. Atlantic
11/12/2015,Marshall,3-0,3.0,0,42.0,8.0,89.0,0.382,39.0,7.0,11.0,45.0,1.0,6.0,6.0,0.0,58.0,1.0,Marshall
11/14/2015,UTEP,3-0,3.0,0,47.0,8.0,87.0,0.448,43.0,5.0,5.0,39.0,3.0,1.0,4.0,0.0,55.0,2.0,UTEP
11/20/2015,"Marshall @ San Antonio, Texas",3-1,4.0,0,56.0,15.0,132.0,0.311,55.0,3.0,7.0,67.0,3.0,3.0,18.0,4.0,71.0,4.0,Marshall
11/21/2015,"North Texas @ San Antonio, Texas",3-0,3.0,0,46.0,8.0,107.0,0.355,45.0,4.0,4.0,45.0,2.0,1.0,13.0,5.0,57.5,0.0,North Texas
11/22/2015,UTSA,3-1,4.0,0,68.0,20.0,161.0,0.298,66.0,4.0,5.0,69.0,1.0,0.0,12.0,1.0,78.0,2.0,UTSA
12/04/2015,"Arizona @ Provo, Utah",3-0,3.0,0,45.0,15.0,115.0,0.261,44.0,5.0,5.0,60.0,1.0,2.0,4.0,2.0,54.0,1.0,Arizona
12/05/2015,@ BYU,0-3,3.0,0,41.0,18.0,94.0,0.245,39.0,5.0,6.0,31.0,1.0,3.0,2.0,3.0,50.0,3.0,BYU
