date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/28/2015,Ohio St.,3-1,4.0,0,38.0,26.0,141.0,0.085,34.0,5.0,13.0,52.0,2.0,4.0,34.0,1.0,64.0,0.0,Ohio St.
08/29/2015,South Dakota,3-0,3.0,0,38.0,17.0,95.0,0.221,34.0,5.0,7.0,31.0,2.0,2.0,12.0,1.0,51.0,0.0,South Dakota
08/29/2015,Butler,3-1,4.0,0,61.0,22.0,173.0,0.225,58.0,8.0,12.0,64.0,2.0,4.0,13.0,2.0,79.5,0.0,Butler
09/04/2015,@ Gonzaga,0-3,3.0,0,28.0,12.0,88.0,0.182,25.0,2.0,8.0,30.0,4.0,1.0,10.0,1.0,36.0,1.0,Gonzaga
09/05/2015,"Montana @ Spokane, Wash.",3-1,4.0,0,54.0,15.0,139.0,0.281,52.0,6.0,4.0,70.0,4.0,1.0,24.0,6.0,73.0,4.0,Montana
09/05/2015,"Utah @ Spokane, Wash.",3-1,4.0,0,49.0,19.0,162.0,0.185,45.0,9.0,9.0,80.0,4.0,2.0,20.0,1.0,70.0,2.0,Utah
09/11/2015,Kansas,0-3,3.0,0,26.0,23.0,100.0,0.03,24.0,1.0,5.0,32.0,0.0,1.0,10.0,1.0,33.0,0.0,Kansas
09/11/2015,Marquette,3-2,5.0,0,62.0,27.0,164.0,0.213,56.0,2.0,8.0,63.0,4.0,4.0,15.0,1.0,75.5,1.0,Marquette
09/12/2015,Northern Colo.,3-1,4.0,0,53.0,23.0,151.0,0.199,47.0,4.0,5.0,56.0,7.0,2.0,26.0,2.0,72.0,0.0,Northern Colo.
09/17/2015,Idaho St.,3-1,4.0,0,52.0,22.0,134.0,0.224,46.0,4.0,6.0,64.0,9.0,0.0,22.0,1.0,67.0,3.0,Idaho St.
09/18/2015,Pepperdine,3-0,3.0,0,42.0,20.0,103.0,0.214,38.0,5.0,2.0,45.0,2.0,0.0,10.0,2.0,52.0,0.0,Pepperdine
09/18/2015,McNeese,3-2,5.0,0,47.0,21.0,137.0,0.19,43.0,8.0,8.0,51.0,2.0,2.0,16.0,2.0,65.0,1.0,McNeese
09/24/2015,Boise St.,3-0,3.0,0,37.0,13.0,92.0,0.261,32.0,4.0,4.0,49.0,4.0,2.0,24.0,1.0,55.0,1.0,Boise St.
09/26/2015,Utah St.,3-1,4.0,0,54.0,24.0,151.0,0.199,48.0,4.0,8.0,55.0,2.0,3.0,16.0,3.0,69.0,0.0,Utah St.
10/01/2015,@ San Diego St.,3-0,3.0,0,40.0,6.0,96.0,0.354,35.0,6.0,7.0,44.0,1.0,2.0,8.0,1.0,52.0,1.0,San Diego St.
10/03/2015,@ Nevada,2-3,5.0,0,55.0,19.0,163.0,0.221,49.0,2.0,6.0,62.0,9.0,4.0,30.0,4.0,76.0,2.0,Nevada
10/08/2015,Air Force,3-0,3.0,0,36.0,9.0,86.0,0.314,34.0,4.0,3.0,32.0,2.0,2.0,20.0,1.0,52.0,0.0,Air Force
10/10/2015,New Mexico,3-0,3.0,0,44.0,11.0,109.0,0.303,37.0,3.0,4.0,53.0,1.0,0.0,12.0,1.0,53.0,0.0,New Mexico
10/13/2015,@ Colorado St.,0-3,3.0,0,27.0,19.0,101.0,0.079,25.0,3.0,1.0,31.0,6.0,3.0,10.0,1.0,38.0,2.0,Colorado St.
10/15/2015,@ San Jose St.,2-3,5.0,0,44.0,23.0,159.0,0.132,38.0,3.0,7.0,71.0,12.0,4.0,28.0,5.0,65.0,0.0,San Jose St.
10/22/2015,@ Utah St.,3-1,4.0,0,60.0,22.0,144.0,0.264,57.0,6.0,6.0,75.0,1.0,2.0,24.0,0.0,80.0,2.0,Utah St.
10/24/2015,@ Boise St.,1-3,4.0,0,46.0,19.0,140.0,0.193,42.0,5.0,4.0,51.0,6.0,1.0,16.0,4.0,60.0,3.0,Boise St.
10/29/2015,Nevada,3-0,3.0,0,43.0,12.0,101.0,0.307,40.0,5.0,5.0,46.0,2.0,2.0,20.0,1.0,60.0,0.0,Nevada
10/31/2015,San Diego St.,3-0,3.0,0,36.0,23.0,96.0,0.135,32.0,4.0,0.0,32.0,2.0,5.0,18.0,2.0,54.0,0.0,San Diego St.
11/05/2015,@ New Mexico,3-2,5.0,0,61.0,21.0,179.0,0.223,58.0,1.0,7.0,76.0,1.0,3.0,14.0,6.0,72.0,2.0,New Mexico
11/07/2015,@ Air Force,3-2,5.0,0,62.0,26.0,165.0,0.218,60.0,7.0,6.0,69.0,8.0,3.0,18.0,1.0,81.0,1.0,Air Force
11/14/2015,San Jose St.,3-2,5.0,0,64.0,24.0,156.0,0.256,55.0,2.0,7.0,55.0,5.0,0.0,22.0,1.0,77.0,0.0,San Jose St.
11/18/2015,@ Fresno St.,3-1,4.0,0,56.0,18.0,153.0,0.248,49.0,3.0,4.0,72.0,6.0,0.0,34.0,1.0,76.0,0.0,Fresno St.
11/21/2015,UNLV,3-0,3.0,0,46.0,20.0,124.0,0.21,45.0,5.0,4.0,69.0,4.0,3.0,14.0,0.0,61.0,0.0,UNLV
11/24/2015,Colorado St.,2-3,5.0,0,56.0,30.0,167.0,0.156,54.0,2.0,3.0,64.0,5.0,6.0,22.0,1.0,75.0,1.0,Colorado St.
