date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2016,N.C. A&T,3-2,5.0,0,54.0,35.0,141.0,0.135,47.0,6.0,8.0,52.0,5.0,1.0,8.0,1.0,65.0,2.0,N.C. A&T
08/26/2016,UMES,0-3,3.0,0,33.0,24.0,120.0,0.075,29.0,7.0,7.0,56.0,5.0,1.0,4.0,0.0,43.0,5.0,UMES
08/27/2016,Towson,0-3,3.0,0,21.0,27.0,86.0,-0.07,17.0,2.0,4.0,26.0,9.0,0.0,6.0,0.0,26.0,0.0,Towson
08/27/2016,Tennessee St.,2-3,5.0,0,47.0,30.0,142.0,0.12,47.0,5.0,8.0,45.0,2.0,5.0,24.0,2.0,69.0,2.0,Tennessee St.
09/02/2016,@ Arizona,0-3,3.0,0,21.0,15.0,76.0,0.079,18.0,2.0,8.0,22.0,11.0,0.0,4.0,1.0,25.0,0.0,Arizona
09/02/2016,"Pepperdine @ Tucson, Ariz.",0-3,3.0,0,18.0,22.0,86.0,-0.047,17.0,2.0,2.0,33.0,9.0,0.0,10.0,0.0,25.0,0.0,Pepperdine
09/03/2016,"SMU @ Tucson, Ariz.",0-3,3.0,0,23.0,22.0,101.0,0.01,22.0,1.0,3.0,35.0,8.0,0.0,10.0,3.0,29.0,0.0,SMU
09/09/2016,Troy,1-3,4.0,0,40.0,34.0,134.0,0.045,39.0,6.0,4.0,45.0,7.0,2.0,11.0,4.0,53.5,4.0,Troy
09/10/2016,Savannah St.,3-0,3.0,0,39.0,20.0,99.0,0.192,37.0,6.0,10.0,43.0,7.0,5.0,14.0,2.0,57.0,0.0,Savannah St.
09/10/2016,Chicago St.,3-1,4.0,0,54.0,29.0,144.0,0.174,50.0,5.0,7.0,61.0,9.0,2.0,22.0,1.0,72.0,3.0,Chicago St.
09/16/2016,@ Alcorn,3-0,3.0,0,35.0,12.0,72.0,0.319,29.0,3.0,3.0,47.0,3.0,3.0,6.0,5.0,44.0,3.0,Alcorn
09/18/2016,@ Southern U.,3-0,3.0,0,34.0,13.0,86.0,0.244,32.0,6.0,5.0,47.0,1.0,1.0,8.0,1.0,45.0,3.0,Southern U.
09/23/2016,@ Grambling,3-0,3.0,0,41.0,13.0,90.0,0.311,38.0,8.0,3.0,42.0,5.0,1.0,6.0,1.0,53.0,3.0,Grambling
09/24/2016,"Ark.-Pine Bluff @ Little Rock, Ark.",3-0,3.0,0,48.0,14.0,92.0,0.37,42.0,6.0,7.0,40.0,4.0,3.0,4.0,0.0,59.0,2.0,Ark.-Pine Bluff
09/30/2016,Mississippi Val.,3-0,3.0,0,42.0,18.0,113.0,0.212,39.0,6.0,4.0,51.0,2.0,1.0,8.0,1.0,53.0,6.0,Mississippi Val.
10/01/2016,Jackson St.,3-0,3.0,0,46.0,17.0,104.0,0.279,43.0,7.0,4.0,44.0,2.0,1.0,6.0,0.0,57.0,5.0,Jackson St.
10/03/2016,@ Texas Southern,3-1,4.0,0,59.0,22.0,153.0,0.242,54.0,7.0,1.0,85.0,8.0,1.0,12.0,0.0,73.0,4.0,Texas Southern
10/04/2016,@ Prairie View,3-0,3.0,0,33.0,17.0,91.0,0.176,33.0,8.0,5.0,38.0,2.0,1.0,14.0,0.0,49.0,0.0,Prairie View
10/15/2016,Alabama A&M,3-1,4.0,0,52.0,23.0,125.0,0.232,50.0,6.0,7.0,55.0,2.0,2.0,16.0,5.0,68.0,2.0,Alabama A&M
10/19/2016,UAB,0-3,3.0,0,39.0,20.0,112.0,0.17,39.0,5.0,6.0,43.0,3.0,0.0,11.0,0.0,49.5,0.0,UAB
10/21/2016,Ark.-Pine Bluff,3-0,3.0,0,36.0,18.0,85.0,0.212,35.0,6.0,4.0,40.0,7.0,1.0,4.0,0.0,45.0,6.0,Ark.-Pine Bluff
10/22/2016,Grambling,3-0,3.0,0,42.0,12.0,91.0,0.33,39.0,6.0,3.0,37.0,1.0,1.0,8.0,0.0,53.0,0.0,Grambling
10/28/2016,@ Jackson St.,3-1,4.0,0,50.0,15.0,123.0,0.285,50.0,6.0,5.0,52.0,2.0,7.0,12.0,0.0,69.0,3.0,Jackson St.
10/29/2016,@ Mississippi Val.,3-0,3.0,0,43.0,9.0,79.0,0.43,39.0,5.0,8.0,39.0,0.0,0.0,8.0,0.0,52.0,0.0,Mississippi Val.
11/04/2016,Prairie View,3-0,3.0,0,41.0,9.0,79.0,0.405,38.0,10.0,4.0,34.0,4.0,1.0,2.0,1.0,53.0,0.0,Prairie View
11/05/2016,Texas Southern,3-0,3.0,0,48.0,11.0,97.0,0.381,45.0,13.0,5.0,48.0,8.0,1.0,2.0,0.0,63.0,0.0,Texas Southern
11/12/2016,@ Alabama A&M,3-0,4.0,0,42.0,11.0,90.0,0.344,37.0,3.0,4.0,42.0,1.0,5.0,2.0,0.0,51.0,0.0,Alabama A&M
