date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/26/2016,"Sacramento St. @ Arlington, Texas",0-3,3.0,0,16.0,20.0,93.0,-0.043,16.0,2.0,1.0,30.0,7.0,0.0,8.0,3.0,22.0,2.0,Sacramento St.,3,5.333333333333333,6.666666666666667,31.0,5.333333333333333,0.6666666666666666,0.3333333333333333,10.0,0.0,2.6666666666666665,1.0,7.333333333333333,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2016,@ UT Arlington,0-3,3.0,0,19.0,29.0,92.0,-0.109,19.0,1.0,2.0,28.0,4.0,1.0,0.0,2.0,21.0,1.0,UT Arlington,3,6.333333333333333,9.666666666666666,30.666666666666668,6.333333333333333,0.3333333333333333,0.6666666666666666,9.333333333333334,0.3333333333333333,0.0,0.6666666666666666,7.0,,2.6666666666666665,,3.3333333333333335,,15.5,,-0.0215,,2.6666666666666665,,0.3333333333333333,,0.16666666666666666,,5.0,,0.0,,1.3333333333333333,,0.5,,3.6666666666666665
08/27/2016,"Sam Houston @ Arlington, Texas",0-3,3.0,0,23.0,10.0,86.0,0.151,22.0,2.0,5.0,30.0,8.0,0.0,4.0,6.0,27.0,2.0,Sam Houston,3,7.666666666666667,3.333333333333333,28.666666666666668,7.333333333333333,0.6666666666666666,1.6666666666666667,10.0,0.0,1.3333333333333333,2.0,9.0,,3.888888888888889,,5.444444444444444,,20.555555555555557,,-0.050666666666666665,,3.888888888888889,,0.3333333333333333,,0.3333333333333333,,6.4444444444444455,,0.1111111111111111,,0.8888888888888888,,0.5555555555555555,,4.777777777777778
09/02/2016,@ Little Rock,0-3,3.0,0,28.0,20.0,74.0,0.108,26.0,3.0,2.0,29.0,16.0,0.0,9.0,2.0,35.5,1.0,Little Rock,3,9.333333333333334,6.666666666666667,24.666666666666668,8.666666666666666,1.0,0.6666666666666666,9.666666666666666,0.0,3.0,0.6666666666666666,11.833333333333334,6.444444444444444,4.833333333333333,6.555555555555556,4.916666666666666,30.111111111111114,22.583333333333336,-0.00033333333333333365,-0.0002500000000000002,6.333333333333333,4.75,0.5555555555555555,0.41666666666666663,0.8888888888888888,0.6666666666666667,9.777777777777779,7.333333333333334,0.1111111111111111,0.08333333333333333,1.3333333333333333,1.0,1.222222222222222,0.9166666666666666,7.777777777777778,5.833333333333333
09/03/2016,"UT Martin @ Little Rock, Ark.",0-3,3.0,0,26.0,17.0,94.0,0.096,25.0,1.0,5.0,42.0,9.0,1.0,4.0,2.0,30.0,0.0,UT Martin,3,8.666666666666666,5.666666666666667,31.33333333333333,8.333333333333334,0.3333333333333333,1.6666666666666667,14.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,10.0,7.777777777777779,5.7333333333333325,6.5555555555555545,5.266666666666667,28.0,23.000000000000004,0.049999999999999996,0.0214,7.444444444444444,5.533333333333333,0.6666666666666666,0.5333333333333333,0.9999999999999999,0.6666666666666667,9.666666666666666,7.8,0.1111111111111111,0.06666666666666667,1.4444444444444446,1.4,1.111111111111111,0.8666666666666666,9.277777777777779,7.033333333333333
09/03/2016,"Oklahoma @ Little Rock, Ark.",0-3,3.0,0,22.0,23.0,84.0,-0.012,20.0,3.0,2.0,26.0,7.0,0.0,11.0,1.0,30.5,1.0,Oklahoma,3,7.333333333333333,7.666666666666667,28.0,6.666666666666667,1.0,0.6666666666666666,8.666666666666666,0.0,3.6666666666666665,0.3333333333333333,10.166666666666666,8.555555555555555,6.222222222222221,5.222222222222222,5.333333333333333,28.222222222222218,24.38888888888889,0.11833333333333333,0.03383333333333333,8.11111111111111,6.0,0.6666666666666666,0.5,1.3333333333333333,0.8333333333333334,11.222222222222221,8.833333333333334,0.1111111111111111,0.1111111111111111,1.888888888888889,1.388888888888889,1.111111111111111,0.8333333333333334,10.277777777777779,7.527777777777778
09/07/2016,@ Louisiana Tech,0-3,3.0,0,17.0,24.0,85.0,-0.082,17.0,3.0,5.0,29.0,7.0,0.0,6.0,1.0,23.0,1.0,Louisiana Tech,3,5.666666666666667,8.0,28.33333333333333,5.666666666666667,1.0,1.6666666666666667,9.666666666666666,0.0,2.0,0.3333333333333333,7.666666666666667,8.444444444444445,6.3809523809523805,6.666666666666668,5.666666666666666,28.0,24.904761904761905,0.06399999999999999,0.027285714285714285,7.888888888888889,6.095238095238095,0.7777777777777777,0.5714285714285714,0.9999999999999999,0.8095238095238095,10.777777777777777,8.809523809523808,0.1111111111111111,0.09523809523809523,2.6666666666666665,1.7142857142857142,0.5555555555555555,0.7619047619047619,10.666666666666666,7.904761904761904
09/16/2016,Texas Southern,1-3,4.0,0,41.0,30.0,130.0,0.085,33.0,3.0,11.0,55.0,5.0,9.0,2.0,1.0,54.0,1.0,Texas Southern,4,10.25,7.5,32.5,8.25,0.75,2.75,13.75,2.25,0.5,0.25,13.5,7.222222222222221,6.291666666666666,7.111111111111112,5.958333333333333,29.222222222222218,25.333333333333336,0.0006666666666666626,0.013625,6.888888888888888,6.041666666666666,0.7777777777777777,0.625,1.3333333333333333,0.9166666666666667,10.777777777777777,8.916666666666666,0.1111111111111111,0.08333333333333333,2.3333333333333335,1.75,0.4444444444444444,0.7083333333333333,9.277777777777777,7.874999999999999
09/17/2016,Prairie View,0-3,3.0,0,27.0,21.0,93.0,0.065,23.0,6.0,10.0,36.0,5.0,4.0,0.0,2.0,37.0,3.0,Prairie View,3,9.0,7.0,31.0,7.666666666666667,2.0,3.333333333333333,12.0,1.3333333333333333,0.0,0.6666666666666666,12.333333333333334,7.75,6.731481481481481,7.722222222222222,6.12962962962963,29.61111111111111,26.129629629629633,-0.0030000000000000027,0.021555555555555557,6.861111111111111,6.287037037037036,0.9166666666666666,0.6388888888888888,1.6944444444444446,1.1203703703703705,10.694444444444443,9.453703703703702,0.75,0.32407407407407407,2.055555555555556,1.6111111111111112,0.3055555555555555,0.6574074074074073,10.444444444444445,8.5
09/23/2016,Alabama A&M,1-3,4.0,0,46.0,29.0,119.0,0.143,42.0,4.0,10.0,38.0,6.0,2.0,4.0,0.0,54.0,2.0,Alabama A&M,4,11.5,7.25,29.75,10.5,1.0,2.5,9.5,0.5,1.0,0.0,13.5,8.305555555555555,6.958333333333333,7.5,6.216666666666667,30.61111111111111,26.616666666666667,0.022666666666666665,0.0259,7.194444444444444,6.425,1.25,0.775,2.5833333333333335,1.3416666666666668,11.805555555555557,9.708333333333332,1.1944444444444444,0.425,0.8333333333333334,1.45,0.4166666666666667,0.6583333333333333,11.166666666666666,8.883333333333333
