date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/27/2016,"Wichita St. @ Ames, Iowa",2-3,5.0,0,62.0,23.0,176.0,0.222,52.0,5.0,13.0,87.0,8.0,4.0,6.0,1.0,74.0,2.0,Wichita St.
08/28/2016,@ Iowa St.,3-1,4.0,0,46.0,17.0,151.0,0.192,40.0,5.0,13.0,62.0,5.0,2.0,20.0,3.0,63.0,1.0,Iowa St.
09/02/2016,"UNI @ Los Angeles, Calif.",3-0,3.0,0,50.0,18.0,135.0,0.237,42.0,4.0,12.0,50.0,3.0,1.0,4.0,1.0,57.0,0.0,UNI
09/03/2016,"Kentucky @ Los Angeles, Calif.",0-3,3.0,0,34.0,19.0,106.0,0.142,32.0,4.0,6.0,34.0,6.0,0.0,6.0,1.0,41.0,0.0,Kentucky
09/03/2016,@ Southern California,2-3,5.0,0,70.0,28.0,205.0,0.205,67.0,2.0,9.0,82.0,7.0,6.0,8.0,1.0,82.0,3.0,Southern California
09/08/2016,Kansas,2-3,5.0,0,64.0,33.0,197.0,0.157,60.0,3.0,12.0,87.0,8.0,2.0,22.0,4.0,80.0,1.0,Kansas
09/09/2016,TCU,3-0,3.0,0,52.0,14.0,107.0,0.355,50.0,3.0,13.0,52.0,4.0,1.0,4.0,1.0,58.0,0.0,TCU
09/10/2016,Chattanooga,3-0,3.0,0,45.0,10.0,91.0,0.385,45.0,6.0,6.0,45.0,2.0,0.0,10.0,3.0,56.0,0.0,Chattanooga
09/13/2016,@ Kansas St.,1-3,4.0,0,57.0,22.0,146.0,0.24,53.0,1.0,5.0,72.0,5.0,3.0,14.0,3.0,68.0,0.0,Kansas St.
09/16/2016,@ Montana St.,3-0,3.0,0,46.0,10.0,92.0,0.391,43.0,3.0,6.0,48.0,3.0,2.0,18.0,1.0,60.0,1.0,Montana St.
09/16/2016,"Gonzaga @ LINCOLN, NEBRASKA",3-0,3.0,0,53.0,15.0,113.0,0.336,49.0,5.0,8.0,45.0,1.0,3.0,6.0,3.0,64.0,1.0,Gonzaga
09/17/2016,@ Nebraska,1-3,4.0,0,48.0,27.0,160.0,0.131,43.0,5.0,12.0,58.0,2.0,0.0,12.0,3.0,59.0,1.0,Nebraska
09/23/2016,Marquette,3-0,3.0,0,51.0,16.0,117.0,0.299,43.0,1.0,5.0,55.0,2.0,1.0,10.0,2.0,58.0,1.0,Marquette
09/25/2016,DePaul,3-1,4.0,0,58.0,21.0,127.0,0.291,50.0,12.0,4.0,50.0,10.0,1.0,18.0,2.0,80.0,2.0,DePaul
09/30/2016,@ Xavier,3-0,3.0,0,45.0,13.0,95.0,0.337,43.0,4.0,1.0,41.0,2.0,0.0,6.0,2.0,52.0,2.0,Xavier
10/01/2016,@ Butler,3-0,3.0,0,47.0,10.0,126.0,0.294,45.0,3.0,3.0,65.0,1.0,4.0,14.0,2.0,61.0,2.0,Butler
10/07/2016,@ Villanova,3-1,4.0,0,64.0,18.0,140.0,0.329,60.0,8.0,7.0,64.0,6.0,1.0,18.0,1.0,82.0,1.0,Villanova
10/08/2016,@ Georgetown,3-0,3.0,0,43.0,17.0,104.0,0.25,42.0,7.0,5.0,52.0,1.0,1.0,16.0,2.0,59.0,1.0,Georgetown
10/14/2016,St. John's (NY),3-0,3.0,0,43.0,11.0,90.0,0.356,41.0,6.0,8.0,48.0,2.0,2.0,16.0,1.0,59.0,1.0,St. John's 
10/16/2016,Seton Hall,3-0,3.0,0,48.0,8.0,98.0,0.408,44.0,3.0,3.0,44.0,1.0,0.0,26.0,3.0,64.0,0.0,Seton Hall
10/21/2016,@ DePaul,3-0,3.0,0,47.0,16.0,105.0,0.295,41.0,6.0,9.0,37.0,4.0,2.0,8.0,0.0,59.0,0.0,DePaul
10/22/2016,@ Marquette,3-1,4.0,0,68.0,34.0,170.0,0.2,57.0,3.0,7.0,74.0,4.0,0.0,10.0,1.0,76.0,0.0,Marquette
10/28/2016,@ Seton Hall,3-0,3.0,0,46.0,10.0,100.0,0.36,46.0,5.0,6.0,55.0,1.0,3.0,16.0,1.0,62.0,0.0,Seton Hall
10/29/2016,@ St. John's (NY),3-0,3.0,0,49.0,12.0,107.0,0.346,45.0,6.0,7.0,49.0,5.0,3.0,14.0,1.0,65.0,0.0,St. John's 
11/04/2016,Butler,3-0,3.0,0,47.0,8.0,94.0,0.415,45.0,5.0,8.0,49.0,2.0,1.0,4.0,3.0,55.0,0.0,Butler
11/06/2016,Xavier,3-0,3.0,0,46.0,11.0,101.0,0.347,44.0,7.0,10.0,36.0,4.0,2.0,8.0,2.0,59.0,0.0,Xavier
11/11/2016,Providence,3-0,3.0,0,45.0,8.0,101.0,0.366,42.0,6.0,2.0,52.0,4.0,1.0,12.0,0.0,58.0,1.0,Providence
11/12/2016,Providence,3-0,3.0,0,45.0,10.0,94.0,0.372,39.0,7.0,5.0,38.0,2.0,2.0,14.0,4.0,61.0,1.0,Providence
11/18/2016,Georgetown,3-0,3.0,0,49.0,12.0,100.0,0.37,45.0,6.0,11.0,47.0,3.0,1.0,8.0,1.0,60.0,1.0,Georgetown
