date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/26/2016,"Wofford @ Clemson, S.C.",3-0,3.0,0,39.0,8.0,82.0,0.378,32.0,10.0,11.0,29.0,5.0,0.0,10.0,0.0,54.0,0.0,Wofford,3,13.0,2.6666666666666665,27.33333333333333,10.666666666666666,3.333333333333333,3.6666666666666665,9.666666666666666,0.0,3.333333333333333,0.0,18.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2016,@ Clemson,1-3,4.0,0,51.0,25.0,129.0,0.202,48.0,5.0,7.0,54.0,5.0,2.0,12.0,0.0,64.0,0.0,Clemson,4,12.75,6.25,32.25,12.0,1.25,1.75,13.5,0.5,3.0,0.0,16.0,,6.5,,1.3333333333333333,,13.666666666666664,,0.189,,5.333333333333333,,1.6666666666666665,,1.8333333333333333,,4.833333333333333,,0.0,,1.6666666666666665,,0.0,,9.0
08/27/2016,"William & Mary @ Clemson, S.C.",3-2,5.0,0,56.0,28.0,162.0,0.173,53.0,4.0,8.0,59.0,10.0,3.0,10.0,0.0,68.0,0.0,William & Mary,5,11.2,5.6,32.4,10.6,0.8,1.6,11.8,0.6,2.0,0.0,13.6,,8.583333333333334,,2.972222222222222,,19.86111111111111,,0.19333333333333336,,7.5555555555555545,,1.5277777777777777,,1.8055555555555554,,7.722222222222221,,0.16666666666666666,,2.111111111111111,,0.0,,11.333333333333334
09/02/2016,UNC Greensboro,3-2,5.0,0,62.0,26.0,169.0,0.213,58.0,4.0,9.0,76.0,4.0,3.0,18.0,4.0,78.0,0.0,UNC Greensboro,5,12.4,5.2,33.8,11.6,0.8,1.8,15.2,0.6,3.6,0.8,15.6,12.316666666666668,9.2375,4.838888888888889,3.6291666666666664,30.661111111111108,22.99583333333333,0.251,0.18825000000000003,11.088888888888889,8.316666666666666,1.7944444444444443,1.3458333333333332,2.338888888888889,1.7541666666666664,11.655555555555557,8.741666666666667,0.3666666666666667,0.275,2.7777777777777772,2.083333333333333,0.0,0.0,15.866666666666667,11.9
09/03/2016,@ Elon,3-1,4.0,0,60.0,18.0,143.0,0.294,54.0,8.0,4.0,58.0,5.0,2.0,10.0,0.0,75.0,1.0,Elon,4,15.0,4.5,35.75,13.5,2.0,1.0,14.5,0.5,2.5,0.0,18.75,12.116666666666667,9.870000000000001,5.683333333333334,3.943333333333333,32.81666666666666,25.156666666666663,0.19599999999999998,0.1932,11.4,8.973333333333333,0.9500000000000001,1.2366666666666666,1.7166666666666668,1.7633333333333332,13.5,10.033333333333335,0.5666666666666667,0.34,2.8666666666666667,2.3866666666666663,0.26666666666666666,0.16,15.066666666666668,12.64
09/03/2016,Youngstown St.,3-0,3.0,0,37.0,10.0,81.0,0.333,35.0,12.0,4.0,45.0,4.0,3.0,6.0,0.0,55.0,0.0,Youngstown St.,3,12.333333333333334,3.333333333333333,27.0,11.666666666666666,4.0,1.3333333333333333,15.0,1.0,2.0,0.0,18.33333333333333,12.866666666666667,10.725,5.1000000000000005,4.0361111111111105,33.98333333333333,26.922222222222217,0.22666666666666666,0.21,11.9,9.727777777777778,1.2,1.363888888888889,1.4666666666666668,1.636111111111111,13.833333333333334,10.777777777777779,0.5666666666666667,0.3666666666666667,2.6999999999999997,2.4055555555555554,0.26666666666666666,0.13333333333333333,15.983333333333334,13.658333333333333
09/06/2016,@ VCU,1-3,4.0,0,39.0,24.0,141.0,0.106,37.0,2.0,11.0,65.0,9.0,1.0,14.0,1.0,49.0,0.0,VCU,4,9.75,6.0,35.25,9.25,0.5,2.75,16.25,0.25,3.5,0.25,12.25,13.244444444444445,10.954761904761904,4.344444444444444,3.9357142857142855,32.18333333333333,26.93333333333333,0.27999999999999997,0.22757142857142856,12.255555555555555,10.004761904761905,2.2666666666666666,1.7404761904761905,1.3777777777777775,1.592857142857143,14.899999999999999,11.380952380952381,0.7000000000000001,0.4571428571428572,2.6999999999999997,2.3476190476190473,0.26666666666666666,0.1142857142857143,17.561111111111106,14.326190476190476
09/09/2016,@ NC State,3-1,4.0,0,53.0,24.0,158.0,0.184,51.0,5.0,5.0,72.0,4.0,2.0,18.0,1.0,69.0,3.0,NC State,4,13.25,6.0,39.5,12.75,1.25,1.25,18.0,0.5,4.5,0.25,17.25,12.361111111111112,10.804166666666665,4.611111111111111,4.19375,32.666666666666664,27.972916666666663,0.24433333333333332,0.212375,11.472222222222221,9.910416666666666,2.1666666666666665,1.5854166666666667,1.6944444444444446,1.7375,15.25,11.989583333333334,0.5833333333333334,0.43125,2.6666666666666665,2.4916666666666663,0.08333333333333333,0.13125,16.444444444444443,14.066666666666666
09/10/2016,"SMU @ Raleigh, N.C.",0-3,3.0,0,30.0,23.0,125.0,0.056,29.0,2.0,5.0,54.0,1.0,0.0,6.0,1.0,35.0,0.0,SMU,3,10.0,7.666666666666667,41.66666666666666,9.666666666666666,0.6666666666666666,1.6666666666666667,18.0,0.0,2.0,0.3333333333333333,11.666666666666666,11.777777777777779,11.075925925925924,5.111111111111111,4.394444444444444,33.916666666666664,29.2537037037037,0.20766666666666667,0.20922222222222223,11.222222222222221,10.225925925925926,1.9166666666666667,1.5481481481481483,1.777777777777778,1.6833333333333333,16.416666666666668,12.657407407407408,0.5833333333333334,0.4388888888888889,3.3333333333333335,2.7148148148148143,0.16666666666666666,0.14444444444444446,15.944444444444443,14.420370370370371
09/10/2016,"Delaware @ Raleigh, N.C.",3-1,4.0,0,56.0,26.0,137.0,0.219,53.0,11.0,6.0,52.0,6.0,1.0,14.0,3.0,75.0,3.0,Delaware,4,14.0,6.5,34.25,13.25,2.75,1.5,13.0,0.25,3.5,0.75,18.75,11.0,10.968333333333332,6.555555555555556,4.721666666666666,38.80555555555555,30.494999999999994,0.11533333333333334,0.19390000000000002,10.555555555555555,10.17,0.8055555555555555,1.46,1.8888888888888886,1.6816666666666666,17.416666666666668,13.191666666666668,0.25,0.395,3.3333333333333335,2.643333333333333,0.27777777777777773,0.16333333333333333,13.722222222222221,14.145
