date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2016,"Fordham @ New Britain, CT",2-3,5.0,0,52.0,27.0,133.0,0.188,49.0,8.0,10.0,38.0,11.0,1.0,8.0,1.0,65.0,1.0,Fordham,5,10.4,5.4,26.6,9.8,1.6,2.0,7.6,0.2,1.6,0.2,13.0
08/27/2016,"Iona @ New Britain, CT",3-2,5.0,0,57.0,30.0,149.0,0.181,57.0,12.0,6.0,72.0,5.0,3.0,8.0,1.0,76.0,2.0,Iona,5,11.4,6.0,29.8,11.4,2.4,1.2,14.4,0.6,1.6,0.2,15.2
08/27/2016,@ Central Conn. St.,2-3,5.0,0,59.0,41.0,185.0,0.097,58.0,4.0,8.0,85.0,5.0,3.0,12.0,3.0,72.0,1.0,Central Conn. St.,5,11.8,8.2,37.0,11.6,0.8,1.6,17.0,0.6,2.4,0.6,14.4
09/02/2016,Providence,2-3,5.0,0,61.0,32.0,191.0,0.152,55.0,2.0,9.0,76.0,6.0,8.0,19.0,1.0,80.5,1.0,Providence,5,12.2,6.4,38.2,11.0,0.4,1.8,15.2,1.6,3.8,0.2,16.1
09/03/2016,Saint Peter's,3-0,3.0,0,46.0,23.0,125.0,0.184,39.0,6.0,7.0,53.0,2.0,0.0,10.0,0.0,57.0,0.0,Saint Peter's,3,15.333333333333334,7.666666666666667,41.666666666666664,13.0,2.0,2.3333333333333335,17.666666666666668,0.0,3.3333333333333335,0.0,19.0
09/03/2016,FDU,3-0,3.0,0,46.0,18.0,113.0,0.248,40.0,6.0,6.0,47.0,3.0,0.0,10.0,0.0,57.0,0.0,FDU,3,15.333333333333334,6.0,37.666666666666664,13.333333333333334,2.0,2.0,15.666666666666666,0.0,3.3333333333333335,0.0,19.0
09/09/2016,"Southern Miss. @ Tuscaloosa, AL",0-3,3.0,0,28.0,16.0,94.0,0.128,27.0,3.0,10.0,44.0,4.0,2.0,10.0,1.0,38.0,5.0,Southern Miss.,3,9.333333333333334,5.333333333333333,31.333333333333332,9.0,1.0,3.3333333333333335,14.666666666666666,0.6666666666666666,3.3333333333333335,0.3333333333333333,12.666666666666666
09/09/2016,"Northwestern St. @ Tuscaloosa, AL",1-3,4.0,0,43.0,21.0,151.0,0.146,40.0,6.0,10.0,55.0,4.0,1.0,22.0,0.0,61.0,2.0,Northwestern St.,4,10.75,5.25,37.75,10.0,1.5,2.5,13.75,0.25,5.5,0.0,15.25
09/10/2016,@ Alabama,0-3,3.0,0,31.0,15.0,91.0,0.176,30.0,3.0,10.0,37.0,6.0,0.0,2.0,0.0,35.0,3.0,Alabama,3,10.333333333333334,5.0,30.333333333333332,10.0,1.0,3.3333333333333335,12.333333333333334,0.0,0.6666666666666666,0.0,11.666666666666666
09/13/2016,@ Villanova,0-3,3.0,0,25.0,20.0,104.0,0.048,23.0,2.0,4.0,30.0,3.0,0.0,0.0,2.0,27.0,3.0,Villanova,3,8.333333333333334,6.666666666666667,34.666666666666664,7.666666666666667,0.6666666666666666,1.3333333333333333,10.0,0.0,0.0,0.6666666666666666,9.0
09/16/2016,"Robert Morris @ Pittsburgh, PA",3-1,4.0,0,63.0,32.0,166.0,0.187,60.0,7.0,5.0,76.0,5.0,0.0,10.0,3.0,75.0,3.0,Robert Morris,4,15.75,8.0,41.5,15.0,1.75,1.25,19.0,0.0,2.5,0.75,18.75
09/17/2016,@ Pittsburgh,0-3,3.0,0,26.0,17.0,83.0,0.108,25.0,3.0,3.0,33.0,10.0,1.0,0.0,2.0,30.0,2.0,Pittsburgh,3,8.666666666666666,5.666666666666667,27.666666666666668,8.333333333333334,1.0,1.0,11.0,0.3333333333333333,0.0,0.6666666666666666,10.0
09/17/2016,"Western Ky. @ Pittsburgh, PA",0-3,3.0,0,24.0,21.0,87.0,0.034,23.0,6.0,4.0,28.0,1.0,1.0,4.0,2.0,33.0,6.0,Western Ky.,3,8.0,7.0,29.0,7.666666666666667,2.0,1.3333333333333333,9.333333333333334,0.3333333333333333,1.3333333333333333,0.6666666666666666,11.0
09/21/2016,Lafayette,3-0,3.0,0,44.0,15.0,102.0,0.284,40.0,8.0,9.0,41.0,3.0,0.0,4.0,1.0,54.0,0.0,Lafayette,3,14.666666666666666,5.0,34.0,13.333333333333334,2.6666666666666665,3.0,13.666666666666666,0.0,1.3333333333333333,0.3333333333333333,18.0
09/23/2016,@ Navy,3-1,4.0,0,59.0,23.0,156.0,0.231,56.0,2.0,8.0,64.0,6.0,9.0,6.0,3.0,73.0,0.0,Navy,4,14.75,5.75,39.0,14.0,0.5,2.0,16.0,2.25,1.5,0.75,18.25
09/24/2016,@ Loyola Maryland,3-0,3.0,0,41.0,10.0,111.0,0.279,36.0,5.0,3.0,48.0,4.0,0.0,14.0,4.0,53.0,1.0,Loyola Maryland,3,13.666666666666666,3.3333333333333335,37.0,12.0,1.6666666666666667,1.0,16.0,0.0,4.666666666666667,1.3333333333333333,17.666666666666668
09/30/2016,Bucknell,3-1,4.0,0,56.0,23.0,151.0,0.219,53.0,7.0,6.0,68.0,2.0,7.0,4.0,4.0,72.0,1.0,Bucknell,4,14.0,5.75,37.75,13.25,1.75,1.5,17.0,1.75,1.0,1.0,18.0
10/01/2016,@ Colgate,0-3,3.0,0,30.0,27.0,114.0,0.026,29.0,1.0,3.0,44.0,8.0,0.0,13.0,1.0,37.5,0.0,Colgate,3,10.0,9.0,38.0,9.666666666666666,0.3333333333333333,1.0,14.666666666666666,0.0,4.333333333333333,0.3333333333333333,12.5
