date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2016,"DePaul @ DeKalb, Ill.",1-3,4.0,0,55.0,28.0,143.0,0.189,48.0,5.0,15.0,61.0,7.0,8.0,0.0,0.0,68.0,0.0,DePaul
08/27/2016,"Iowa @ DeKalb, Ill.",1-3,4.0,0,35.0,26.0,107.0,0.084,34.0,3.0,10.0,30.0,7.0,6.0,12.0,4.0,50.0,0.0,Iowa
08/27/2016,@ NIU,1-3,4.0,0,52.0,30.0,140.0,0.157,50.0,8.0,10.0,53.0,5.0,5.0,4.0,0.0,67.0,0.0,NIU
09/02/2016,"Col. of Charleston @ Winston-Salem, N.C.",3-1,4.0,0,44.0,19.0,126.0,0.198,44.0,5.0,9.0,57.0,8.0,5.0,24.0,2.0,66.0,1.0,Col. of Charleston
09/03/2016,@ Wake Forest,3-2,5.0,0,56.0,17.0,160.0,0.244,53.0,2.0,3.0,78.0,5.0,8.0,16.0,3.0,74.0,3.0,Wake Forest
09/03/2016,"Davidson @ Winston-Salem, N.C.",3-2,5.0,0,54.0,33.0,166.0,0.127,50.0,8.0,6.0,84.0,6.0,2.0,12.0,2.0,70.0,3.0,Davidson
09/09/2016,"Mississippi St. @ Manhattan, Kan.",3-2,5.0,0,45.0,23.0,127.0,0.173,41.0,6.0,10.0,53.0,10.0,4.0,12.0,2.0,61.0,0.0,Mississippi St.
09/09/2016,"Miami (FL) @ Manhattan, Kan.",2-3,5.0,0,59.0,30.0,164.0,0.177,53.0,7.0,18.0,48.0,2.0,2.0,16.0,2.0,76.0,0.0,Miami 
09/10/2016,@ Kansas St.,0-3,3.0,0,29.0,13.0,100.0,0.16,28.0,3.0,11.0,37.0,7.0,2.0,10.0,3.0,39.0,0.0,Kansas St.
09/13/2016,UIC,1-3,4.0,0,55.0,26.0,143.0,0.203,52.0,2.0,10.0,55.0,3.0,2.0,16.0,7.0,67.0,0.0,UIC
09/16/2016,@ Butler,1-3,4.0,0,54.0,19.0,132.0,0.265,53.0,3.0,10.0,49.0,4.0,4.0,12.0,3.0,67.0,0.0,Butler
09/17/2016,"Arizona @ Indianapolis, Ind.",1-3,4.0,0,37.0,19.0,116.0,0.155,36.0,7.0,13.0,41.0,3.0,4.0,12.0,2.0,54.0,1.0,Arizona
09/17/2016,"Northern Ky. @ Indianapolis, Ind.",3-2,5.0,0,53.0,22.0,133.0,0.233,50.0,6.0,15.0,50.0,7.0,3.0,16.0,5.0,70.0,0.0,Northern Ky.
09/23/2016,@ Illinois St.,1-3,4.0,0,42.0,27.0,140.0,0.107,41.0,3.0,5.0,56.0,7.0,0.0,8.0,4.0,49.0,1.0,Illinois St.
09/24/2016,@ Indiana St.,3-2,5.0,0,73.0,32.0,191.0,0.215,62.0,1.0,7.0,73.0,2.0,4.0,14.0,6.0,85.0,1.0,Indiana St.
09/30/2016,Evansville,3-0,3.0,0,41.0,15.0,95.0,0.274,39.0,4.0,6.0,39.0,2.0,2.0,16.0,2.0,55.0,0.0,Evansville
10/01/2016,Southern Ill.,3-1,4.0,0,66.0,22.0,131.0,0.336,65.0,7.0,11.0,43.0,3.0,4.0,2.0,5.0,78.0,0.0,Southern Ill.
10/07/2016,@ Wichita St.,0-3,3.0,0,42.0,15.0,107.0,0.252,42.0,1.0,11.0,36.0,3.0,1.0,4.0,3.0,46.0,0.0,Wichita St.
10/08/2016,@ Missouri St.,0-3,3.0,0,27.0,19.0,99.0,0.081,23.0,1.0,7.0,34.0,3.0,0.0,0.0,2.0,28.0,1.0,Missouri St.
10/14/2016,Drake,3-0,3.0,0,46.0,13.0,106.0,0.311,46.0,1.0,9.0,40.0,3.0,2.0,20.0,4.0,59.0,0.0,Drake
10/15/2016,UNI,2-3,5.0,0,57.0,20.0,159.0,0.233,56.0,5.0,10.0,75.0,5.0,2.0,12.0,6.0,70.0,0.0,UNI
10/18/2016,Bradley,3-1,4.0,0,63.0,25.0,158.0,0.241,62.0,5.0,8.0,66.0,6.0,0.0,16.0,3.0,76.0,0.0,Bradley
10/21/2016,Indiana St.,1-3,4.0,0,59.0,25.0,151.0,0.225,59.0,5.0,13.0,54.0,3.0,3.0,6.0,2.0,70.0,0.0,Indiana St.
10/22/2016,Illinois St.,0-3,3.0,0,34.0,15.0,109.0,0.174,34.0,4.0,7.0,46.0,6.0,1.0,6.0,5.0,42.0,0.0,Illinois St.
10/28/2016,@ Southern Ill.,3-1,4.0,0,57.0,26.0,144.0,0.215,55.0,9.0,9.0,53.0,5.0,2.0,14.0,4.0,75.0,1.0,Southern Ill.
10/29/2016,@ Evansville,3-2,5.0,0,61.0,30.0,158.0,0.196,56.0,9.0,12.0,66.0,5.0,0.0,14.0,3.0,77.0,2.0,Evansville
11/05/2016,Wichita St.,0-3,3.0,0,44.0,19.0,132.0,0.189,43.0,1.0,5.0,60.0,3.0,4.0,8.0,4.0,53.0,0.0,Wichita St.
11/06/2016,Missouri St.,0-3,3.0,0,37.0,24.0,120.0,0.108,34.0,2.0,5.0,46.0,5.0,3.0,8.0,0.0,46.0,0.0,Missouri St.
11/11/2016,@ UNI,0-3,3.0,0,24.0,14.0,95.0,0.105,24.0,3.0,8.0,39.0,9.0,1.0,4.0,2.0,30.0,1.0,UNI
11/12/2016,@ Drake,3-1,4.0,0,58.0,28.0,167.0,0.18,53.0,8.0,12.0,68.0,2.0,0.0,20.0,3.0,76.0,0.0,Drake
11/19/2016,@ Bradley,3-0,3.0,0,47.0,12.0,105.0,0.333,46.0,4.0,8.0,37.0,2.0,0.0,10.0,1.0,56.0,0.0,Bradley
11/24/2016,@ UNI,0-3,3.0,0,24.0,22.0,109.0,0.018,22.0,1.0,6.0,50.0,5.0,2.0,8.0,0.0,31.0,4.0,UNI
