date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2016,"Xavier @ Champaign, Ill.",2-3,5.0,0,56.0,25.0,167.0,0.186,52.0,5.0,9.0,71.0,2.0,0.0,10.0,1.0,66.0,1.0,Xavier
08/27/2016,@ Illinois,3-2,5.0,0,59.0,29.0,156.0,0.192,56.0,5.0,8.0,53.0,3.0,0.0,10.0,1.0,69.0,3.0,Illinois
08/27/2016,"Arkansas @ Champaign, Ill.",3-0,3.0,0,44.0,21.0,116.0,0.198,38.0,4.0,13.0,55.0,3.0,1.0,6.0,1.0,52.0,0.0,Arkansas
09/01/2016,@ Hawaii,0-3,3.0,0,36.0,17.0,111.0,0.171,34.0,2.0,6.0,46.0,5.0,1.0,6.0,0.0,42.0,0.0,Hawaii
09/02/2016,"UCLA @ Honolulu, Hawai'i",1-3,4.0,0,43.0,25.0,147.0,0.122,40.0,3.0,6.0,61.0,1.0,2.0,14.0,2.0,55.0,0.0,UCLA
09/03/2016,"Pacific @ Honolulu, HI",3-0,3.0,0,40.0,12.0,99.0,0.283,38.0,3.0,5.0,54.0,6.0,1.0,14.0,0.0,51.0,1.0,Pacific
09/08/2016,McNeese,3-0,3.0,0,48.0,12.0,104.0,0.346,48.0,4.0,6.0,50.0,0.0,3.0,4.0,1.0,57.0,5.0,McNeese
09/09/2016,Ohio St.,3-2,5.0,0,59.0,24.0,182.0,0.192,53.0,5.0,8.0,89.0,6.0,2.0,18.0,0.0,75.0,0.0,Ohio St.
09/10/2016,IUPUI,3-1,4.0,0,62.0,23.0,177.0,0.22,60.0,4.0,6.0,80.0,2.0,1.0,6.0,1.0,70.0,0.0,IUPUI
09/10/2016,Western Ill.,3-0,3.0,0,42.0,12.0,87.0,0.345,41.0,9.0,5.0,41.0,2.0,0.0,8.0,0.0,55.0,0.0,Western Ill.
09/13/2016,@ Arkansas St.,3-1,4.0,0,51.0,22.0,125.0,0.232,49.0,4.0,10.0,50.0,1.0,2.0,14.0,1.0,64.0,0.0,Arkansas St.
09/16/2016,"Milwaukee @ Milwaukee, Wis.",3-0,3.0,0,50.0,14.0,117.0,0.308,49.0,3.0,5.0,55.0,2.0,1.0,16.0,0.0,62.0,2.0,Milwaukee
09/17/2016,@ Marquette,1-3,4.0,0,49.0,25.0,164.0,0.146,47.0,4.0,4.0,70.0,3.0,1.0,8.0,2.0,58.0,1.0,Marquette
