date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/26/2016,@ Kennesaw St.,3-2,5.0,0,55.0,24.0,148.0,0.209,53.0,6.0,15.0,62.0,3.0,5.0,20.0,1.0,76.0,1.0,Kennesaw St.,5,11.0,4.8,29.6,10.6,1.2,3.0,12.4,1.0,4.0,0.2,15.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2016,"Pittsburgh @ Kennesaw, Ga.",3-1,4.0,0,50.0,19.0,129.0,0.24,42.0,11.0,5.0,50.0,1.0,3.0,20.0,0.0,74.0,4.0,Pittsburgh,4,12.5,4.75,32.25,10.5,2.75,1.25,12.5,0.75,5.0,0.0,18.5,,5.5,,2.4,,14.8,,0.1045,,5.3,,0.6,,1.5,,6.2,,0.5,,2.0,,0.1,,7.6
08/27/2016,"Liberty @ Kennesaw, Ga.",3-0,3.0,0,45.0,18.0,123.0,0.22,39.0,2.0,7.0,50.0,1.0,1.0,12.0,3.0,54.0,1.0,Liberty,3,15.0,6.0,41.0,13.0,0.6666666666666666,2.333333333333333,16.666666666666668,0.3333333333333333,4.0,1.0,18.0,,7.833333333333333,,3.1833333333333336,,20.616666666666667,,0.14966666666666664,,7.033333333333334,,1.3166666666666667,,1.4166666666666667,,8.299999999999999,,0.5833333333333334,,3.0,,0.06666666666666667,,11.233333333333334
09/02/2016,Utah,2-3,5.0,0,58.0,21.0,147.0,0.252,54.0,4.0,4.0,55.0,5.0,2.0,18.0,0.0,73.0,2.0,Utah,5,11.6,4.2,29.4,10.8,0.8,0.8,11.0,0.4,3.6,0.0,14.6,12.833333333333334,9.625,5.183333333333334,3.8875,34.28333333333333,25.7125,0.223,0.16724999999999998,11.366666666666667,8.525,1.538888888888889,1.1541666666666668,2.194444444444444,1.6458333333333333,13.855555555555556,10.391666666666666,0.6944444444444445,0.5208333333333334,4.333333333333333,3.25,0.39999999999999997,0.3,17.233333333333334,12.925
09/03/2016,Miami (OH),2-3,5.0,0,65.0,27.0,182.0,0.209,61.0,3.0,6.0,87.0,9.0,4.0,10.0,0.0,77.0,3.0,Miami ,5,13.0,5.4,36.4,12.2,0.6,1.2,17.4,0.8,2.0,0.0,15.4,13.033333333333333,10.02,4.983333333333333,3.95,34.21666666666667,26.45,0.2373333333333333,0.18419999999999997,11.433333333333332,8.98,1.4055555555555557,1.0833333333333335,1.461111111111111,1.4766666666666666,13.388888888888891,10.513333333333332,0.49444444444444446,0.4966666666666667,4.2,3.3200000000000003,0.3333333333333333,0.24,17.03333333333333,13.26
09/03/2016,Rice,3-1,4.0,0,73.0,14.0,137.0,0.431,59.0,3.0,7.0,38.0,6.0,2.0,4.0,0.0,80.0,3.0,Rice,4,18.25,3.5,34.25,14.75,0.75,1.75,9.5,0.5,1.0,0.0,20.0,13.200000000000001,10.516666666666667,5.2,4.191666666666666,35.6,28.108333333333334,0.227,0.18833333333333332,12.0,9.516666666666667,0.6888888888888888,1.0027777777777778,1.4444444444444444,1.4305555555555554,15.022222222222224,11.661111111111111,0.5111111111111112,0.5472222222222222,3.1999999999999997,3.1,0.3333333333333333,0.19999999999999998,16.0,13.616666666666667
09/09/2016,@ Idaho St.,3-1,4.0,0,58.0,23.0,144.0,0.243,51.0,5.0,10.0,55.0,7.0,3.0,10.0,0.0,71.0,0.0,Idaho St.,4,14.5,5.75,36.0,12.75,1.25,2.5,13.75,0.75,2.5,0.0,17.75,14.283333333333333,11.62142857142857,4.366666666666667,4.0928571428571425,33.35,28.985714285714288,0.2973333333333333,0.223,12.583333333333334,10.264285714285716,0.7166666666666668,0.9666666666666667,1.25,1.476190476190476,12.633333333333333,11.352380952380953,0.5666666666666668,0.5404761904761904,2.1999999999999997,2.8000000000000003,0.0,0.17142857142857143,16.666666666666668,14.528571428571428
09/10/2016,"BYU @ Pocatello, Idaho",0-3,3.0,0,37.0,14.0,95.0,0.242,36.0,2.0,7.0,32.0,8.0,2.0,18.0,0.0,50.0,0.0,BYU,3,12.333333333333334,4.666666666666667,31.666666666666668,12.0,0.6666666666666666,2.333333333333333,10.666666666666666,0.6666666666666666,6.0,0.0,16.666666666666668,15.25,11.98125,4.883333333333334,4.3,35.550000000000004,29.8625,0.29433333333333334,0.22549999999999998,13.233333333333334,10.575000000000001,0.8666666666666666,1.0020833333333332,1.8166666666666667,1.6041666666666665,13.549999999999999,11.652083333333334,0.6833333333333332,0.5666666666666667,1.8333333333333333,2.7625,0.0,0.15,17.716666666666665,14.93125
09/10/2016,"Boise St. @ Pocatello, Idaho",3-1,4.0,0,59.0,22.0,143.0,0.259,56.0,6.0,6.0,52.0,5.0,6.0,10.0,1.0,76.0,0.0,Boise St.,4,14.75,5.5,35.75,14.0,1.5,1.5,13.0,1.5,2.5,0.25,19.0,15.027777777777779,12.020370370370369,4.638888888888889,4.34074074074074,33.97222222222222,30.062962962962963,0.3053333333333333,0.2273333333333333,13.166666666666666,10.733333333333334,0.8888888888888888,0.9648148148148147,2.194444444444444,1.685185185185185,11.305555555555555,11.542592592592593,0.6388888888888888,0.5777777777777778,3.1666666666666665,3.1222222222222222,0.0,0.13333333333333333,18.13888888888889,15.124074074074075
09/16/2016,"Duquesne @ Newark, Del.",3-0,3.0,0,43.0,8.0,85.0,0.412,39.0,3.0,7.0,41.0,1.0,1.0,18.0,2.0,56.0,1.0,Duquesne,3,14.333333333333334,2.6666666666666665,28.33333333333333,13.0,1.0,2.333333333333333,13.666666666666666,0.3333333333333333,6.0,0.6666666666666666,18.666666666666668,13.861111111111112,12.293333333333333,5.305555555555556,4.456666666666666,34.47222222222222,30.631666666666668,0.248,0.23049999999999998,12.916666666666666,11.06,1.1388888888888888,1.018333333333333,2.111111111111111,1.6666666666666665,12.472222222222221,11.688333333333334,0.9722222222222222,0.67,3.6666666666666665,3.06,0.08333333333333333,0.145,17.805555555555557,15.511666666666667
