date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/26/2016,New Hampshire,3-1,4.0,0,37.0,20.0,117.0,0.145,35.0,6.0,6.0,58.0,5.0,7.0,16.0,4.0,58.0,2.0,New Hampshire,4,9.25,5.0,29.25,8.75,1.5,1.5,14.5,1.75,4.0,1.0,14.5,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2016,Delaware,0-3,3.0,0,39.0,24.0,126.0,0.119,39.0,6.0,4.0,55.0,3.0,3.0,4.0,1.0,50.0,1.0,Delaware,3,13.0,8.0,42.0,13.0,2.0,1.3333333333333333,18.33333333333333,1.0,1.3333333333333333,0.3333333333333333,16.666666666666668,,4.625,,2.5,,14.625,,0.0725,,4.375,,0.75,,0.75,,7.25,,0.875,,2.0,,0.5,,7.25
08/27/2016,Coppin St.,3-1,4.0,0,56.0,24.0,152.0,0.211,56.0,6.0,11.0,66.0,8.0,8.0,8.0,4.0,74.0,2.0,Coppin St.,4,14.0,6.0,38.0,14.0,1.5,2.75,16.5,2.0,2.0,1.0,18.5,,7.416666666666667,,4.333333333333333,,23.75,,0.08800000000000001,,7.25,,1.1666666666666667,,0.9444444444444443,,10.944444444444443,,0.9166666666666666,,1.7777777777777777,,0.4444444444444444,,10.38888888888889
09/02/2016,@ UMES,3-0,3.0,0,30.0,10.0,75.0,0.267,28.0,6.0,8.0,42.0,3.0,1.0,12.0,1.0,43.0,3.0,UMES,3,10.0,3.333333333333333,25.0,9.333333333333334,2.0,2.6666666666666665,14.0,0.3333333333333333,4.0,0.3333333333333333,14.333333333333334,12.083333333333334,9.0625,6.333333333333333,4.75,36.416666666666664,27.3125,0.15833333333333333,0.11875,11.916666666666666,8.9375,1.6666666666666667,1.25,1.861111111111111,1.3958333333333333,16.444444444444443,12.333333333333332,1.5833333333333333,1.1875,2.444444444444444,1.8333333333333333,0.7777777777777777,0.5833333333333333,16.555555555555557,12.416666666666668
09/03/2016,"Norfolk St. @ Princess Anne, Md.",3-0,3.0,0,46.0,13.0,99.0,0.333,43.0,6.0,7.0,49.0,7.0,0.0,8.0,3.0,56.0,0.0,Norfolk St.,3,15.333333333333334,4.333333333333333,33.0,14.333333333333334,2.0,2.333333333333333,16.333333333333332,0.0,2.6666666666666665,1.0,18.666666666666668,12.333333333333334,9.25,5.777777777777778,4.466666666666667,35.0,26.85,0.19899999999999998,0.1484,12.111111111111112,9.016666666666667,1.8333333333333333,1.4,2.25,1.65,16.277777777777775,12.666666666666666,1.1111111111111112,1.0166666666666666,2.444444444444444,2.2666666666666666,0.5555555555555555,0.5333333333333333,16.5,12.8
09/03/2016,"Rider @ Princess Anne, Md.",3-0,3.0,0,45.0,19.0,111.0,0.234,42.0,6.0,7.0,50.0,3.0,1.0,10.0,0.0,57.0,0.0,Rider,3,15.0,6.333333333333333,37.0,14.0,2.0,2.333333333333333,16.666666666666668,0.3333333333333333,3.333333333333333,0.0,19.0,13.111111111111112,10.26388888888889,4.555555555555555,4.444444444444444,32.0,27.875,0.2703333333333333,0.17916666666666667,12.555555555555557,9.902777777777779,1.8333333333333333,1.5,2.5833333333333335,1.7638888888888886,15.611111111111109,13.277777777777777,0.7777777777777778,0.8472222222222222,2.888888888888889,2.333333333333333,0.7777777777777777,0.611111111111111,17.166666666666668,13.777777777777779
09/09/2016,"South Carolina St. @ Buies Creek, N.C.",3-0,3.0,0,40.0,10.0,82.0,0.366,37.0,11.0,4.0,50.0,0.0,2.0,4.0,0.0,55.0,0.0,South Carolina St.,3,13.333333333333334,3.333333333333333,27.33333333333333,12.333333333333334,3.6666666666666665,1.3333333333333333,16.666666666666668,0.6666666666666666,1.3333333333333333,0.0,18.33333333333333,13.444444444444445,10.940476190476192,4.666666666666667,4.714285714285714,31.666666666666668,29.178571428571427,0.278,0.187,12.555555555555557,10.488095238095239,2.0,1.5714285714285714,2.444444444444444,1.845238095238095,15.666666666666666,13.761904761904761,0.2222222222222222,0.7738095238095237,3.3333333333333335,2.476190476190476,0.4444444444444444,0.5238095238095238,17.333333333333332,14.523809523809524
09/09/2016,@ Campbell,3-1,4.0,0,58.0,25.0,198.0,0.167,55.0,5.0,7.0,97.0,3.0,0.0,16.0,0.0,71.0,0.0,Campbell,4,14.5,6.25,49.5,13.75,1.25,1.75,24.25,0.0,4.0,0.0,17.75,14.555555555555557,11.239583333333334,4.666666666666667,4.541666666666667,32.44444444444444,28.947916666666664,0.311,0.20937499999999998,13.555555555555555,10.71875,2.5555555555555554,1.8333333333333333,2.0,1.7812499999999998,16.555555555555557,14.125,0.3333333333333333,0.7604166666666666,2.444444444444444,2.333333333333333,0.3333333333333333,0.4583333333333333,18.666666666666668,15.0
09/10/2016,"East Carolina @ Buies Creek, N.C.",1-3,4.0,0,44.0,31.0,139.0,0.094,40.0,3.0,4.0,54.0,6.0,1.0,12.0,2.0,54.0,2.0,East Carolina,4,11.0,7.75,34.75,10.0,0.75,1.0,13.5,0.25,3.0,0.5,13.5,14.277777777777777,11.601851851851853,5.305555555555555,4.731481481481482,37.94444444444444,31.23148148148148,0.2556666666666667,0.20466666666666666,13.361111111111112,11.055555555555555,2.3055555555555554,1.7685185185185184,1.8055555555555554,1.7777777777777777,19.194444444444446,15.25,0.3333333333333333,0.6759259259259259,2.888888888888889,2.518518518518518,0.0,0.4074074074074074,18.36111111111111,15.305555555555555
09/16/2016,"Iona @ Loretto, PA",3-0,3.0,0,39.0,13.0,92.0,0.283,35.0,7.0,4.0,41.0,2.0,3.0,6.0,0.0,52.0,1.0,Iona,3,13.0,4.333333333333333,30.666666666666668,11.666666666666666,2.333333333333333,1.3333333333333333,13.666666666666666,1.0,2.0,0.0,17.333333333333332,12.944444444444443,11.541666666666668,5.777777777777778,5.033333333333333,37.19444444444444,31.583333333333332,0.209,0.1936,12.027777777777779,10.95,1.8888888888888886,1.6666666666666665,1.361111111111111,1.7,18.13888888888889,15.075,0.3055555555555555,0.6333333333333333,2.777777777777778,2.5666666666666664,0.16666666666666666,0.41666666666666663,16.527777777777775,15.125
