date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2016,@ Temple,1-3,4.0,0,39.0,19.0,126.0,0.159,37.0,6.0,12.0,52.0,4.0,1.0,12.0,1.0,52.0,0.0,Temple
08/27/2016,"Hampton @ Philadelphia, Pa.",3-0,3.0,0,35.0,4.0,80.0,0.388,34.0,10.0,11.0,37.0,2.0,1.0,6.0,0.0,49.0,0.0,Hampton
09/02/2016,"Western Mich. @ Carbondale, Ill.",3-1,4.0,0,63.0,13.0,175.0,0.286,62.0,8.0,11.0,84.0,3.0,1.0,12.0,1.0,78.0,0.0,Western Mich.
09/03/2016,"UCF @ Carbondale, Ill.",1-3,4.0,0,46.0,14.0,151.0,0.212,45.0,6.0,7.0,71.0,6.0,1.0,20.0,0.0,63.0,6.0,UCF
09/03/2016,@ Southern Ill.,3-1,4.0,0,62.0,18.0,159.0,0.277,58.0,6.0,13.0,67.0,4.0,1.0,20.0,0.0,79.0,0.0,Southern Ill.
09/05/2016,@ UT Martin,3-1,4.0,0,61.0,14.0,156.0,0.301,58.0,9.0,14.0,63.0,5.0,1.0,20.0,4.0,81.0,2.0,UT Martin
09/05/2016,"Alabama A&M @ Martin, Tenn.",3-0,3.0,0,45.0,5.0,79.0,0.506,41.0,10.0,5.0,22.0,1.0,2.0,12.0,3.0,63.0,1.0,Alabama A&M
09/09/2016,Bethune-Cookman,3-0,3.0,0,36.0,6.0,94.0,0.319,35.0,12.0,8.0,61.0,1.0,1.0,12.0,1.0,55.0,0.0,Bethune-Cookman
09/10/2016,Bethune-Cookman,3-0,3.0,0,44.0,5.0,98.0,0.398,42.0,8.0,6.0,47.0,1.0,1.0,6.0,2.0,56.0,0.0,Bethune-Cookman
09/15/2016,@ CSU Bakersfield,2-3,5.0,0,56.0,16.0,154.0,0.26,54.0,2.0,11.0,73.0,11.0,2.0,20.0,2.0,70.0,0.0,CSU Bakersfield
09/16/2016,"UC Riverside @ Bakersfield, CA",3-2,5.0,0,54.0,22.0,173.0,0.185,52.0,11.0,13.0,83.0,7.0,4.0,20.0,3.0,79.0,0.0,UC Riverside
