date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2016,Portland,2-3,5.0,0,63.0,20.0,174.0,0.247,58.0,5.0,7.0,69.0,13.0,1.0,20.0,5.0,79.0,0.0,Portland
08/26/2016,@ Utah St.,3-2,5.0,0,64.0,24.0,172.0,0.233,62.0,4.0,6.0,64.0,7.0,2.0,20.0,2.0,80.0,2.0,Utah St.
08/27/2016,Seattle U,3-0,3.0,0,52.0,10.0,104.0,0.404,45.0,6.0,5.0,35.0,2.0,3.0,8.0,1.0,65.0,1.0,Seattle U
09/02/2016,"Syracuse @ Lincoln, Nebraska",3-0,3.0,0,38.0,10.0,102.0,0.275,35.0,8.0,8.0,39.0,3.0,0.0,8.0,2.0,50.0,2.0,Syracuse
09/03/2016,@ Nebraska,0-3,3.0,0,26.0,21.0,93.0,0.054,25.0,2.0,7.0,29.0,4.0,0.0,8.0,1.0,32.0,1.0,Nebraska
09/09/2016,"South Dakota @ Stockton, Calif.",1-3,4.0,0,54.0,21.0,166.0,0.199,51.0,3.0,12.0,77.0,2.0,2.0,16.0,4.0,67.0,7.0,South Dakota
09/10/2016,@ Pacific,2-3,5.0,0,63.0,28.0,178.0,0.197,57.0,4.0,8.0,79.0,4.0,4.0,18.0,3.0,80.0,1.0,Pacific
09/10/2016,"Northern Colo. @ Stockon, Calif",3-0,3.0,0,38.0,8.0,97.0,0.309,31.0,7.0,9.0,49.0,2.0,2.0,6.0,2.0,50.0,1.0,Northern Colo.
09/15/2016,Tennessee Tech @ Moscow Idaho,3-0,3.0,0,48.0,13.0,110.0,0.318,47.0,4.0,4.0,50.0,0.0,1.0,18.0,1.0,62.0,1.0,Tennessee Tech
09/16/2016,"Wyoming @ Moscow, Idaho",3-0,3.0,0,48.0,15.0,125.0,0.264,47.0,5.0,1.0,62.0,3.0,1.0,8.0,1.0,58.0,2.0,Wyoming
09/16/2016,@ Idaho,3-0,3.0,0,44.0,16.0,120.0,0.233,37.0,2.0,6.0,56.0,0.0,5.0,10.0,0.0,56.0,0.0,Idaho
09/22/2016,@ Oregon,0-3,3.0,0,36.0,16.0,123.0,0.163,33.0,0.0,5.0,49.0,1.0,2.0,8.0,0.0,42.0,1.0,Oregon
09/23/2016,Stanford,0-3,3.0,0,33.0,24.0,129.0,0.07,31.0,1.0,2.0,41.0,1.0,0.0,10.0,0.0,39.0,2.0,Stanford
09/30/2016,@ Arizona,0-3,3.0,0,28.0,25.0,120.0,0.025,27.0,1.0,1.0,56.0,4.0,0.0,17.0,4.0,37.5,3.0,Arizona
10/02/2016,@ Arizona St.,3-0,3.0,0,44.0,12.0,82.0,0.39,40.0,3.0,8.0,28.0,2.0,4.0,2.0,0.0,52.0,0.0,Arizona St.
10/07/2016,Washington St.,1-3,4.0,0,48.0,28.0,154.0,0.13,44.0,5.0,8.0,56.0,3.0,5.0,10.0,0.0,63.0,1.0,Washington St.
10/09/2016,Washington,1-3,4.0,0,49.0,20.0,155.0,0.187,42.0,3.0,1.0,61.0,7.0,2.0,14.0,4.0,61.0,2.0,Washington
10/14/2016,UCLA,0-3,3.0,0,38.0,19.0,130.0,0.146,35.0,3.0,6.0,56.0,1.0,0.0,12.0,0.0,47.0,0.0,UCLA
10/16/2016,Southern California,0-3,3.0,0,39.0,18.0,134.0,0.157,38.0,1.0,6.0,49.0,4.0,1.0,15.0,0.0,48.5,1.0,Southern California
10/21/2016,@ Colorado,1-3,4.0,0,53.0,21.0,166.0,0.193,49.0,6.0,5.0,76.0,3.0,1.0,18.0,2.0,69.0,1.0,Colorado
10/22/2016,@ Utah,2-3,5.0,0,62.0,23.0,163.0,0.239,57.0,7.0,7.0,57.0,8.0,0.0,18.0,2.0,78.0,3.0,Utah
10/28/2016,Arizona St.,1-3,4.0,0,53.0,29.0,147.0,0.163,52.0,2.0,8.0,71.0,2.0,2.0,8.0,0.0,61.0,2.0,Arizona St.
10/30/2016,Arizona,3-1,4.0,0,52.0,18.0,160.0,0.212,46.0,5.0,6.0,63.0,1.0,3.0,7.0,2.0,63.5,0.0,Arizona
11/04/2016,@ Washington St.,3-1,4.0,0,53.0,22.0,140.0,0.221,49.0,4.0,4.0,45.0,5.0,0.0,35.0,0.0,74.5,2.0,Washington St.
11/06/2016,@ Washington,1-3,4.0,0,49.0,18.0,142.0,0.218,47.0,2.0,10.0,55.0,7.0,2.0,8.0,1.0,57.0,4.0,Washington
11/10/2016,Utah,0-3,3.0,0,43.0,15.0,103.0,0.272,41.0,3.0,8.0,36.0,8.0,1.0,14.0,1.0,54.0,0.0,Utah
11/12/2016,Colorado,3-2,5.0,0,69.0,22.0,181.0,0.26,66.0,6.0,11.0,72.0,3.0,2.0,16.0,3.0,85.0,3.0,Colorado
11/16/2016,@ UCLA,0-3,3.0,0,24.0,19.0,120.0,0.042,22.0,2.0,2.0,49.0,9.0,0.0,20.0,3.0,36.0,0.0,UCLA
11/18/2016,@ Southern California,2-3,5.0,0,54.0,31.0,206.0,0.112,46.0,4.0,9.0,75.0,6.0,2.0,30.0,2.0,75.0,2.0,Southern California
11/23/2016,@ California,3-2,5.0,0,63.0,20.0,192.0,0.224,58.0,8.0,10.0,79.0,1.0,4.0,20.0,1.0,85.0,1.0,California
11/25/2016,Oregon,1-3,4.0,0,40.0,21.0,129.0,0.147,37.0,2.0,7.0,51.0,6.0,5.0,8.0,3.0,51.0,2.0,Oregon
