date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2016,Montana,3-0,3.0,0,41.0,10.0,91.0,0.341,39.0,8.0,9.0,54.0,2.0,1.0,8.0,2.0,54.0,1.0,Montana
08/26/2016,UTSA,1-3,4.0,0,50.0,19.0,154.0,0.201,50.0,4.0,10.0,76.0,6.0,0.0,12.0,2.0,60.0,1.0,UTSA
08/27/2016,Little Rock,3-0,3.0,0,45.0,30.0,118.0,0.127,44.0,3.0,13.0,40.0,0.0,1.0,6.0,0.0,52.0,1.0,Little Rock
09/02/2016,@ Arizona,0-3,3.0,0,27.0,12.0,122.0,0.123,27.0,1.0,8.0,64.0,7.0,1.0,12.0,0.0,35.0,2.0,Arizona
09/02/2016,"Pepperdine @ Tucson, Ariz.",1-3,4.0,0,41.0,34.0,163.0,0.043,36.0,3.0,7.0,66.0,5.0,2.0,14.0,0.0,53.0,1.0,Pepperdine
09/03/2016,"Alabama St. @ Tucson, Ariz.",3-0,3.0,0,42.0,11.0,95.0,0.326,41.0,8.0,7.0,48.0,1.0,0.0,10.0,0.0,55.0,1.0,Alabama St.
09/09/2016,"Delaware @ Raleigh, N.C.",3-0,3.0,0,34.0,14.0,104.0,0.192,31.0,3.0,4.0,54.0,2.0,3.0,16.0,0.0,48.0,1.0,Delaware
09/10/2016,@ NC State,2-3,5.0,0,52.0,22.0,155.0,0.194,49.0,2.0,5.0,54.0,1.0,1.0,14.0,0.0,62.0,2.0,NC State
09/10/2016,"High Point @ Raleigh, N.C.",3-0,3.0,0,45.0,13.0,115.0,0.278,44.0,1.0,4.0,66.0,2.0,1.0,22.0,0.0,58.0,1.0,High Point
09/16/2016,@ TCU,3-1,4.0,0,54.0,27.0,151.0,0.179,52.0,8.0,3.0,70.0,7.0,0.0,6.0,1.0,65.0,1.0,TCU
09/16/2016,"Sam Houston @ Fort Worth, Texas",3-0,3.0,0,44.0,18.0,105.0,0.248,42.0,1.0,5.0,58.0,6.0,1.0,14.0,1.0,53.0,0.0,Sam Houston
09/17/2016,"North Carolina @ Fort Worth, Texas",0-3,3.0,0,39.0,19.0,98.0,0.204,36.0,3.0,5.0,35.0,5.0,2.0,4.0,0.0,46.0,0.0,North Carolina
09/22/2016,East Carolina,3-1,4.0,0,59.0,34.0,181.0,0.138,56.0,6.0,5.0,90.0,1.0,2.0,16.0,1.0,75.0,0.0,East Carolina
09/24/2016,Cincinnati,3-2,5.0,0,66.0,23.0,161.0,0.267,62.0,2.0,7.0,60.0,4.0,0.0,18.0,1.0,77.0,2.0,Cincinnati
09/30/2016,@ Tulane,3-2,5.0,0,61.0,23.0,179.0,0.212,52.0,6.0,5.0,82.0,8.0,3.0,14.0,1.0,77.0,0.0,Tulane
10/02/2016,@ Houston,3-0,3.0,0,43.0,8.0,95.0,0.368,41.0,6.0,4.0,44.0,1.0,0.0,14.0,1.0,56.0,0.0,Houston
10/07/2016,UConn,3-1,4.0,0,60.0,6.0,137.0,0.394,58.0,4.0,7.0,66.0,3.0,2.0,14.0,2.0,73.0,0.0,UConn
10/09/2016,Temple,2-3,5.0,0,58.0,29.0,188.0,0.154,53.0,5.0,11.0,82.0,4.0,2.0,18.0,5.0,74.0,1.0,Temple
10/12/2016,Tulsa,3-1,4.0,0,53.0,15.0,155.0,0.245,49.0,5.0,8.0,79.0,3.0,0.0,22.0,2.0,69.0,1.0,Tulsa
10/14/2016,@ Memphis,3-0,3.0,0,43.0,26.0,149.0,0.114,39.0,4.0,6.0,69.0,2.0,2.0,16.0,0.0,57.0,3.0,Memphis
10/21/2016,@ South Fla.,3-1,4.0,0,56.0,23.0,150.0,0.22,53.0,7.0,6.0,69.0,5.0,0.0,14.0,1.0,70.0,1.0,South Fla.
10/23/2016,@ UCF,3-0,3.0,0,45.0,11.0,122.0,0.279,43.0,3.0,1.0,56.0,2.0,1.0,12.0,1.0,55.0,3.0,UCF
10/28/2016,Houston,3-0,3.0,0,37.0,8.0,81.0,0.358,32.0,7.0,5.0,32.0,1.0,0.0,24.0,0.0,56.0,0.0,Houston
10/30/2016,Tulane,3-2,5.0,0,63.0,25.0,214.0,0.178,56.0,3.0,6.0,102.0,3.0,1.0,30.0,5.0,82.0,0.0,Tulane
11/04/2016,@ Cincinnati,0-3,3.0,0,31.0,18.0,92.0,0.141,30.0,4.0,9.0,33.0,2.0,0.0,12.0,0.0,41.0,0.0,Cincinnati
11/06/2016,@ East Carolina,3-0,3.0,0,48.0,10.0,97.0,0.392,46.0,6.0,5.0,44.0,3.0,0.0,6.0,0.0,57.0,2.0,East Carolina
11/10/2016,UCF,3-0,3.0,0,49.0,13.0,121.0,0.298,46.0,1.0,6.0,55.0,1.0,1.0,14.0,1.0,58.0,0.0,UCF
11/12/2016,South Fla.,3-0,3.0,0,47.0,13.0,126.0,0.27,46.0,5.0,4.0,59.0,3.0,4.0,14.0,0.0,63.0,0.0,South Fla.
11/16/2016,@ Tulsa,3-0,3.0,0,45.0,13.0,120.0,0.267,40.0,2.0,5.0,62.0,2.0,0.0,4.0,3.0,49.0,1.0,Tulsa
11/20/2016,Memphis,3-0,3.0,0,40.0,12.0,106.0,0.264,36.0,4.0,4.0,49.0,4.0,1.0,17.0,2.0,53.5,1.0,Memphis
11/23/2016,@ Temple,3-1,4.0,0,64.0,15.0,143.0,0.343,57.0,6.0,7.0,50.0,4.0,1.0,16.0,0.0,79.0,3.0,Temple
11/25/2016,@ UConn,3-1,4.0,0,55.0,9.0,135.0,0.341,53.0,5.0,3.0,71.0,5.0,1.0,8.0,0.0,65.0,0.0,UConn
12/02/2016,"Texas A&M @ Austin, Texas",3-0,3.0,0,46.0,13.0,133.0,0.248,40.0,1.0,4.0,51.0,0.0,1.0,18.0,3.0,57.0,0.0,Texas A&M
12/03/2016,@ Texas,0-3,3.0,0,35.0,18.0,118.0,0.144,33.0,1.0,3.0,42.0,1.0,0.0,4.0,4.0,38.0,0.0,Texas
