date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2016,@ Michigan,0-3,3.0,0,30.0,19.0,93.0,0.118,28.0,0.0,7.0,28.0,8.0,0.0,6.0,0.0,33.0,1.0,Michigan
08/27/2016,"Miami (OH) @ Ann Arbor, Mich.",2-3,5.0,0,71.0,27.0,186.0,0.237,64.0,4.0,14.0,72.0,7.0,0.0,10.0,2.0,80.0,0.0,Miami 
08/27/2016,"UNI @ Ann Arbor, Mich.",0-3,3.0,0,30.0,20.0,110.0,0.091,27.0,1.0,7.0,40.0,3.0,1.0,4.0,2.0,34.0,0.0,UNI
08/31/2016,@ Illinois St.,3-0,3.0,0,48.0,10.0,117.0,0.325,43.0,4.0,8.0,49.0,2.0,1.0,10.0,1.0,58.0,0.0,Illinois St.
09/02/2016,Arkansas St.,1-3,4.0,0,38.0,25.0,108.0,0.12,38.0,7.0,8.0,41.0,3.0,1.0,10.0,5.0,51.0,0.0,Arkansas St.
09/03/2016,Western Ky.,0-3,3.0,0,19.0,14.0,74.0,0.068,17.0,0.0,2.0,23.0,8.0,0.0,4.0,4.0,21.0,2.0,Western Ky.
09/03/2016,Cal Poly,1-3,4.0,0,41.0,22.0,119.0,0.16,39.0,7.0,6.0,34.0,13.0,0.0,14.0,5.0,55.0,0.0,Cal Poly
09/09/2016,"Marquette @ Lexington, Ky.",0-3,3.0,0,36.0,18.0,118.0,0.153,30.0,3.0,8.0,43.0,3.0,0.0,4.0,1.0,41.0,2.0,Marquette
09/09/2016,"Virginia @ Lexington, Ky.",3-2,5.0,0,63.0,22.0,157.0,0.261,61.0,6.0,10.0,68.0,3.0,2.0,14.0,3.0,78.0,1.0,Virginia
09/10/2016,@ Kentucky,0-3,3.0,0,33.0,25.0,101.0,0.079,32.0,1.0,6.0,35.0,5.0,1.0,2.0,0.0,36.0,1.0,Kentucky
09/13/2016,@ Austin Peay,3-2,5.0,0,67.0,22.0,173.0,0.26,62.0,8.0,9.0,61.0,10.0,6.0,6.0,4.0,84.0,0.0,Austin Peay
09/16/2016,Murray St.,2-3,5.0,0,69.0,25.0,171.0,0.257,64.0,4.0,7.0,67.0,8.0,0.0,18.0,1.0,82.0,1.0,Murray St.
09/17/2016,Omaha,3-0,3.0,0,32.0,12.0,83.0,0.241,29.0,9.0,5.0,39.0,3.0,1.0,4.0,1.0,44.0,1.0,Omaha
