date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/26/2016,@ Baylor,3-1,4.0,0,57.0,18.0,173.0,0.225,52.0,5.0,6.0,76.0,3.0,0.0,16.0,0.0,70.0,0.0,Baylor
08/27/2016,Prairie View @ Ferrell Center,3-0,3.0,0,39.0,7.0,88.0,0.364,35.0,7.0,6.0,46.0,1.0,1.0,4.0,0.0,49.0,0.0,Prairie View
08/27/2016,"A&M-Corpus Christi @ Waco, TX",2-3,5.0,0,58.0,23.0,194.0,0.18,54.0,8.0,8.0,87.0,4.0,0.0,18.0,0.0,75.0,0.0,A&M-Corpus Christi
09/02/2016,@ Tulane,3-1,4.0,0,52.0,26.0,167.0,0.156,49.0,6.0,5.0,82.0,3.0,4.0,10.0,1.0,67.0,0.0,Tulane
09/03/2016,"Sam Houston @ New Orleans, La.",2-3,5.0,0,51.0,26.0,156.0,0.16,51.0,1.0,11.0,80.0,6.0,0.0,20.0,3.0,62.0,0.0,Sam Houston
09/03/2016,"Bethune-Cookman @ New Orleans, La.",3-0,3.0,0,41.0,13.0,103.0,0.272,40.0,2.0,10.0,60.0,1.0,5.0,24.0,0.0,60.0,0.0,Bethune-Cookman
09/06/2016,@ A&M-Corpus Christi,1-3,4.0,0,50.0,27.0,157.0,0.146,47.0,2.0,5.0,70.0,3.0,4.0,14.0,0.0,63.0,2.0,A&M-Corpus Christi
09/09/2016,"Abilene Christian @ Lubbock, TX",3-0,3.0,0,44.0,15.0,115.0,0.252,44.0,0.0,2.0,58.0,0.0,1.0,22.0,1.0,56.0,3.0,Abilene Christian
09/10/2016,"SFA @ Lubbock, TX",3-0,3.0,0,53.0,18.0,120.0,0.292,49.0,1.0,7.0,57.0,1.0,1.0,18.0,0.0,64.0,1.0,SFA
09/10/2016,@ Texas Tech,0-3,3.0,0,50.0,16.0,130.0,0.262,47.0,1.0,7.0,57.0,5.0,0.0,10.0,1.0,56.0,0.0,Texas Tech
09/16/2016,"Abilene Christian @ Boca Raton, FL",3-2,5.0,0,63.0,30.0,165.0,0.2,57.0,10.0,7.0,72.0,8.0,1.0,14.0,2.0,81.0,0.0,Abilene Christian
09/17/2016,"FGCU @ Boca Raton, Fla.",0-3,3.0,0,38.0,19.0,118.0,0.161,36.0,3.0,2.0,50.0,4.0,0.0,9.0,1.0,45.5,2.0,FGCU
09/17/2016,@ Fla. Atlantic,3-2,5.0,0,57.0,26.0,169.0,0.183,51.0,7.0,4.0,57.0,8.0,0.0,20.0,1.0,74.0,6.0,Fla. Atlantic
09/20/2016,Prairie View,3-0,3.0,0,40.0,12.0,94.0,0.298,40.0,4.0,9.0,42.0,1.0,0.0,19.0,0.0,53.5,0.0,Prairie View
09/22/2016,Utah Valley,3-1,4.0,0,56.0,24.0,178.0,0.18,54.0,9.0,2.0,84.0,2.0,2.0,20.0,2.0,77.0,3.0,Utah Valley
09/24/2016,Seattle U,3-1,4.0,0,61.0,15.0,151.0,0.305,58.0,5.0,9.0,74.0,6.0,3.0,21.0,1.0,79.5,3.0,Seattle U
09/29/2016,@ Grand Canyon,3-1,4.0,0,59.0,15.0,134.0,0.328,56.0,6.0,12.0,59.0,7.0,0.0,18.0,0.0,74.0,0.0,Grand Canyon
10/01/2016,@ CSU Bakersfield,1-3,4.0,0,41.0,19.0,120.0,0.183,41.0,8.0,12.0,48.0,5.0,2.0,28.0,0.0,65.0,0.0,CSU Bakersfield
10/08/2016,@ New Mexico St.,0-3,3.0,0,38.0,23.0,103.0,0.146,37.0,2.0,5.0,43.0,4.0,2.0,14.0,0.0,49.0,1.0,New Mexico St.
10/11/2016,A&M-Corpus Christi,3-2,5.0,0,63.0,22.0,185.0,0.222,60.0,6.0,6.0,85.0,2.0,2.0,16.0,1.0,79.0,1.0,A&M-Corpus Christi
10/13/2016,Chicago St.,3-0,3.0,0,46.0,12.0,109.0,0.312,45.0,6.0,8.0,53.0,1.0,0.0,14.0,0.0,59.0,0.0,Chicago St.
10/15/2016,Kansas City,3-0,3.0,0,45.0,12.0,102.0,0.324,39.0,8.0,9.0,44.0,2.0,3.0,4.0,0.0,58.0,3.0,Kansas City
10/20/2016,@ Seattle U,2-3,5.0,0,49.0,29.0,150.0,0.133,46.0,5.0,10.0,69.0,8.0,0.0,30.0,4.0,69.0,3.0,Seattle U
10/22/2016,@ Utah Valley,2-3,5.0,0,68.0,17.0,161.0,0.317,65.0,2.0,14.0,72.0,5.0,1.0,20.0,1.0,81.0,2.0,Utah Valley
10/25/2016,@ UIW,3-2,5.0,0,57.0,20.0,151.0,0.245,53.0,9.0,18.0,63.0,5.0,3.0,14.0,1.0,76.0,2.0,UIW
10/27/2016,CSU Bakersfield,1-3,4.0,0,47.0,16.0,149.0,0.208,37.0,4.0,12.0,63.0,10.0,3.0,28.0,3.0,68.0,0.0,CSU Bakersfield
10/29/2016,Grand Canyon,3-0,3.0,0,46.0,14.0,110.0,0.291,45.0,8.0,6.0,53.0,4.0,0.0,14.0,1.0,61.0,2.0,Grand Canyon
