date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/27/2016,@ James Madison,3-0,3.0,0,43.0,15.0,120.0,0.233,37.0,6.0,6.0,54.0,5.0,1.0,14.0,1.0,57.0,1.0,James Madison,3,14.333333333333334,5.0,40.0,12.333333333333334,2.0,2.0,18.0,0.3333333333333333,4.666666666666667,0.3333333333333333,19.0
08/28/2016,@ American,3-2,5.0,0,69.0,28.0,166.0,0.247,61.0,4.0,14.0,82.0,6.0,0.0,12.0,3.0,79.0,2.0,American,5,13.8,5.6,33.2,12.2,0.8,2.8,16.4,0.0,2.4,0.6,15.8
09/01/2016,@ Seattle U,3-0,3.0,0,45.0,13.0,99.0,0.323,39.0,7.0,8.0,41.0,2.0,0.0,14.0,1.0,59.0,0.0,Seattle U,3,15.0,4.333333333333333,33.0,13.0,2.3333333333333335,2.6666666666666665,13.666666666666666,0.0,4.666666666666667,0.3333333333333333,19.666666666666668
09/02/2016,Villanova,3-0,3.0,0,45.0,10.0,89.0,0.393,43.0,3.0,10.0,40.0,4.0,3.0,12.0,3.0,57.0,1.0,Villanova,3,15.0,3.3333333333333335,29.666666666666668,14.333333333333334,1.0,3.3333333333333335,13.333333333333334,1.0,4.0,1.0,19.0
09/02/2016,Idaho,3-1,4.0,0,54.0,21.0,145.0,0.228,52.0,7.0,8.0,62.0,3.0,4.0,14.0,5.0,72.0,1.0,Idaho,4,13.5,5.25,36.25,13.0,1.75,2.0,15.5,1.0,3.5,1.25,18.0
09/09/2016,"Utah Valley @ Honolulu, HI",3-0,3.0,0,44.0,11.0,98.0,0.337,37.0,5.0,6.0,45.0,2.0,0.0,26.0,1.0,62.0,0.0,Utah Valley,3,14.666666666666666,3.6666666666666665,32.666666666666664,12.333333333333334,1.6666666666666667,2.0,15.0,0.0,8.666666666666666,0.3333333333333333,20.666666666666668
09/10/2016,"NIU @ Honolulu, HI",3-0,3.0,0,49.0,16.0,102.0,0.324,47.0,4.0,6.0,48.0,1.0,2.0,14.0,6.0,62.0,0.0,NIU,3,16.333333333333332,5.333333333333333,34.0,15.666666666666666,1.3333333333333333,2.0,16.0,0.6666666666666666,4.666666666666667,2.0,20.666666666666668
09/11/2016,@ Hawaii,3-2,5.0,0,70.0,24.0,180.0,0.256,62.0,8.0,8.0,75.0,5.0,3.0,16.0,7.0,89.0,2.0,Hawaii,5,14.0,4.8,36.0,12.4,1.6,1.6,15.0,0.6,3.2,1.4,17.8
09/15/2016,"Maryland @ Los Angeles, Calif.",3-0,3.0,0,37.0,15.0,93.0,0.237,34.0,2.0,10.0,35.0,0.0,4.0,20.0,2.0,53.0,0.0,Maryland,3,12.333333333333334,5.0,31.0,11.333333333333334,0.6666666666666666,3.3333333333333335,11.666666666666666,1.3333333333333333,6.666666666666667,0.6666666666666666,17.666666666666668
09/16/2016,"Oklahoma @ Los Angeles, Calif.",3-1,4.0,0,61.0,17.0,142.0,0.31,55.0,9.0,6.0,51.0,2.0,0.0,28.0,3.0,84.0,0.0,Oklahoma,4,15.25,4.25,35.5,13.75,2.25,1.5,12.75,0.0,7.0,0.75,21.0
09/21/2016,Washington St.,1-3,4.0,0,56.0,26.0,166.0,0.181,51.0,2.0,4.0,66.0,5.0,1.0,29.0,2.0,73.5,0.0,Washington St.,4,14.0,6.5,41.5,12.75,0.5,1.0,16.5,0.25,7.25,0.5,18.375
09/23/2016,@ Southern California,3-0,3.0,0,48.0,14.0,100.0,0.34,45.0,7.0,9.0,39.0,0.0,1.0,21.0,1.0,66.5,2.0,Southern California,3,16.0,4.666666666666667,33.333333333333336,15.0,2.3333333333333335,3.0,13.0,0.3333333333333333,7.0,0.3333333333333333,22.166666666666668
09/28/2016,Stanford,2-3,5.0,0,60.0,22.0,190.0,0.2,56.0,9.0,8.0,79.0,4.0,1.0,24.0,4.0,82.0,4.0,Stanford,5,12.0,4.4,38.0,11.2,1.8,1.6,15.8,0.2,4.8,0.8,16.4
09/29/2016,California,3-1,4.0,0,62.0,17.0,137.0,0.328,59.0,6.0,3.0,59.0,5.0,0.0,14.0,4.0,75.0,1.0,California,4,15.5,4.25,34.25,14.75,1.5,0.75,14.75,0.0,3.5,1.0,18.75
10/07/2016,@ Oregon,3-0,3.0,0,44.0,13.0,135.0,0.23,37.0,5.0,7.0,59.0,1.0,1.0,12.0,3.0,56.0,0.0,Oregon,3,14.666666666666666,4.333333333333333,45.0,12.333333333333334,1.6666666666666667,2.3333333333333335,19.666666666666668,0.3333333333333333,4.0,1.0,18.666666666666668
10/09/2016,@ Oregon St.,3-1,4.0,0,64.0,22.0,153.0,0.275,59.0,7.0,8.0,71.0,3.0,1.0,22.0,4.0,83.0,2.0,Oregon St.,4,16.0,5.5,38.25,14.75,1.75,2.0,17.75,0.25,5.5,1.0,20.75
10/14/2016,Utah,3-0,3.0,0,37.0,9.0,95.0,0.295,33.0,9.0,4.0,42.0,1.0,1.0,10.0,4.0,52.0,0.0,Utah,3,12.333333333333334,3.0,31.666666666666668,11.0,3.0,1.3333333333333333,14.0,0.3333333333333333,3.3333333333333335,1.3333333333333333,17.333333333333332
10/16/2016,Colorado,3-0,3.0,0,44.0,6.0,104.0,0.365,43.0,3.0,5.0,46.0,2.0,3.0,22.0,4.0,61.0,0.0,Colorado,3,14.666666666666666,2.0,34.666666666666664,14.333333333333334,1.0,1.6666666666666667,15.333333333333334,1.0,7.333333333333333,1.3333333333333333,20.333333333333332
10/21/2016,@ Arizona St.,3-0,3.0,0,42.0,12.0,99.0,0.303,37.0,2.0,8.0,46.0,0.0,3.0,12.0,1.0,53.0,1.0,Arizona St.,3,14.0,4.0,33.0,12.333333333333334,0.6666666666666666,2.6666666666666665,15.333333333333334,1.0,4.0,0.3333333333333333,17.666666666666668
10/23/2016,@ Arizona,3-1,4.0,0,60.0,19.0,161.0,0.255,57.0,5.0,7.0,61.0,4.0,3.0,28.0,1.0,82.0,2.0,Arizona,4,15.0,4.75,40.25,14.25,1.25,1.75,15.25,0.75,7.0,0.25,20.5
