date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/25/2017,Marshall,3-1,4.0,0,63.0,24.0,162.0,0.241,59.0,12.0,9.0,69.0,2.0,3.0,6.0,1.0,81.0,2.0,Marshall
08/25/2017,Kansas City,3-0,3.0,0,41.0,19.0,112.0,0.196,40.0,4.0,4.0,44.0,4.0,1.0,6.0,2.0,49.0,0.0,Kansas City
08/26/2017,Missouri,3-2,5.0,0,64.0,25.0,169.0,0.231,61.0,14.0,7.0,66.0,4.0,4.0,10.0,1.0,87.0,1.0,Missouri
08/27/2017,UNI,1-3,4.0,0,52.0,25.0,169.0,0.16,50.0,1.0,6.0,75.0,9.0,1.0,8.0,4.0,58.0,0.0,UNI
09/01/2017,"Georgia St. @ Birmingham, Ala.",3-2,5.0,0,62.0,34.0,203.0,0.138,60.0,6.0,3.0,101.0,6.0,6.0,14.0,2.0,81.0,0.0,Georgia St.
09/01/2017,@ UAB,3-1,4.0,0,69.0,26.0,156.0,0.276,65.0,4.0,10.0,77.0,5.0,3.0,8.0,1.0,80.0,0.0,UAB
09/02/2017,"Western Ill. @ Birmingham, Ala.",3-0,3.0,0,51.0,10.0,106.0,0.387,50.0,3.0,3.0,55.0,1.0,3.0,6.0,2.0,60.0,3.0,Western Ill.
09/07/2017,@ Ole Miss,0-3,3.0,0,30.0,17.0,104.0,0.125,28.0,3.0,7.0,47.0,4.0,2.0,18.0,1.0,44.0,0.0,Ole Miss
09/08/2017,"Northwestern St. @ Oxford, MS",3-2,5.0,0,57.0,24.0,154.0,0.214,53.0,4.0,7.0,71.0,7.0,5.0,4.0,0.0,68.0,5.0,Northwestern St.
09/08/2017,"Mercer @ Oxford, MS",3-1,4.0,0,54.0,21.0,154.0,0.214,50.0,5.0,7.0,80.0,2.0,3.0,8.0,0.0,66.0,5.0,Mercer
09/15/2017,"South Fla. @ Jacksonville, Fla.",3-1,4.0,0,63.0,27.0,189.0,0.19,58.0,3.0,8.0,93.0,3.0,2.0,8.0,2.0,72.0,1.0,South Fla.
09/16/2017,"Presbyterian @ Jacksonville, Fla.",3-0,3.0,0,47.0,15.0,111.0,0.288,43.0,2.0,3.0,61.0,2.0,3.0,12.0,1.0,58.0,0.0,Presbyterian
09/16/2017,"Jacksonville @ Jacksonville, Fla.",3-1,4.0,0,63.0,23.0,164.0,0.244,61.0,9.0,7.0,70.0,1.0,1.0,4.0,1.0,75.0,0.0,Jacksonville
09/22/2017,SIUE,3-2,5.0,0,64.0,26.0,207.0,0.184,59.0,9.0,9.0,84.0,2.0,5.0,10.0,1.0,83.0,0.0,SIUE
09/23/2017,Eastern Ill.,3-1,4.0,0,66.0,24.0,183.0,0.23,62.0,3.0,4.0,89.0,6.0,3.0,10.0,3.0,77.0,0.0,Eastern Ill.
09/27/2017,@ Alabama A&M,3-0,3.0,0,40.0,13.0,90.0,0.3,36.0,10.0,4.0,29.0,4.0,1.0,8.0,0.0,55.0,0.0,Alabama A&M
09/29/2017,@ Southeast Mo. St.,3-0,3.0,0,48.0,22.0,130.0,0.2,42.0,6.0,5.0,52.0,0.0,2.0,2.0,0.0,57.0,1.0,Southeast Mo. St.
09/30/2017,@ UT Martin,3-0,3.0,0,42.0,15.0,99.0,0.273,39.0,6.0,7.0,45.0,0.0,4.0,12.0,6.0,58.0,2.0,UT Martin
10/03/2017,@ Murray St.,3-0,3.0,0,40.0,15.0,99.0,0.253,38.0,5.0,5.0,48.0,5.0,1.0,16.0,1.0,54.0,0.0,Murray St.
10/07/2017,Eastern Ky.,1-3,4.0,0,49.0,24.0,141.0,0.177,48.0,2.0,8.0,54.0,6.0,2.0,8.0,5.0,57.0,1.0,Eastern Ky.
10/10/2017,@ Western Ky.,0-3,3.0,0,34.0,17.0,85.0,0.2,31.0,2.0,7.0,20.0,5.0,0.0,4.0,0.0,38.0,1.0,Western Ky.
10/13/2017,@ Tennessee Tech,3-0,3.0,0,41.0,16.0,118.0,0.212,35.0,3.0,6.0,56.0,2.0,0.0,12.0,0.0,50.0,0.0,Tennessee Tech
10/15/2017,@ Jacksonville St.,3-0,3.0,0,46.0,15.0,110.0,0.282,45.0,6.0,5.0,44.0,1.0,2.0,8.0,3.0,58.0,0.0,Jacksonville St.
10/19/2017,Belmont,3-1,4.0,0,40.0,19.0,122.0,0.172,38.0,7.0,3.0,51.0,6.0,4.0,16.0,2.0,59.0,2.0,Belmont
10/20/2017,Tennessee St.,3-1,4.0,0,58.0,19.0,146.0,0.267,52.0,10.0,3.0,70.0,7.0,3.0,4.0,2.0,73.0,1.0,Tennessee St.
10/27/2017,@ Eastern Ill.,3-0,3.0,0,41.0,14.0,100.0,0.27,39.0,5.0,3.0,54.0,2.0,3.0,6.0,1.0,52.0,1.0,Eastern Ill.
10/28/2017,@ SIUE,3-2,5.0,0,67.0,16.0,173.0,0.295,64.0,8.0,12.0,79.0,3.0,2.0,8.0,1.0,81.0,5.0,SIUE
11/01/2017,@ Middle Tenn.,3-0,3.0,0,36.0,13.0,86.0,0.267,34.0,11.0,5.0,35.0,1.0,1.0,14.0,0.0,55.0,1.0,Middle Tenn.
11/03/2017,UT Martin,3-0,3.0,0,44.0,8.0,107.0,0.336,42.0,2.0,5.0,49.0,1.0,5.0,6.0,1.0,54.0,1.0,UT Martin
11/04/2017,Southeast Mo. St.,3-0,3.0,0,49.0,16.0,118.0,0.28,47.0,9.0,1.0,61.0,1.0,2.0,2.0,1.0,61.0,0.0,Southeast Mo. St.
11/08/2017,Murray St.,1-3,4.0,0,61.0,21.0,196.0,0.204,60.0,1.0,6.0,108.0,3.0,4.0,6.0,1.0,69.0,0.0,Murray St.
11/11/2017,@ Morehead St.,3-0,3.0,0,49.0,13.0,99.0,0.364,49.0,4.0,4.0,49.0,8.0,2.0,4.0,1.0,57.0,0.0,Morehead St.
