date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/25/2017,@ Indiana,0-3,3.0,0,25.0,15.0,83.0,0.12,23.0,3.0,6.0,29.0,9.0,3.0,2.0,2.0,32.0,0.0,Indiana,3,8.333333333333334,5.0,27.666666666666668,7.666666666666667,1.0,2.0,9.666666666666666,1.0,0.6666666666666666,0.6666666666666666,10.666666666666666
08/26/2017,"DePaul @ Bloomington, Ind.",3-1,4.0,0,49.0,16.0,124.0,0.266,42.0,8.0,7.0,50.0,9.0,1.0,8.0,1.0,62.0,4.0,DePaul,4,12.25,4.0,31.0,10.5,2.0,1.75,12.5,0.25,2.0,0.25,15.5
08/26/2017,"Indiana St. @ Bloomington, Ind.",3-0,3.0,0,50.0,15.0,111.0,0.315,46.0,4.0,7.0,48.0,6.0,6.0,4.0,3.0,62.0,0.0,Indiana St.,3,16.666666666666668,5.0,37.0,15.333333333333334,1.3333333333333333,2.3333333333333335,16.0,2.0,1.3333333333333333,1.0,20.666666666666668
09/01/2017,Bradley,3-1,4.0,0,57.0,23.0,159.0,0.214,55.0,6.0,8.0,78.0,3.0,7.0,20.0,1.0,80.0,0.0,Bradley,4,14.25,5.75,39.75,13.75,1.5,2.0,19.5,1.75,5.0,0.25,20.0
09/01/2017,Navy,3-0,3.0,0,49.0,9.0,117.0,0.342,44.0,6.0,7.0,52.0,3.0,1.0,4.0,2.0,58.0,0.0,Navy,3,16.333333333333332,3.0,39.0,14.666666666666666,2.0,2.3333333333333335,17.333333333333332,0.3333333333333333,1.3333333333333333,0.6666666666666666,19.333333333333332
09/02/2017,Purdue Fort Wayne,3-0,3.0,0,38.0,17.0,116.0,0.181,35.0,2.0,6.0,50.0,3.0,4.0,6.0,1.0,47.0,1.0,Purdue Fort Wayne,3,12.666666666666666,5.666666666666667,38.666666666666664,11.666666666666666,0.6666666666666666,2.0,16.666666666666668,1.3333333333333333,2.0,0.3333333333333333,15.666666666666666
09/05/2017,@ IUPUI,2-3,5.0,0,62.0,31.0,164.0,0.189,61.0,5.0,11.0,75.0,9.0,2.0,14.0,6.0,76.0,0.0,IUPUI,5,12.4,6.2,32.8,12.2,1.0,2.2,15.0,0.4,2.8,1.2,15.2
09/08/2017,@ Colorado St.,1-3,4.0,0,57.0,22.0,133.0,0.263,55.0,3.0,6.0,59.0,6.0,3.0,10.0,2.0,68.0,5.0,Colorado St.,4,14.25,5.5,33.25,13.75,0.75,1.5,14.75,0.75,2.5,0.5,17.0
09/08/2017,"Idaho St. @ Fort Collins, Colo.",3-1,4.0,0,48.0,24.0,140.0,0.171,47.0,9.0,6.0,63.0,7.0,4.0,20.0,2.0,71.0,0.0,Idaho St.,4,12.0,6.0,35.0,11.75,2.25,1.5,15.75,1.0,5.0,0.5,17.75
09/10/2017,"Michigan @ Fort Collins, CO",1-3,4.0,0,39.0,16.0,126.0,0.183,36.0,2.0,5.0,47.0,7.0,2.0,12.0,1.0,49.0,3.0,Michigan,4,9.75,4.0,31.5,9.0,0.5,1.25,11.75,0.5,3.0,0.25,12.25
09/14/2017,Evansville,3-0,3.0,0,44.0,12.0,106.0,0.302,39.0,7.0,5.0,49.0,2.0,3.0,6.0,1.0,57.0,0.0,Evansville,3,14.666666666666666,4.0,35.333333333333336,13.0,2.3333333333333335,1.6666666666666667,16.333333333333332,1.0,2.0,0.3333333333333333,19.0
09/15/2017,Duquesne,3-2,5.0,0,64.0,18.0,166.0,0.277,62.0,7.0,8.0,62.0,8.0,3.0,22.0,3.0,85.0,2.0,Duquesne,5,12.8,3.6,33.2,12.4,1.4,1.6,12.4,0.6,4.4,0.6,17.0
09/16/2017,@ Butler,2-3,5.0,0,49.0,28.0,155.0,0.135,44.0,2.0,10.0,55.0,5.0,1.0,6.0,0.0,55.0,1.0,Butler,5,9.8,5.6,31.0,8.8,0.4,2.0,11.0,0.2,1.2,0.0,11.0
09/22/2017,@ Eastern Mich.,3-1,4.0,0,63.0,28.0,183.0,0.191,60.0,6.0,5.0,89.0,3.0,2.0,12.0,4.0,77.0,1.0,Eastern Mich.,4,15.75,7.0,45.75,15.0,1.5,1.25,22.25,0.5,3.0,1.0,19.25
09/23/2017,@ Central Mich.,3-0,3.0,0,47.0,12.0,116.0,0.302,42.0,6.0,7.0,58.0,3.0,4.0,10.0,2.0,62.0,1.0,Central Mich.,3,15.666666666666666,4.0,38.666666666666664,14.0,2.0,2.3333333333333335,19.333333333333332,1.3333333333333333,3.3333333333333335,0.6666666666666666,20.666666666666668
09/28/2017,@ Toledo,0-3,3.0,0,38.0,28.0,135.0,0.074,38.0,2.0,2.0,56.0,3.0,0.0,8.0,1.0,44.0,1.0,Toledo,3,12.666666666666666,9.333333333333334,45.0,12.666666666666666,0.6666666666666666,0.6666666666666666,18.666666666666668,0.0,2.6666666666666665,0.3333333333333333,14.666666666666666
09/30/2017,Buffalo,3-0,3.0,0,45.0,7.0,96.0,0.396,42.0,7.0,5.0,46.0,6.0,0.0,8.0,1.0,56.0,1.0,Buffalo,3,15.0,2.3333333333333335,32.0,14.0,2.3333333333333335,1.6666666666666667,15.333333333333334,0.0,2.6666666666666665,0.3333333333333333,18.666666666666668
10/06/2017,Western Mich.,3-1,4.0,0,43.0,29.0,124.0,0.113,42.0,2.0,9.0,59.0,0.0,3.0,14.0,1.0,55.0,0.0,Western Mich.,4,10.75,7.25,31.0,10.5,0.5,2.25,14.75,0.75,3.5,0.25,13.75
10/07/2017,NIU,2-3,5.0,0,61.0,23.0,174.0,0.218,58.0,7.0,9.0,80.0,10.0,1.0,14.0,6.0,76.0,1.0,NIU,5,12.2,4.6,34.8,11.6,1.4,1.8,16.0,0.2,2.8,1.2,15.2
10/13/2017,@ Kent St.,3-1,4.0,0,57.0,20.0,177.0,0.209,53.0,5.0,7.0,94.0,6.0,5.0,8.0,7.0,71.0,1.0,Kent St.,4,14.25,5.0,44.25,13.25,1.25,1.75,23.5,1.25,2.0,1.75,17.75
10/14/2017,@ Ohio,0-3,3.0,0,37.0,18.0,122.0,0.156,37.0,1.0,2.0,62.0,2.0,1.0,8.0,0.0,43.0,1.0,Ohio,3,12.333333333333334,6.0,40.666666666666664,12.333333333333334,0.3333333333333333,0.6666666666666666,20.666666666666668,0.3333333333333333,2.6666666666666665,0.0,14.333333333333334
10/20/2017,Bowling Green,3-1,4.0,0,57.0,27.0,160.0,0.188,56.0,6.0,5.0,69.0,4.0,2.0,4.0,2.0,67.0,0.0,Bowling Green,4,14.25,6.75,40.0,14.0,1.5,1.25,17.25,0.5,1.0,0.5,16.75
10/21/2017,Miami (OH),1-3,4.0,0,49.0,23.0,176.0,0.148,45.0,1.0,4.0,103.0,3.0,3.0,10.0,1.0,58.0,2.0,Miami ,4,12.25,5.75,44.0,11.25,0.25,1.0,25.75,0.75,2.5,0.25,14.5
10/27/2017,Central Mich.,2-3,5.0,0,60.0,19.0,162.0,0.253,58.0,4.0,12.0,76.0,3.0,5.0,18.0,1.0,78.0,2.0,Central Mich.,5,12.0,3.8,32.4,11.6,0.8,2.4,15.2,1.0,3.6,0.2,15.6
