date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/25/2017,Bethune-Cookman,3-1,4.0,0,66.0,29.0,147.0,0.252,63.0,4.0,9.0,60.0,3.0,3.0,4.0,5.0,75.0,0.0,Bethune-Cookman,4,16.5,7.25,36.75,15.75,1.0,2.25,15.0,0.75,1.0,1.25,18.75
08/26/2017,Lamar University,3-0,3.0,0,47.0,11.0,85.0,0.424,41.0,2.0,4.0,30.0,3.0,1.0,2.0,0.0,51.0,0.0,Lamar University,3,15.666666666666666,3.6666666666666665,28.333333333333332,13.666666666666666,0.6666666666666666,1.3333333333333333,10.0,0.3333333333333333,0.6666666666666666,0.0,17.0
08/26/2017,Jacksonville,3-2,5.0,0,59.0,28.0,138.0,0.225,57.0,6.0,7.0,52.0,5.0,4.0,16.0,0.0,77.0,3.0,Jacksonville,5,11.8,5.6,27.6,11.4,1.2,1.4,10.4,0.8,3.2,0.0,15.4
08/29/2017,Kennesaw St.,0-3,3.0,0,22.0,23.0,102.0,-0.01,20.0,0.0,8.0,31.0,6.0,2.0,6.0,4.0,27.0,0.0,Kennesaw St.,3,7.333333333333333,7.666666666666667,34.0,6.666666666666667,0.0,2.6666666666666665,10.333333333333334,0.6666666666666666,2.0,1.3333333333333333,9.0
09/01/2017,"Rhode Island @ New Haven, Conn.",1-3,4.0,0,47.0,27.0,133.0,0.15,44.0,6.0,5.0,55.0,7.0,0.0,10.0,4.0,58.0,0.0,Rhode Island,4,11.75,6.75,33.25,11.0,1.5,1.25,13.75,0.0,2.5,1.0,14.5
09/02/2017,@ Yale,0-3,3.0,0,45.0,24.0,110.0,0.191,41.0,2.0,3.0,39.0,3.0,1.0,10.0,1.0,53.0,2.0,Yale,3,15.0,8.0,36.666666666666664,13.666666666666666,0.6666666666666666,1.0,13.0,0.3333333333333333,3.3333333333333335,0.3333333333333333,17.666666666666668
09/02/2017,"Delaware @ New Haven, CT",3-0,3.0,0,39.0,21.0,98.0,0.184,33.0,6.0,6.0,40.0,2.0,1.0,12.0,1.0,52.0,2.0,Delaware,3,13.0,7.0,32.666666666666664,11.0,2.0,2.0,13.333333333333334,0.3333333333333333,4.0,0.3333333333333333,17.333333333333332
09/09/2017,"South Alabama @ Auburn, Ala.",0-3,3.0,0,27.0,36.0,126.0,-0.071,25.0,2.0,5.0,62.0,5.0,2.0,6.0,1.0,34.0,0.0,South Alabama,3,9.0,12.0,42.0,8.333333333333334,0.6666666666666666,1.6666666666666667,20.666666666666668,0.6666666666666666,2.0,0.3333333333333333,11.333333333333334
09/09/2017,@ Auburn,0-3,3.0,0,37.0,19.0,108.0,0.167,36.0,1.0,3.0,42.0,3.0,1.0,7.0,6.0,42.5,2.0,Auburn,3,12.333333333333334,6.333333333333333,36.0,12.0,0.3333333333333333,1.0,14.0,0.3333333333333333,2.3333333333333335,2.0,14.166666666666666
09/15/2017,Texas Tech,1-3,4.0,0,44.0,18.0,129.0,0.202,41.0,4.0,9.0,39.0,10.0,0.0,14.0,5.0,55.0,3.0,Texas Tech,4,11.0,4.5,32.25,10.25,1.0,2.25,9.75,0.0,3.5,1.25,13.75
