date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/25/2017,USC Upstate,3-0,3.0,0,45.0,15.0,127.0,0.236,45.0,3.0,1.0,78.0,0.0,3.0,18.0,1.0,60.0,1.0,USC Upstate,3,15.0,5.0,42.333333333333336,15.0,1.0,0.3333333333333333,26.0,1.0,6.0,0.3333333333333333,20.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/26/2017,Denver,1-3,4.0,0,53.0,24.0,162.0,0.179,50.0,6.0,6.0,71.0,5.0,5.0,8.0,2.0,68.0,2.0,Denver,4,13.25,6.0,40.5,12.5,1.5,1.5,17.75,1.25,2.0,0.5,17.0,,7.5,,2.5,,21.166666666666668,,0.118,,7.5,,0.5,,0.16666666666666666,,13.0,,0.5,,3.0,,0.16666666666666666,,10.0
08/26/2017,Tennessee St.,3-1,4.0,0,67.0,17.0,153.0,0.327,60.0,6.0,3.0,68.0,2.0,1.0,10.0,4.0,79.0,1.0,Tennessee St.,4,16.75,4.25,38.25,15.0,1.5,0.75,17.0,0.25,2.5,1.0,19.75,,9.416666666666666,,3.6666666666666665,,27.611111111111114,,0.13833333333333334,,9.166666666666666,,0.8333333333333334,,0.611111111111111,,14.583333333333334,,0.75,,2.6666666666666665,,0.27777777777777773,,12.333333333333334
08/29/2017,Charleston So.,3-0,3.0,0,46.0,18.0,115.0,0.243,43.0,7.0,0.0,57.0,3.0,1.0,6.0,3.0,57.0,1.0,Charleston So.,3,15.333333333333334,6.0,38.333333333333336,14.333333333333334,2.333333333333333,0.0,19.0,0.3333333333333333,2.0,1.0,19.0,15.0,11.25,5.083333333333333,3.8125,40.361111111111114,30.270833333333336,0.24733333333333332,0.1855,14.166666666666666,10.625,1.3333333333333333,1.0,0.861111111111111,0.6458333333333333,20.25,15.1875,0.8333333333333334,0.625,3.5,2.625,0.611111111111111,0.4583333333333333,18.916666666666668,14.1875
08/31/2017,"Quinnipiac @ Pullman, Wash.",3-0,3.0,0,48.0,17.0,102.0,0.304,44.0,6.0,1.0,45.0,1.0,0.0,6.0,2.0,57.0,1.0,Quinnipiac,3,16.0,5.666666666666667,34.0,14.666666666666666,2.0,0.3333333333333333,15.0,0.0,2.0,0.6666666666666666,19.0,15.111111111111112,12.066666666666666,5.416666666666667,4.25,39.02777777777778,31.883333333333336,0.24966666666666668,0.197,13.944444444444445,11.366666666666667,1.7777777777777777,1.2666666666666666,0.75,0.5166666666666666,17.916666666666668,15.95,0.611111111111111,0.5666666666666667,2.1666666666666665,2.5,0.8333333333333334,0.5666666666666667,18.583333333333332,15.15
09/01/2017,@ Washington St.,0-3,3.0,0,38.0,29.0,110.0,0.082,32.0,1.0,4.0,32.0,3.0,3.0,6.0,4.0,45.0,0.0,Washington St.,3,12.666666666666666,9.666666666666666,36.66666666666666,10.666666666666666,0.3333333333333333,1.3333333333333333,10.666666666666666,1.0,2.0,1.3333333333333333,15.0,16.02777777777778,12.722222222222223,5.305555555555556,4.486111111111112,36.861111111111114,32.236111111111114,0.2913333333333334,0.21483333333333332,14.666666666666666,11.916666666666666,1.9444444444444444,1.3888888888888886,0.3611111111111111,0.4861111111111111,17.0,15.791666666666666,0.19444444444444442,0.47222222222222227,2.1666666666666665,2.4166666666666665,0.8888888888888888,0.5833333333333333,19.25,15.791666666666666
09/01/2017,"UIW @ Pullman, Wash.",3-0,3.0,0,37.0,17.0,101.0,0.198,33.0,6.0,2.0,45.0,1.0,5.0,8.0,5.0,52.0,1.0,UIW,3,12.333333333333334,5.666666666666667,33.666666666666664,11.0,2.0,0.6666666666666666,15.0,1.6666666666666667,2.6666666666666665,1.6666666666666667,17.333333333333332,14.666666666666666,12.714285714285717,7.111111111111111,5.226190476190476,36.333333333333336,32.86904761904762,0.20966666666666667,0.19585714285714287,13.222222222222221,11.738095238095239,1.5555555555555554,1.238095238095238,0.5555555555555555,0.6071428571428571,14.888888888888888,15.05952380952381,0.4444444444444444,0.5476190476190477,2.0,2.357142857142857,1.0,0.6904761904761905,17.666666666666668,15.678571428571429
09/02/2017,"Baylor @ Pullman, Wash.",3-2,5.0,0,67.0,22.0,174.0,0.259,62.0,3.0,4.0,66.0,6.0,1.0,18.0,0.0,80.0,1.0,Baylor,5,13.4,4.4,34.8,12.4,0.6,0.8,13.2,0.2,3.6,0.0,16.0,13.666666666666666,12.666666666666668,7.0,5.28125,34.77777777777777,32.96875,0.19466666666666668,0.196125,12.111111111111109,11.645833333333334,1.4444444444444446,1.3333333333333333,0.7777777777777777,0.6145833333333334,13.555555555555555,15.052083333333334,0.888888888888889,0.6875,2.222222222222222,2.3958333333333335,1.2222222222222223,0.8125,17.11111111111111,15.885416666666666
09/09/2017,"Butler @ Kent, Ohio",0-3,3.0,0,44.0,23.0,131.0,0.16,43.0,1.0,3.0,58.0,10.0,3.0,2.0,3.0,49.0,0.0,Butler,3,14.666666666666666,7.666666666666667,43.66666666666666,14.333333333333334,0.3333333333333333,1.0,19.33333333333333,1.0,0.6666666666666666,1.0,16.333333333333332,12.799999999999999,12.74814814814815,6.577777777777777,5.183333333333334,35.044444444444444,33.172222222222224,0.17966666666666667,0.2031111111111111,11.355555555555554,11.729629629629631,0.9777777777777779,1.2518518518518518,0.9333333333333332,0.6351851851851852,12.955555555555556,14.846296296296297,0.9555555555555556,0.6333333333333333,2.755555555555555,2.52962962962963,1.0,0.7222222222222222,16.11111111111111,15.898148148148145
09/10/2017,@ Kent St.,3-0,3.0,0,56.0,6.0,112.0,0.446,52.0,2.0,3.0,50.0,1.0,1.0,4.0,4.0,61.0,0.0,Kent St.,3,18.666666666666668,2.0,37.333333333333336,17.333333333333332,0.6666666666666666,1.0,16.666666666666668,0.3333333333333333,1.3333333333333333,1.3333333333333333,20.33333333333333,13.466666666666667,12.940000000000001,5.911111111111111,5.431666666666667,37.37777777777777,34.22166666666667,0.20566666666666666,0.19879999999999998,12.577777777777778,11.99,0.9777777777777777,1.16,0.8222222222222223,0.6716666666666666,15.844444444444443,15.294999999999998,0.9555555555555556,0.67,2.3111111111111113,2.3433333333333337,0.888888888888889,0.75,16.555555555555554,15.941666666666666
