date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/25/2017,"Villanova @ Charlottesville, Va.",0-3,3.0,0,26.0,13.0,99.0,0.131,25.0,0.0,8.0,40.0,4.0,1.0,8.0,4.0,31.0,1.0,Villanova,3,8.666666666666666,4.333333333333333,33.0,8.333333333333334,0.0,2.6666666666666665,13.333333333333334,0.3333333333333333,2.6666666666666665,1.3333333333333333,10.333333333333334
08/26/2017,@ Virginia,1-3,4.0,0,43.0,20.0,146.0,0.158,42.0,3.0,10.0,63.0,6.0,1.0,12.0,1.0,53.0,1.0,Virginia,4,10.75,5.0,36.5,10.5,0.75,2.5,15.75,0.25,3.0,0.25,13.25
08/26/2017,"Hofstra @ Charlottesville, Va.",3-1,4.0,0,51.0,19.0,134.0,0.239,48.0,6.0,7.0,61.0,3.0,5.0,19.0,1.0,71.5,0.0,Hofstra,4,12.75,4.75,33.5,12.0,1.5,1.75,15.25,1.25,4.75,0.25,17.875
09/01/2017,Maryland,0-3,3.0,0,32.0,11.0,108.0,0.194,31.0,2.0,7.0,51.0,5.0,0.0,6.0,0.0,37.0,0.0,Maryland,3,10.666666666666666,3.6666666666666665,36.0,10.333333333333334,0.6666666666666666,2.3333333333333335,17.0,0.0,2.0,0.0,12.333333333333334
09/02/2017,Elon,1-3,4.0,0,46.0,17.0,181.0,0.16,42.0,6.0,6.0,95.0,6.0,0.0,14.0,2.0,59.0,4.0,Elon,4,11.5,4.25,45.25,10.5,1.5,1.5,23.75,0.0,3.5,0.5,14.75
09/02/2017,Furman,0-3,3.0,0,36.0,18.0,118.0,0.153,36.0,3.0,6.0,50.0,3.0,0.0,14.0,7.0,46.0,1.0,Furman,3,12.0,6.0,39.333333333333336,12.0,1.0,2.0,16.666666666666668,0.0,4.666666666666667,2.3333333333333335,15.333333333333334
09/08/2017,"Southern Utah @ USAF Academy, Colo.",2-3,5.0,0,61.0,30.0,163.0,0.19,58.0,8.0,8.0,75.0,3.0,2.0,24.0,3.0,83.0,0.0,Southern Utah,5,12.2,6.0,32.6,11.6,1.6,1.6,15.0,0.4,4.8,0.6,16.6
09/08/2017,@ Air Force,3-1,4.0,0,43.0,25.0,121.0,0.149,37.0,4.0,8.0,39.0,3.0,4.0,20.0,2.0,61.0,0.0,Air Force,4,10.75,6.25,30.25,9.25,1.0,2.0,9.75,1.0,5.0,0.5,15.25
09/09/2017,@ Air Force,0-3,3.0,0,30.0,21.0,99.0,0.091,29.0,2.0,8.0,29.0,5.0,1.0,12.0,0.0,39.0,0.0,Air Force,3,10.0,7.0,33.0,9.666666666666666,0.6666666666666666,2.6666666666666665,9.666666666666666,0.3333333333333333,4.0,0.0,13.0
09/12/2017,VCU,0-3,3.0,0,29.0,22.0,107.0,0.065,29.0,0.0,5.0,53.0,5.0,0.0,16.0,1.0,37.0,0.0,VCU,3,9.666666666666666,7.333333333333333,35.666666666666664,9.666666666666666,0.0,1.6666666666666667,17.666666666666668,0.0,5.333333333333333,0.3333333333333333,12.333333333333334
09/15/2017,@ UNCW,1-3,4.0,0,51.0,33.0,150.0,0.12,47.0,2.0,9.0,62.0,5.0,0.0,19.0,5.0,62.5,1.0,UNCW,4,12.75,8.25,37.5,11.75,0.5,2.25,15.5,0.0,4.75,1.25,15.625
09/16/2017,"Morgan St. @ Wilmington, N.C.",3-1,4.0,0,56.0,18.0,139.0,0.273,51.0,8.0,11.0,51.0,7.0,1.0,8.0,2.0,69.0,3.0,Morgan St.,4,14.0,4.5,34.75,12.75,2.0,2.75,12.75,0.25,2.0,0.5,17.25
09/16/2017,"Western Mich. @ Wilmington, N.C.",0-3,3.0,0,19.0,15.0,75.0,0.053,19.0,1.0,3.0,20.0,5.0,0.0,6.0,4.0,23.0,3.0,Western Mich.,3,6.333333333333333,5.0,25.0,6.333333333333333,0.3333333333333333,1.0,6.666666666666667,0.0,2.0,1.3333333333333333,7.666666666666667
09/19/2017,High Point,1-3,4.0,0,50.0,24.0,156.0,0.167,49.0,0.0,4.0,56.0,4.0,3.0,14.0,4.0,60.0,2.0,High Point,4,12.5,6.0,39.0,12.25,0.0,1.0,14.0,0.75,3.5,1.0,15.0
09/23/2017,Presbyterian,3-2,5.0,0,73.0,20.0,183.0,0.29,70.0,6.0,9.0,93.0,4.0,2.0,14.0,3.0,88.0,1.0,Presbyterian,5,14.6,4.0,36.6,14.0,1.2,1.8,18.6,0.4,2.8,0.6,17.6
09/30/2017,UNC Asheville,3-2,5.0,0,65.0,28.0,170.0,0.218,60.0,4.0,6.0,76.0,6.0,1.0,10.0,4.0,75.0,3.0,UNC Asheville,5,13.0,5.6,34.0,12.0,0.8,1.2,15.2,0.2,2.0,0.8,15.0
10/03/2017,@ Radford,3-2,5.0,0,54.0,27.0,157.0,0.172,49.0,3.0,4.0,77.0,5.0,3.0,14.0,1.0,67.0,1.0,Radford,5,10.8,5.4,31.4,9.8,0.6,0.8,15.4,0.6,2.8,0.2,13.4
10/06/2017,@ Campbell,0-3,3.0,0,32.0,16.0,98.0,0.163,31.0,1.0,5.0,34.0,5.0,1.0,20.0,2.0,44.0,2.0,Campbell,3,10.666666666666666,5.333333333333333,32.666666666666664,10.333333333333334,0.3333333333333333,1.6666666666666667,11.333333333333334,0.3333333333333333,6.666666666666667,0.6666666666666666,14.666666666666666
10/10/2017,@ High Point,0-3,3.0,0,29.0,14.0,99.0,0.152,29.0,4.0,2.0,46.0,6.0,2.0,10.0,1.0,40.0,3.0,High Point,3,9.666666666666666,4.666666666666667,33.0,9.666666666666666,1.3333333333333333,0.6666666666666666,15.333333333333334,0.6666666666666666,3.3333333333333335,0.3333333333333333,13.333333333333334
10/13/2017,Winthrop,2-3,5.0,0,61.0,25.0,169.0,0.213,57.0,4.0,3.0,69.0,7.0,3.0,18.0,0.0,77.0,1.0,Winthrop,5,12.2,5.0,33.8,11.4,0.8,0.6,13.8,0.6,3.6,0.0,15.4
10/14/2017,Charleston So.,3-0,3.0,0,52.0,17.0,120.0,0.292,47.0,1.0,3.0,58.0,6.0,1.0,6.0,0.0,57.0,0.0,Charleston So.,3,17.333333333333332,5.666666666666667,40.0,15.666666666666666,0.3333333333333333,1.0,19.333333333333332,0.3333333333333333,2.0,0.0,19.0
10/20/2017,@ Winthrop,3-0,3.0,0,42.0,11.0,93.0,0.333,38.0,1.0,4.0,54.0,0.0,7.0,6.0,0.0,53.0,2.0,Winthrop,3,14.0,3.6666666666666665,31.0,12.666666666666666,0.3333333333333333,1.3333333333333333,18.0,2.3333333333333335,2.0,0.0,17.666666666666668
10/21/2017,@ Charleston So.,3-1,4.0,0,59.0,26.0,154.0,0.214,55.0,5.0,7.0,80.0,4.0,1.0,14.0,1.0,72.0,2.0,Charleston So.,4,14.75,6.5,38.5,13.75,1.25,1.75,20.0,0.25,3.5,0.25,18.0
10/27/2017,Gardner-Webb,3-0,3.0,0,38.0,19.0,113.0,0.168,38.0,3.0,5.0,59.0,3.0,0.0,14.0,1.0,48.0,2.0,Gardner-Webb,3,12.666666666666666,6.333333333333333,37.666666666666664,12.666666666666666,1.0,1.6666666666666667,19.666666666666668,0.0,4.666666666666667,0.3333333333333333,16.0
10/28/2017,Campbell,2-3,5.0,0,58.0,22.0,161.0,0.224,51.0,3.0,8.0,72.0,5.0,1.0,18.0,2.0,71.0,2.0,Campbell,5,11.6,4.4,32.2,10.2,0.6,1.6,14.4,0.2,3.6,0.4,14.2
