date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/25/2017,"Bradley @ Charleston, Il",1-3,4.0,0,52.0,25.0,172.0,0.157,50.0,3.0,5.0,86.0,2.0,0.0,16.0,3.0,63.0,3.0,Bradley,4,13.0,6.25,43.0,12.5,0.75,1.25,21.5,0.0,4.0,0.75,15.75,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/26/2017,"Green Bay @ Charleston, Ill.",1-3,4.0,0,55.0,25.0,157.0,0.191,47.0,4.0,4.0,67.0,9.0,1.0,11.0,2.0,65.5,0.0,Green Bay,4,13.75,6.25,39.25,11.75,1.0,1.0,16.75,0.25,2.75,0.5,16.375,,6.5,,3.125,,21.5,,0.0785,,6.25,,0.375,,0.625,,10.75,,0.0,,2.0,,0.375,,7.875
08/26/2017,@ Eastern Ill.,2-3,5.0,0,61.0,36.0,173.0,0.145,58.0,7.0,8.0,70.0,9.0,0.0,20.0,3.0,78.0,0.0,Eastern Ill.,5,12.2,7.2,34.6,11.6,1.4,1.6,14.0,0.0,4.0,0.6,15.6,,8.916666666666666,,4.166666666666667,,27.416666666666668,,0.11599999999999999,,8.083333333333334,,0.5833333333333334,,0.75,,12.75,,0.08333333333333333,,2.25,,0.4166666666666667,,10.708333333333334
09/01/2017,"UT Martin @ Conway, Ark.",3-0,3.0,0,40.0,15.0,113.0,0.221,38.0,9.0,6.0,57.0,2.0,0.0,18.0,0.0,58.0,5.0,UT Martin,3,13.333333333333334,5.0,37.66666666666666,12.666666666666666,3.0,2.0,19.0,0.0,6.0,0.0,19.33333333333333,12.983333333333334,9.7375,6.566666666666666,4.925,38.949999999999996,29.2125,0.16433333333333333,0.12325,11.950000000000001,8.9625,1.05,0.7875,1.2833333333333334,0.9625,17.416666666666668,13.0625,0.08333333333333333,0.0625,3.5833333333333335,2.6875,0.6166666666666667,0.4625,15.908333333333333,11.93125
09/01/2017,@ Central Ark.,0-3,3.0,0,40.0,19.0,109.0,0.193,37.0,1.0,6.0,43.0,8.0,0.0,10.0,0.0,46.0,3.0,Central Ark.,3,13.333333333333334,6.333333333333333,36.333333333333336,12.333333333333334,0.3333333333333333,2.0,14.333333333333334,0.0,3.333333333333333,0.0,15.333333333333334,13.094444444444443,10.456666666666667,6.1499999999999995,4.9399999999999995,37.17222222222222,30.90333333333333,0.18566666666666665,0.14279999999999998,12.005555555555555,9.703333333333333,1.8,1.23,1.5333333333333332,1.17,16.583333333333332,14.25,0.08333333333333333,0.05,4.25,3.35,0.3666666666666667,0.37,17.102777777777778,13.411666666666667
09/02/2017,"Little Rock @ Conway, Ark.",3-0,3.0,0,35.0,13.0,91.0,0.242,32.0,10.0,8.0,33.0,4.0,2.0,14.0,0.0,54.0,2.0,Little Rock,3,11.666666666666666,4.333333333333333,30.33333333333333,10.666666666666666,3.333333333333333,2.6666666666666665,11.0,0.6666666666666666,4.666666666666667,0.0,18.0,12.955555555555556,10.936111111111112,6.177777777777777,5.172222222222222,36.199999999999996,31.808333333333334,0.18633333333333335,0.15116666666666667,12.200000000000001,10.141666666666667,1.5777777777777777,1.0805555555555555,1.8666666666666665,1.3083333333333333,15.777777777777779,14.263888888888888,0.0,0.041666666666666664,4.444444444444444,3.347222222222222,0.19999999999999998,0.30833333333333335,16.755555555555556,13.731944444444444
09/08/2017,"Sam Houston @ Ruston, La.",3-2,5.0,0,59.0,28.0,179.0,0.173,54.0,3.0,8.0,69.0,5.0,6.0,18.0,0.0,77.0,2.0,Sam Houston,5,11.8,5.6,35.8,10.8,0.6,1.6,13.8,1.2,3.6,0.0,15.4,12.777777777777779,11.040476190476193,5.222222222222222,5.052380952380952,34.77777777777778,31.597619047619048,0.21866666666666668,0.16414285714285715,11.888888888888888,10.216666666666667,2.222222222222222,1.4023809523809523,2.222222222222222,1.5023809523809522,14.777777777777779,13.797619047619047,0.2222222222222222,0.13095238095238096,4.666666666666667,3.5357142857142856,0.0,0.2642857142857143,17.555555555555554,14.341666666666667
09/08/2017,@ Louisiana Tech,1-3,4.0,0,58.0,28.0,151.0,0.199,53.0,5.0,7.0,70.0,3.0,0.0,10.0,0.0,68.0,4.0,Louisiana Tech,4,14.5,7.0,37.75,13.25,1.25,1.75,17.5,0.0,2.5,0.0,17.0,12.266666666666666,11.135416666666668,5.422222222222222,5.120833333333334,34.15555555555555,32.12291666666667,0.20266666666666666,0.16525,11.266666666666666,10.289583333333333,1.4222222222222223,1.3020833333333333,2.088888888888889,1.5145833333333332,13.044444444444444,13.797916666666666,0.6222222222222222,0.26458333333333334,3.8666666666666667,3.54375,0.0,0.23125,16.244444444444444,14.473958333333334
09/09/2017,"Ark.-Pine Bluff @ Ruston, La.",3-0,3.0,0,45.0,5.0,88.0,0.455,44.0,7.0,6.0,43.0,1.0,1.0,8.0,0.0,57.0,1.0,Ark.-Pine Bluff,3,15.0,1.6666666666666667,29.33333333333333,14.666666666666666,2.333333333333333,2.0,14.333333333333334,0.3333333333333333,2.6666666666666665,0.0,19.0,12.655555555555557,11.50925925925926,5.644444444444445,5.32962962962963,34.62777777777777,32.74814814814815,0.20466666666666666,0.169,11.572222222222223,10.618518518518519,1.7277777777777779,1.2962962962962963,2.0055555555555555,1.5407407407407405,14.1,14.209259259259259,0.6222222222222221,0.2351851851851852,3.5888888888888886,3.427777777777778,0.0,0.20555555555555557,16.8,14.754629629629632
09/15/2017,ULM,3-0,3.0,0,45.0,21.0,128.0,0.188,42.0,5.0,10.0,56.0,0.0,2.0,16.0,3.0,60.0,2.0,ULM,3,15.0,7.0,42.66666666666666,14.0,1.6666666666666667,3.333333333333333,18.666666666666668,0.6666666666666666,5.333333333333333,1.0,20.0,13.766666666666667,11.858333333333334,4.7555555555555555,4.963333333333333,34.294444444444444,32.406666666666666,0.27566666666666667,0.19760000000000003,12.905555555555557,11.023333333333333,1.3944444444444446,1.4,1.7833333333333332,1.5866666666666664,15.21111111111111,14.221666666666668,0.511111111111111,0.24500000000000002,2.922222222222222,3.3516666666666666,0.0,0.185,17.133333333333333,15.179166666666669
09/15/2017,Nicholls,3-0,3.0,0,48.0,18.0,127.0,0.236,46.0,2.0,8.0,60.0,3.0,1.0,18.0,5.0,60.0,0.0,Nicholls,3,16.0,6.0,42.333333333333336,15.333333333333334,0.6666666666666666,2.6666666666666665,20.0,0.3333333333333333,6.0,1.6666666666666667,20.0,14.833333333333334,12.143939393939394,5.222222222222222,5.148484848484848,36.58333333333333,33.33939393939394,0.2806666666666667,0.19672727272727275,13.972222222222221,11.293939393939395,1.75,1.424242424242424,2.361111111111111,1.7454545454545454,16.833333333333332,14.625757575757575,0.3333333333333333,0.2833333333333333,3.5,3.5318181818181817,0.3333333333333333,0.2590909090909091,18.666666666666668,15.617424242424244
09/16/2017,UT Martin,3-1,4.0,0,54.0,19.0,144.0,0.243,52.0,7.0,14.0,70.0,3.0,1.0,10.0,4.0,67.0,4.0,UT Martin,4,13.5,4.75,36.0,13.0,1.75,3.5,17.5,0.25,2.5,1.0,16.75,15.333333333333334,12.465277777777779,4.888888888888889,5.219444444444444,38.11111111111111,34.08888888888889,0.293,0.20000000000000004,14.666666666666666,11.630555555555555,1.5555555555555554,1.361111111111111,2.6666666666666665,1.8222222222222222,17.666666666666668,15.073611111111111,0.4444444444444444,0.28750000000000003,4.666666666666667,3.7375000000000003,0.888888888888889,0.3763888888888889,19.666666666666668,15.982638888888891
09/22/2017,@ UConn,1-3,4.0,0,37.0,21.0,128.0,0.125,35.0,5.0,11.0,37.0,10.0,2.0,17.0,0.0,52.5,0.0,UConn,4,9.25,5.25,32.0,8.75,1.25,2.75,9.25,0.5,4.25,0.0,13.125,14.833333333333334,12.544871794871796,5.916666666666667,5.183333333333333,40.333333333333336,34.235897435897435,0.22233333333333336,0.20330769230769233,14.111111111111112,11.735897435897435,1.3611111111111114,1.391025641025641,3.1666666666666665,1.9512820512820512,18.72222222222222,15.26025641025641,0.4166666666666667,0.2846153846153846,4.611111111111111,3.6423076923076922,1.2222222222222223,0.42435897435897435,18.916666666666668,16.041666666666668
09/24/2017,@ Temple,0-3,3.0,0,21.0,23.0,113.0,-0.018,20.0,3.0,4.0,46.0,3.0,0.0,17.0,3.0,32.5,0.0,Temple,3,7.0,7.666666666666667,37.66666666666666,6.666666666666667,1.0,1.3333333333333333,15.333333333333334,0.0,5.666666666666667,1.0,10.833333333333334,12.916666666666666,12.30952380952381,5.333333333333333,5.188095238095237,36.77777777777778,34.076190476190476,0.20133333333333334,0.19771428571428573,12.361111111111112,11.522619047619047,1.222222222222222,1.380952380952381,2.972222222222222,2.0083333333333333,15.583333333333334,14.83095238095238,0.3611111111111111,0.3,4.25,3.685714285714286,0.888888888888889,0.39404761904761904,16.625,15.833333333333334
09/29/2017,UCF,2-3,5.0,0,62.0,28.0,178.0,0.191,62.0,3.0,8.0,81.0,7.0,1.0,10.0,4.0,71.0,1.0,UCF,5,12.4,5.6,35.6,12.4,0.6,1.6,16.2,0.2,2.0,0.8,14.2,9.916666666666666,11.955555555555556,5.888888888888889,5.3533333333333335,35.22222222222222,34.315555555555555,0.11666666666666665,0.18333333333333338,9.472222222222223,11.198888888888888,1.3333333333333333,1.3555555555555554,2.527777777777778,1.9633333333333334,14.027777777777779,14.864444444444445,0.25,0.28,4.138888888888889,3.8177777777777777,0.6666666666666666,0.43444444444444447,13.569444444444445,15.500000000000002
10/01/2017,South Fla.,2-3,5.0,0,59.0,30.0,188.0,0.154,56.0,11.0,7.0,86.0,9.0,0.0,30.0,4.0,85.0,1.0,South Fla.,5,11.8,6.0,37.6,11.2,2.2,1.4,17.2,0.0,6.0,0.8,17.0,9.549999999999999,11.983333333333334,6.172222222222222,5.3687499999999995,35.08888888888888,34.395833333333336,0.09933333333333334,0.18381250000000002,9.272222222222222,11.273958333333333,0.9500000000000001,1.3083333333333333,1.8944444444444446,1.940625,13.594444444444443,14.947916666666666,0.2333333333333333,0.275,3.9722222222222228,3.7041666666666666,0.6,0.45729166666666665,12.719444444444443,15.418750000000001
10/06/2017,@ Houston,0-3,3.0,0,31.0,21.0,112.0,0.089,31.0,0.0,0.0,47.0,6.0,0.0,8.0,1.0,35.0,3.0,Houston,3,10.333333333333334,7.0,37.333333333333336,10.333333333333334,0.0,0.0,15.666666666666666,0.0,2.6666666666666665,0.3333333333333333,11.666666666666666,10.4,11.972549019607845,6.422222222222222,5.405882352941176,36.95555555555555,34.5843137254902,0.109,0.18205882352941177,10.088888888888889,11.269607843137253,1.2666666666666668,1.3607843137254902,1.4444444444444444,1.9088235294117648,16.244444444444444,15.080392156862745,0.06666666666666665,0.25882352941176473,4.555555555555556,3.83921568627451,0.8666666666666667,0.4774509803921569,14.011111111111111,15.511764705882356
10/13/2017,Tulsa,1-3,4.0,0,41.0,29.0,139.0,0.086,40.0,5.0,12.0,55.0,7.0,0.0,18.0,1.0,55.0,3.0,Tulsa,4,10.25,7.25,34.75,10.0,1.25,3.0,13.75,0.0,4.5,0.25,13.75,11.511111111111113,11.881481481481483,6.199999999999999,5.494444444444444,36.84444444444444,34.73703703703704,0.1446666666666667,0.1768888888888889,11.31111111111111,11.217592592592592,0.9333333333333335,1.2851851851851852,1.0,1.802777777777778,16.355555555555554,15.112962962962964,0.06666666666666665,0.24444444444444446,3.5555555555555554,3.774074074074074,0.6444444444444445,0.4694444444444445,14.288888888888886,15.298148148148151
