date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/25/2017,"Marshall @ Clarksville, TN",3-2,5.0,0,64.0,24.0,163.0,0.245,59.0,9.0,6.0,71.0,5.0,7.0,13.0,5.0,86.5,2.0,Marshall
08/25/2017,"Middle Tenn. @ Clarksville, TN",3-0,3.0,0,37.0,5.0,62.0,0.516,33.0,9.0,3.0,23.0,1.0,3.0,8.0,3.0,53.0,0.0,Middle Tenn.
08/26/2017,"UNI @ Clarksville, TN",2-3,5.0,0,66.0,20.0,185.0,0.249,65.0,2.0,5.0,74.0,2.0,4.0,16.0,3.0,80.0,1.0,UNI
08/26/2017,@ Austin Peay,2-3,5.0,0,64.0,22.0,159.0,0.264,62.0,4.0,6.0,72.0,14.0,3.0,12.0,6.0,77.0,3.0,Austin Peay
09/01/2017,"BYU @ Boise, Idaho",1-3,4.0,0,35.0,28.0,128.0,0.055,33.0,2.0,5.0,41.0,8.0,1.0,30.0,2.0,53.0,3.0,BYU
09/01/2017,"Sacramento St. @ Boise, Idaho",3-1,4.0,0,56.0,21.0,142.0,0.246,51.0,3.0,9.0,75.0,3.0,3.0,27.0,5.0,75.5,0.0,Sacramento St.
09/02/2017,@ Boise St.,0-3,3.0,0,36.0,15.0,98.0,0.214,33.0,2.0,4.0,32.0,3.0,1.0,2.0,0.0,40.0,0.0,Boise St.
09/08/2017,"Green Bay @ Salt Lake City, Utah",3-1,4.0,0,55.0,22.0,150.0,0.22,49.0,1.0,11.0,58.0,5.0,4.0,20.0,6.0,70.0,2.0,Green Bay
09/09/2017,"San Diego @ Salt Lake City, Utah",0-3,3.0,0,38.0,24.0,113.0,0.124,35.0,2.0,4.0,36.0,5.0,1.0,8.0,2.0,45.0,1.0,San Diego
09/09/2017,@ Utah,0-3,3.0,0,37.0,20.0,109.0,0.156,35.0,5.0,7.0,35.0,1.0,2.0,10.0,1.0,49.0,0.0,Utah
09/15/2017,@ Nevada,3-2,5.0,0,58.0,30.0,163.0,0.172,56.0,6.0,6.0,60.0,6.0,6.0,34.0,5.0,87.0,1.0,Nevada
09/15/2017,"Pepperdine @ Reno, Nev.",3-0,3.0,0,50.0,21.0,117.0,0.248,47.0,4.0,3.0,51.0,3.0,3.0,20.0,5.0,67.0,1.0,Pepperdine
09/16/2017,"Sacramento St. @ Reno, Nev.",3-2,5.0,0,71.0,24.0,187.0,0.251,64.0,5.0,6.0,104.0,12.0,6.0,16.0,6.0,90.0,5.0,Sacramento St.
09/20/2017,Kentucky,1-3,4.0,0,40.0,21.0,116.0,0.164,37.0,5.0,4.0,44.0,5.0,6.0,10.0,0.0,56.0,0.0,Kentucky
09/24/2017,@ Texas A&M,3-1,4.0,0,53.0,17.0,139.0,0.259,46.0,8.0,9.0,53.0,6.0,1.0,25.0,1.0,74.5,8.0,Texas A&M
09/29/2017,@ Auburn,3-2,5.0,0,59.0,26.0,170.0,0.194,55.0,3.0,8.0,84.0,2.0,3.0,26.0,4.0,78.0,3.0,Auburn
10/01/2017,@ Alabama,3-0,3.0,0,43.0,16.0,90.0,0.3,39.0,5.0,9.0,34.0,4.0,5.0,14.0,2.0,60.0,1.0,Alabama
10/08/2017,Ole Miss,3-0,3.0,0,46.0,8.0,87.0,0.437,42.0,5.0,4.0,44.0,1.0,0.0,12.0,0.0,57.0,1.0,Ole Miss
10/13/2017,Mississippi St.,3-0,3.0,0,38.0,12.0,84.0,0.31,35.0,3.0,10.0,28.0,1.0,2.0,12.0,0.0,49.0,1.0,Mississippi St.
10/15/2017,@ Tennessee,1-3,4.0,0,58.0,30.0,153.0,0.183,55.0,3.0,6.0,60.0,2.0,1.0,10.0,2.0,67.0,2.0,Tennessee
10/20/2017,Georgia,0-3,3.0,0,41.0,16.0,90.0,0.278,36.0,2.0,4.0,30.0,8.0,3.0,12.0,0.0,52.0,0.0,Georgia
10/25/2017,@ Ole Miss,3-1,4.0,0,51.0,14.0,142.0,0.261,48.0,6.0,6.0,62.0,8.0,5.0,22.0,0.0,73.0,1.0,Ole Miss
10/29/2017,@ Georgia,3-1,4.0,0,46.0,10.0,92.0,0.391,43.0,4.0,9.0,36.0,8.0,2.0,30.0,3.0,67.0,2.0,Georgia
11/03/2017,Texas A&M,3-0,3.0,0,39.0,20.0,94.0,0.202,37.0,1.0,4.0,36.0,1.0,2.0,16.0,0.0,50.0,2.0,Texas A&M
