date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/25/2017,"Oregon @ Gainesville, Fla.",1-3,4.0,0,54.0,24.0,172.0,0.174,51.0,5.0,8.0,75.0,3.0,1.0,14.0,1.0,67.0,1.0,Oregon,4,13.5,6.0,43.0,12.75,1.25,2.0,18.75,0.25,3.5,0.25,16.75
08/26/2017,@ Florida,2-3,5.0,0,60.0,30.0,193.0,0.155,52.0,7.0,11.0,87.0,1.0,0.0,14.0,2.0,74.0,1.0,Florida,5,12.0,6.0,38.6,10.4,1.4,2.2,17.4,0.0,2.8,0.4,14.8
09/01/2017,Oral Roberts,3-0,3.0,0,38.0,4.0,59.0,0.576,33.0,5.0,9.0,25.0,1.0,2.0,12.0,0.0,51.0,0.0,Oral Roberts,3,12.666666666666666,1.3333333333333333,19.666666666666668,11.0,1.6666666666666667,3.0,8.333333333333334,0.6666666666666666,4.0,0.0,17.0
09/01/2017,UMBC,3-0,3.0,0,37.0,13.0,88.0,0.273,35.0,6.0,9.0,40.0,0.0,4.0,14.0,3.0,54.0,0.0,UMBC,3,12.333333333333334,4.333333333333333,29.333333333333332,11.666666666666666,2.0,3.0,13.333333333333334,1.3333333333333333,4.666666666666667,1.0,18.0
09/02/2017,Saint Mary's (CA),3-0,3.0,0,47.0,19.0,120.0,0.233,44.0,1.0,7.0,57.0,5.0,2.0,14.0,2.0,57.0,2.0,Saint Mary's ,3,15.666666666666666,6.333333333333333,40.0,14.666666666666666,0.3333333333333333,2.3333333333333335,19.0,0.6666666666666666,4.666666666666667,0.6666666666666666,19.0
09/08/2017,UCLA,3-0,3.0,0,48.0,19.0,126.0,0.23,47.0,1.0,5.0,62.0,0.0,2.0,6.0,2.0,54.0,0.0,UCLA,3,16.0,6.333333333333333,42.0,15.666666666666666,0.3333333333333333,1.6666666666666667,20.666666666666668,0.6666666666666666,2.0,0.6666666666666666,18.0
09/09/2017,UCLA,3-0,3.0,0,43.0,12.0,103.0,0.301,40.0,3.0,5.0,48.0,1.0,1.0,12.0,0.0,53.0,0.0,UCLA,3,14.333333333333334,4.0,34.333333333333336,13.333333333333334,1.0,1.6666666666666667,16.0,0.3333333333333333,4.0,0.0,17.666666666666668
09/15/2017,"Kansas St. @ Omaha, Neb.",3-0,3.0,0,47.0,15.0,99.0,0.323,45.0,3.0,1.0,51.0,1.0,0.0,18.0,3.0,59.0,0.0,Kansas St.,3,15.666666666666666,5.0,33.0,15.0,1.0,0.3333333333333333,17.0,0.0,6.0,1.0,19.666666666666668
09/16/2017,"UNI @ Omaha, Neb.",1-3,4.0,0,56.0,21.0,150.0,0.233,53.0,5.0,0.0,68.0,8.0,2.0,8.0,3.0,67.0,0.0,UNI,4,14.0,5.25,37.5,13.25,1.25,0.0,17.0,0.5,2.0,0.75,16.75
09/16/2017,@ Omaha,3-0,3.0,0,47.0,13.0,104.0,0.327,43.0,2.0,5.0,48.0,3.0,0.0,12.0,2.0,55.0,1.0,Omaha,3,15.666666666666666,4.333333333333333,34.666666666666664,14.333333333333334,0.6666666666666666,1.6666666666666667,16.0,0.0,4.0,0.6666666666666666,18.333333333333332
