date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/25/2017,"Rhode Island @ Notre Dame, Ind.",3-0,3.0,0,44.0,14.0,90.0,0.333,40.0,9.0,3.0,43.0,0.0,1.0,14.0,1.0,61.0,1.0,Rhode Island,3,14.666666666666666,4.666666666666667,30.0,13.333333333333334,3.0,1.0,14.333333333333334,0.3333333333333333,4.666666666666667,0.3333333333333333,20.33333333333333,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/26/2017,"Valparaiso @ Notre Dame, Ind.",3-1,4.0,0,63.0,23.0,174.0,0.23,62.0,3.0,8.0,92.0,3.0,1.0,14.0,4.0,74.0,1.0,Valparaiso,4,15.75,5.75,43.5,15.5,0.75,2.0,23.0,0.25,3.5,1.0,18.5,,7.333333333333333,,2.3333333333333335,,15.0,,0.1665,,6.666666666666667,,1.5,,0.5,,7.166666666666667,,0.16666666666666666,,2.3333333333333335,,0.16666666666666666,,10.166666666666664
08/26/2017,@ Notre Dame,1-3,4.0,0,56.0,27.0,163.0,0.178,55.0,5.0,10.0,82.0,5.0,3.0,6.0,0.0,67.0,1.0,Notre Dame,4,14.0,6.75,40.75,13.75,1.25,2.5,20.5,0.75,1.5,0.0,16.75,,10.138888888888888,,3.4722222222222228,,24.5,,0.18766666666666668,,9.611111111111112,,1.25,,1.0,,12.444444444444445,,0.19444444444444442,,2.7222222222222228,,0.4444444444444444,,12.944444444444443
08/31/2017,North Dakota,2-3,5.0,0,53.0,34.0,187.0,0.102,46.0,3.0,4.0,80.0,2.0,3.0,12.0,4.0,65.0,2.0,North Dakota,5,10.6,6.8,37.4,9.2,0.6,0.8,16.0,0.6,2.4,0.8,13.0,14.805555555555555,11.104166666666666,5.722222222222222,4.291666666666667,38.083333333333336,28.5625,0.247,0.18525000000000003,14.194444444444445,10.645833333333334,1.6666666666666667,1.25,1.8333333333333333,1.375,19.27777777777778,14.458333333333334,0.4444444444444444,0.3333333333333333,3.2222222222222228,2.416666666666667,0.4444444444444444,0.3333333333333333,18.527777777777775,13.895833333333332
09/01/2017,UCLA,0-3,3.0,0,37.0,23.0,117.0,0.12,35.0,1.0,4.0,55.0,5.0,2.0,12.0,1.0,46.0,1.0,UCLA,3,12.333333333333334,7.666666666666667,39.0,11.666666666666666,0.3333333333333333,1.3333333333333333,18.33333333333333,0.6666666666666666,4.0,0.3333333333333333,15.333333333333334,13.450000000000001,11.003333333333334,6.433333333333333,4.793333333333334,40.550000000000004,30.330000000000002,0.17,0.16860000000000003,12.816666666666665,10.356666666666666,0.8666666666666667,1.1199999999999999,1.7666666666666666,1.26,19.833333333333332,14.76666666666667,0.5333333333333333,0.3866666666666666,2.466666666666667,2.4133333333333336,0.6,0.42666666666666664,16.083333333333332,13.716666666666665
09/02/2017,UNLV,3-1,4.0,0,60.0,33.0,179.0,0.151,58.0,4.0,6.0,82.0,4.0,1.0,22.0,2.0,76.0,2.0,UNLV,4,15.0,8.25,44.75,14.5,1.0,1.5,20.5,0.25,5.5,0.5,19.0,12.311111111111112,11.225,7.072222222222222,5.272222222222223,39.050000000000004,31.775000000000002,0.13333333333333333,0.1605,11.538888888888886,10.575,0.7277777777777777,0.9888888888888888,1.5444444444444443,1.2722222222222221,18.277777777777775,15.361111111111112,0.6722222222222222,0.4333333333333333,2.6333333333333333,2.6777777777777785,0.37777777777777777,0.41111111111111115,15.027777777777779,13.986111111111109
09/08/2017,Delaware St.,3-0,3.0,0,42.0,9.0,82.0,0.402,40.0,6.0,1.0,40.0,2.0,2.0,8.0,0.0,54.0,1.0,Delaware St.,3,14.0,3.0,27.33333333333333,13.333333333333334,2.0,0.3333333333333333,13.333333333333334,0.6666666666666666,2.6666666666666665,0.0,18.0,12.644444444444446,11.764285714285714,7.572222222222222,5.697619047619049,40.38333333333333,33.628571428571426,0.12433333333333334,0.15914285714285717,11.788888888888886,11.135714285714284,0.6444444444444445,0.9904761904761904,1.211111111111111,1.3047619047619048,18.277777777777775,16.095238095238095,0.5055555555555555,0.4071428571428571,3.966666666666667,3.0809523809523816,0.5444444444444444,0.4238095238095238,15.777777777777779,14.70238095238095
09/08/2017,Abilene Christian,3-0,3.0,0,46.0,15.0,115.0,0.27,44.0,4.0,3.0,49.0,1.0,2.0,10.0,5.0,57.0,3.0,Abilene Christian,3,15.333333333333334,5.0,38.333333333333336,14.666666666666666,1.3333333333333333,1.0,16.333333333333332,0.6666666666666666,3.333333333333333,1.6666666666666667,19.0,13.777777777777779,12.04375,6.3055555555555545,5.3604166666666675,37.02777777777777,32.84166666666667,0.22433333333333336,0.1895,13.166666666666666,11.410416666666665,1.1111111111111112,1.1166666666666667,1.0555555555555556,1.1833333333333333,17.38888888888889,15.75,0.5277777777777778,0.43958333333333327,4.055555555555555,3.0291666666666672,0.27777777777777773,0.37083333333333335,17.444444444444446,15.114583333333332
09/09/2017,Samford,3-0,3.0,0,49.0,17.0,120.0,0.267,48.0,6.0,1.0,56.0,2.0,0.0,20.0,0.0,65.0,1.0,Samford,3,16.333333333333332,5.666666666666667,40.0,16.0,2.0,0.3333333333333333,18.666666666666668,0.0,6.666666666666667,0.0,21.666666666666668,14.777777777777777,12.409259259259258,5.416666666666667,5.320370370370371,36.80555555555555,33.45185185185185,0.2743333333333334,0.19844444444444445,14.166666666666666,11.77222222222222,1.4444444444444444,1.1407407407407408,0.9444444444444443,1.162962962962963,16.72222222222222,15.814814814814817,0.5277777777777778,0.46481481481481474,3.8333333333333335,3.0629629629629633,0.7222222222222222,0.5148148148148148,18.666666666666668,15.546296296296296
09/15/2017,@ Arizona,2-3,5.0,0,61.0,31.0,173.0,0.173,59.0,1.0,11.0,81.0,3.0,2.0,18.0,2.0,73.0,1.0,Arizona,5,12.2,6.2,34.6,11.8,0.2,2.2,16.2,0.4,3.6,0.4,14.6,15.222222222222221,12.801666666666666,4.5555555555555545,5.355,35.22222222222222,34.10666666666667,0.313,0.20529999999999998,14.666666666666666,12.194999999999999,1.7777777777777777,1.2266666666666668,0.5555555555555555,1.08,16.11111111111111,16.1,0.4444444444444444,0.4183333333333333,4.222222222222222,3.4233333333333333,0.5555555555555556,0.4633333333333334,19.555555555555557,16.15833333333333
