date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/25/2017,"Troy @ Columbia, S.C.",3-2,5.0,0,49.0,22.0,137.0,0.197,47.0,3.0,9.0,59.0,9.0,5.0,26.0,0.0,70.0,3.0,Troy,5,9.8,4.4,27.4,9.4,0.6,1.8,11.8,1.0,5.2,0.0,14.0
08/26/2017,"Mercer @ Columbia, S.C.",3-2,5.0,0,57.0,20.0,151.0,0.245,52.0,4.0,11.0,65.0,4.0,5.0,18.0,4.0,75.0,5.0,Mercer,5,11.4,4.0,30.2,10.4,0.8,2.2,13.0,1.0,3.6,0.8,15.0
08/26/2017,@ South Carolina,0-3,3.0,0,31.0,22.0,109.0,0.083,30.0,6.0,6.0,40.0,4.0,1.0,8.0,0.0,42.0,0.0,South Carolina,3,10.333333333333334,7.333333333333333,36.333333333333336,10.0,2.0,2.0,13.333333333333334,0.3333333333333333,2.6666666666666665,0.0,14.0
08/30/2017,Savannah St.,3-0,3.0,0,49.0,9.0,92.0,0.435,47.0,3.0,12.0,46.0,1.0,2.0,14.0,0.0,61.0,1.0,Savannah St.,3,16.333333333333332,3.0,30.666666666666668,15.666666666666666,1.0,4.0,15.333333333333334,0.6666666666666666,4.666666666666667,0.0,20.333333333333332
09/01/2017,@ Ga. Southern,0-3,3.0,0,34.0,19.0,106.0,0.142,33.0,3.0,5.0,45.0,4.0,1.0,8.0,3.0,42.0,4.0,Ga. Southern,3,11.333333333333334,6.333333333333333,35.333333333333336,11.0,1.0,1.6666666666666667,15.0,0.3333333333333333,2.6666666666666665,1.0,14.0
09/02/2017,"Charlotte @ Statesboro, Ga.",0-3,3.0,0,28.0,21.0,110.0,0.064,27.0,4.0,7.0,42.0,3.0,0.0,12.0,2.0,38.0,7.0,Charlotte,3,9.333333333333334,7.0,36.666666666666664,9.0,1.3333333333333333,2.3333333333333335,14.0,0.0,4.0,0.6666666666666666,12.666666666666666
09/02/2017,"Bethune-Cookman @ Statesboro, Ga.",3-1,4.0,0,52.0,27.0,163.0,0.153,50.0,5.0,7.0,77.0,5.0,2.0,16.0,1.0,67.0,2.0,Bethune-Cookman,4,13.0,6.75,40.75,12.5,1.25,1.75,19.25,0.5,4.0,0.25,16.75
09/07/2017,Kansas St. @ O'Keefe Gymnasium,1-3,4.0,0,41.0,23.0,126.0,0.143,39.0,4.0,4.0,56.0,8.0,1.0,14.0,2.0,53.0,0.0,Kansas St.,4,10.25,5.75,31.5,9.75,1.0,1.0,14.0,0.25,3.5,0.5,13.25
09/08/2017,"Xavier @ Atlanta, Ga.",3-1,4.0,0,41.0,30.0,151.0,0.073,40.0,10.0,11.0,61.0,5.0,3.0,16.0,1.0,62.0,1.0,Xavier,4,10.25,7.5,37.75,10.0,2.5,2.75,15.25,0.75,4.0,0.25,15.5
09/08/2017,@ Georgia Tech,0-3,3.0,0,34.0,22.0,115.0,0.104,32.0,2.0,8.0,44.0,3.0,2.0,12.0,0.0,44.0,0.0,Georgia Tech,3,11.333333333333334,7.333333333333333,38.333333333333336,10.666666666666666,0.6666666666666666,2.6666666666666665,14.666666666666666,0.6666666666666666,4.0,0.0,14.666666666666666
09/15/2017,"Alabama St. @ New Orleans, La.",1-3,4.0,0,45.0,24.0,144.0,0.146,45.0,5.0,6.0,47.0,3.0,0.0,6.0,1.0,53.0,3.0,Alabama St.,4,11.25,6.0,36.0,11.25,1.25,1.5,11.75,0.0,1.5,0.25,13.25
