date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/25/2017,"New Mexico @ Ames, Iowa",0-3,3.0,0,40.0,23.0,127.0,0.134,33.0,2.0,10.0,54.0,4.0,0.0,4.0,2.0,44.0,3.0,New Mexico,3,13.333333333333334,7.666666666666667,42.333333333333336,11.0,0.6666666666666666,3.3333333333333335,18.0,0.0,1.3333333333333333,0.6666666666666666,14.666666666666666
08/26/2017,@ Iowa St.,0-3,3.0,0,30.0,20.0,109.0,0.092,30.0,3.0,6.0,44.0,2.0,1.0,8.0,1.0,38.0,1.0,Iowa St.,3,10.0,6.666666666666667,36.333333333333336,10.0,1.0,2.0,14.666666666666666,0.3333333333333333,2.6666666666666665,0.3333333333333333,12.666666666666666
08/26/2017,"Kent St. @ Ames, Iowa",0-3,3.0,0,31.0,17.0,127.0,0.11,30.0,3.0,7.0,51.0,5.0,0.0,18.0,1.0,43.0,0.0,Kent St.,3,10.333333333333334,5.666666666666667,42.333333333333336,10.0,1.0,2.3333333333333335,17.0,0.0,6.0,0.3333333333333333,14.333333333333334
09/01/2017,@ Iowa,0-3,3.0,0,27.0,19.0,110.0,0.073,24.0,6.0,8.0,45.0,5.0,1.0,4.0,1.0,36.0,1.0,Iowa,3,9.0,6.333333333333333,36.666666666666664,8.0,2.0,2.6666666666666665,15.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,12.0
09/01/2017,"Indiana St. @ Iowa City, Iowa",3-1,4.0,0,58.0,16.0,163.0,0.258,52.0,10.0,11.0,71.0,5.0,2.0,6.0,0.0,73.0,0.0,Indiana St.,4,14.5,4.0,40.75,13.0,2.5,2.75,17.75,0.5,1.5,0.0,18.25
09/02/2017,"Indiana St. @ Iowa City, Iowa",3-2,5.0,0,73.0,14.0,165.0,0.358,64.0,7.0,12.0,78.0,9.0,5.0,14.0,0.0,92.0,0.0,Indiana St.,5,14.6,2.8,33.0,12.8,1.4,2.4,15.6,1.0,2.8,0.0,18.4
09/07/2017,@ Drake,2-3,5.0,0,58.0,21.0,173.0,0.214,55.0,7.0,13.0,83.0,1.0,4.0,20.0,1.0,79.0,1.0,Drake,5,11.6,4.2,34.6,11.0,1.4,2.6,16.6,0.8,4.0,0.2,15.8
09/08/2017,"Montana @ Des Moines, Iowa",0-3,3.0,0,35.0,21.0,112.0,0.125,31.0,2.0,9.0,41.0,2.0,1.0,6.0,2.0,41.0,1.0,Montana,3,11.666666666666666,7.0,37.333333333333336,10.333333333333334,0.6666666666666666,3.0,13.666666666666666,0.3333333333333333,2.0,0.6666666666666666,13.666666666666666
09/08/2017,"San Jose St. @ Des Moines, Iowa",1-3,4.0,0,48.0,19.0,124.0,0.234,43.0,6.0,6.0,42.0,8.0,1.0,8.0,0.0,59.0,1.0,San Jose St.,4,12.0,4.75,31.0,10.75,1.5,1.5,10.5,0.25,2.0,0.0,14.75
09/09/2017,"Southeast Mo. St. @ Des Moines, Iowa",3-1,4.0,0,63.0,29.0,145.0,0.234,56.0,5.0,11.0,49.0,7.0,0.0,16.0,3.0,76.0,0.0,Southeast Mo. St.,4,15.75,7.25,36.25,14.0,1.25,2.75,12.25,0.0,4.0,0.75,19.0
09/14/2017,Kansas St.,1-3,4.0,0,46.0,22.0,160.0,0.15,43.0,4.0,12.0,80.0,1.0,4.0,10.0,4.0,59.0,1.0,Kansas St.,4,11.5,5.5,40.0,10.75,1.0,3.0,20.0,1.0,2.5,1.0,14.75
09/15/2017,UNI,1-3,4.0,0,47.0,29.0,170.0,0.106,45.0,2.0,7.0,79.0,6.0,1.0,18.0,1.0,59.0,0.0,UNI,4,11.75,7.25,42.5,11.25,0.5,1.75,19.75,0.25,4.5,0.25,14.75
09/16/2017,Nebraska,0-3,3.0,0,29.0,17.0,102.0,0.118,28.0,3.0,8.0,34.0,2.0,2.0,8.0,2.0,38.0,1.0,Nebraska,3,9.666666666666666,5.666666666666667,34.0,9.333333333333334,1.0,2.6666666666666665,11.333333333333334,0.6666666666666666,2.6666666666666665,0.6666666666666666,12.666666666666666
09/22/2017,South Dakota St.,3-0,3.0,0,42.0,14.0,97.0,0.289,41.0,6.0,6.0,45.0,0.0,2.0,10.0,4.0,55.0,1.0,South Dakota St.,3,14.0,4.666666666666667,32.333333333333336,13.666666666666666,2.0,2.0,15.0,0.6666666666666666,3.3333333333333335,1.3333333333333333,18.333333333333332
09/29/2017,@ Western Ill.,3-1,4.0,0,63.0,20.0,169.0,0.254,57.0,5.0,18.0,83.0,2.0,3.0,22.0,0.0,82.0,2.0,Western Ill.,4,15.75,5.0,42.25,14.25,1.25,4.5,20.75,0.75,5.5,0.0,20.5
