date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/25/2017,@ San Jose St.,2-3,5.0,0,62.0,18.0,161.0,0.273,58.0,6.0,16.0,61.0,8.0,2.0,14.0,2.0,77.0,1.0,San Jose St.,5,12.4,3.6,32.2,11.6,1.2,3.2,12.2,0.4,2.8,0.4,15.4
08/25/2017,"Utah Valley @ San Jose, Calif.",3-1,4.0,0,62.0,23.0,171.0,0.228,58.0,13.0,14.0,70.0,5.0,6.0,12.0,2.0,87.0,0.0,Utah Valley,4,15.5,5.75,42.75,14.5,3.25,3.5,17.5,1.5,3.0,0.5,21.75
08/26/2017,Fresno St. @ San Francisco,3-0,3.0,0,48.0,17.0,111.0,0.279,46.0,3.0,6.0,44.0,6.0,0.0,12.0,0.0,57.0,0.0,Fresno St.,3,16.0,5.666666666666667,37.0,15.333333333333334,1.0,2.0,14.666666666666666,0.0,4.0,0.0,19.0
08/31/2017,Northeastern,3-1,4.0,0,57.0,17.0,169.0,0.237,50.0,3.0,13.0,87.0,3.0,0.0,25.0,3.0,72.5,1.0,Northeastern,4,14.25,4.25,42.25,12.5,0.75,3.25,21.75,0.0,6.25,0.75,18.125
09/01/2017,@ CSUN,1-3,4.0,0,43.0,29.0,148.0,0.095,43.0,4.0,6.0,57.0,2.0,3.0,8.0,1.0,54.0,1.0,CSUN,4,10.75,7.25,37.0,10.75,1.0,1.5,14.25,0.75,2.0,0.25,13.5
09/02/2017,Weber St.,3-0,3.0,0,49.0,14.0,115.0,0.304,49.0,9.0,8.0,59.0,2.0,0.0,8.0,0.0,62.0,0.0,Weber St.,3,16.333333333333332,4.666666666666667,38.333333333333336,16.333333333333332,3.0,2.6666666666666665,19.666666666666668,0.0,2.6666666666666665,0.0,20.666666666666668
09/08/2017,Wyoming,3-0,3.0,0,48.0,24.0,126.0,0.19,46.0,8.0,9.0,52.0,4.0,3.0,4.0,4.0,61.0,0.0,Wyoming,3,16.0,8.0,42.0,15.333333333333334,2.6666666666666665,3.0,17.333333333333332,1.0,1.3333333333333333,1.3333333333333333,20.333333333333332
09/08/2017,Washington,0-3,3.0,0,28.0,21.0,94.0,0.074,25.0,3.0,6.0,30.0,6.0,3.0,18.0,2.0,43.0,0.0,Washington,3,9.333333333333334,7.0,31.333333333333332,8.333333333333334,1.0,2.0,10.0,1.0,6.0,0.6666666666666666,14.333333333333334
09/09/2017,Missouri St.,1-3,4.0,0,51.0,23.0,155.0,0.181,50.0,8.0,4.0,73.0,6.0,1.0,8.0,9.0,64.0,1.0,Missouri St.,4,12.75,5.75,38.75,12.5,2.0,1.0,18.25,0.25,2.0,2.25,16.0
09/12/2017,Long Beach St.,3-1,4.0,0,56.0,21.0,156.0,0.224,52.0,8.0,6.0,72.0,1.0,4.0,19.0,2.0,77.5,0.0,Long Beach St.,4,14.0,5.25,39.0,13.0,2.0,1.5,18.0,1.0,4.75,0.5,19.375
09/15/2017,"Sacramento St. @ Reno, Nev.",3-0,3.0,0,50.0,11.0,120.0,0.325,47.0,4.0,3.0,56.0,2.0,3.0,16.0,0.0,65.0,1.0,Sacramento St.,3,16.666666666666668,3.6666666666666665,40.0,15.666666666666666,1.3333333333333333,1.0,18.666666666666668,1.0,5.333333333333333,0.0,21.666666666666668
09/15/2017,"Missouri @ Reno, Nev.",0-3,3.0,0,46.0,21.0,127.0,0.197,42.0,3.0,7.0,41.0,4.0,1.0,12.0,3.0,56.0,1.0,Missouri,3,15.333333333333334,7.0,42.333333333333336,14.0,1.0,2.3333333333333335,13.666666666666666,0.3333333333333333,4.0,1.0,18.666666666666668
09/16/2017,@ Nevada,3-1,4.0,0,53.0,21.0,149.0,0.215,51.0,5.0,9.0,57.0,4.0,2.0,26.0,3.0,73.0,0.0,Nevada,4,13.25,5.25,37.25,12.75,1.25,2.25,14.25,0.5,6.5,0.75,18.25
09/23/2017,@ LMU (CA),3-1,4.0,0,46.0,15.0,126.0,0.246,43.0,6.0,9.0,42.0,10.0,2.0,26.0,0.0,67.0,0.0,LMU ,4,11.5,3.75,31.5,10.75,1.5,2.25,10.5,0.5,6.5,0.0,16.75
09/26/2017,@ BYU,1-3,4.0,0,59.0,24.0,154.0,0.227,56.0,4.0,7.0,72.0,2.0,1.0,16.0,2.0,72.0,2.0,BYU,4,14.75,6.0,38.5,14.0,1.0,1.75,18.0,0.25,4.0,0.5,18.0
09/28/2017,Pacific,3-1,4.0,0,56.0,23.0,164.0,0.201,54.0,4.0,11.0,67.0,5.0,1.0,32.0,2.0,77.0,1.0,Pacific,4,14.0,5.75,41.0,13.5,1.0,2.75,16.75,0.25,8.0,0.5,19.25
09/30/2017,Saint Mary's (CA),3-1,4.0,0,61.0,16.0,141.0,0.319,58.0,7.0,6.0,64.0,3.0,2.0,16.0,1.0,78.0,2.0,Saint Mary's ,4,15.25,4.0,35.25,14.5,1.75,1.5,16.0,0.5,4.0,0.25,19.5
10/05/2017,@ Gonzaga,2-3,5.0,0,71.0,26.0,177.0,0.254,69.0,4.0,7.0,62.0,8.0,1.0,18.0,1.0,85.0,3.0,Gonzaga,5,14.2,5.2,35.4,13.8,0.8,1.4,12.4,0.2,3.6,0.2,17.0
