date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/25/2017,Northwestern,1-3,4.0,0,46.0,19.0,131.0,0.206,42.0,7.0,8.0,60.0,7.0,2.0,16.0,4.0,63.0,2.0,Northwestern
08/26/2017,LSU,0-3,3.0,0,32.0,22.0,109.0,0.092,32.0,0.0,4.0,44.0,3.0,1.0,8.0,1.0,37.0,1.0,LSU
08/26/2017,Ark.-Pine Bluff,3-0,3.0,0,44.0,15.0,90.0,0.322,43.0,9.0,4.0,45.0,1.0,1.0,4.0,2.0,56.0,0.0,Ark.-Pine Bluff
09/01/2017,"SFA @ Starkville, Miss.",1-3,4.0,0,41.0,19.0,113.0,0.195,41.0,3.0,11.0,41.0,5.0,2.0,4.0,2.0,48.0,0.0,SFA
09/01/2017,@ Mississippi St.,0-3,3.0,0,36.0,25.0,101.0,0.109,33.0,4.0,10.0,37.0,3.0,1.0,4.0,3.0,43.0,0.0,Mississippi St.
09/02/2017,"Grambling @ Starkville, Miss.",3-0,3.0,0,32.0,11.0,67.0,0.313,30.0,12.0,5.0,33.0,4.0,1.0,18.0,1.0,54.0,0.0,Grambling
09/15/2017,"Austin Peay @ Jacksonville, Fla.",1-3,4.0,0,47.0,25.0,174.0,0.126,45.0,3.0,1.0,85.0,3.0,7.0,16.0,2.0,65.0,2.0,Austin Peay
09/16/2017,"Presbyterian @ Jacksonville, Fla.",3-1,4.0,0,59.0,20.0,156.0,0.25,58.0,7.0,3.0,77.0,2.0,1.0,4.0,3.0,69.0,1.0,Presbyterian
09/16/2017,"Jacksonville @ Jacksonville, Fla.",3-0,3.0,0,43.0,13.0,113.0,0.265,43.0,7.0,5.0,58.0,3.0,1.0,13.0,4.0,57.5,0.0,Jacksonville
09/22/2017,Cincinnati,0-3,3.0,0,39.0,25.0,131.0,0.107,39.0,5.0,4.0,66.0,2.0,4.0,6.0,0.0,51.0,1.0,Cincinnati
09/24/2017,East Carolina,1-3,4.0,0,57.0,17.0,148.0,0.27,54.0,2.0,6.0,71.0,5.0,4.0,6.0,1.0,66.0,4.0,East Carolina
09/26/2017,Bethune-Cookman,3-1,4.0,0,63.0,22.0,167.0,0.246,62.0,4.0,7.0,77.0,8.0,2.0,16.0,8.0,77.0,0.0,Bethune-Cookman
09/29/2017,@ Wichita St.,0-3,3.0,0,26.0,15.0,100.0,0.11,26.0,3.0,4.0,40.0,5.0,1.0,4.0,3.0,32.0,0.0,Wichita St.
10/01/2017,@ Memphis,3-2,5.0,0,58.0,29.0,181.0,0.16,56.0,9.0,6.0,89.0,11.0,4.0,16.0,7.0,79.0,0.0,Memphis
10/06/2017,@ SMU,1-3,4.0,0,42.0,31.0,155.0,0.071,41.0,2.0,2.0,72.0,3.0,5.0,16.0,1.0,57.0,1.0,SMU
10/08/2017,@ Tulsa,3-2,5.0,0,61.0,22.0,194.0,0.201,59.0,2.0,8.0,99.0,6.0,3.0,10.0,5.0,71.0,2.0,Tulsa
10/13/2017,Temple,0-3,3.0,0,34.0,16.0,97.0,0.186,30.0,3.0,5.0,47.0,4.0,2.0,14.0,1.0,46.0,3.0,Temple
10/15/2017,UConn,0-3,3.0,0,35.0,16.0,118.0,0.161,34.0,1.0,3.0,59.0,1.0,0.0,6.0,1.0,39.0,2.0,UConn
10/20/2017,@ Tulane,3-0,3.0,0,49.0,13.0,108.0,0.333,46.0,4.0,5.0,53.0,2.0,2.0,20.0,0.0,65.0,0.0,Tulane
10/22/2017,@ Houston,0-3,3.0,0,34.0,14.0,114.0,0.175,31.0,4.0,1.0,58.0,9.0,1.0,10.0,3.0,44.0,1.0,Houston
10/27/2017,Memphis,3-1,4.0,0,53.0,22.0,137.0,0.226,51.0,7.0,4.0,68.0,7.0,1.0,24.0,2.0,73.0,0.0,Memphis
10/29/2017,Wichita St.,0-3,3.0,0,24.0,22.0,94.0,0.021,24.0,4.0,4.0,33.0,2.0,1.0,4.0,1.0,31.0,1.0,Wichita St.
11/03/2017,@ East Carolina,1-3,4.0,0,56.0,28.0,152.0,0.184,55.0,0.0,6.0,54.0,4.0,0.0,6.0,1.0,59.0,5.0,East Carolina
11/05/2017,@ Cincinnati,3-2,5.0,0,50.0,24.0,173.0,0.15,48.0,5.0,9.0,80.0,3.0,3.0,24.0,5.0,70.0,3.0,Cincinnati
11/10/2017,Houston,0-3,3.0,0,41.0,12.0,113.0,0.257,40.0,3.0,2.0,52.0,6.0,2.0,6.0,2.0,49.0,2.0,Houston
11/12/2017,Tulane,3-1,4.0,0,61.0,14.0,147.0,0.32,58.0,6.0,7.0,71.0,6.0,2.0,14.0,2.0,76.0,0.0,Tulane
11/17/2017,@ UConn,3-1,4.0,0,52.0,18.0,131.0,0.26,46.0,5.0,9.0,57.0,8.0,4.0,4.0,0.0,63.0,2.0,UConn
11/19/2017,@ Temple,1-3,4.0,0,61.0,18.0,176.0,0.244,56.0,2.0,5.0,67.0,3.0,0.0,16.0,8.0,71.0,2.0,Temple
11/22/2017,@ UCF,0-3,3.0,0,48.0,18.0,128.0,0.234,45.0,4.0,4.0,50.0,3.0,0.0,6.0,2.0,55.0,2.0,UCF
11/25/2017,UCF,0-3,3.0,0,40.0,21.0,125.0,0.152,39.0,4.0,1.0,63.0,8.0,1.0,4.0,1.0,47.0,1.0,UCF
