date,opponent/venue,result,sets,mp,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/25/2017,UTSA,3-0,3.0,0,39.0,10.0,98.0,0.296,35.0,7.0,5.0,39.0,1.0,1.0,14.0,2.0,54.0,0.0,UTSA
08/26/2017,Coastal Carolina,3-0,3.0,0,42.0,18.0,114.0,0.211,39.0,2.0,6.0,44.0,6.0,0.0,11.0,6.0,49.5,1.0,Coastal Carolina
08/27/2017,Rice,3-0,3.0,0,48.0,20.0,126.0,0.222,44.0,3.0,4.0,59.0,2.0,0.0,12.0,3.0,57.0,1.0,Rice
09/01/2017,"Colorado St. @ Tallahassee, Fla.",2-3,5.0,0,55.0,38.0,169.0,0.101,51.0,7.0,5.0,60.0,6.0,2.0,18.0,3.0,73.0,3.0,Colorado St.
09/02/2017,"UNC Asheville @ Tallahassee, Fla.",3-0,3.0,0,40.0,15.0,98.0,0.255,36.0,9.0,4.0,46.0,2.0,2.0,14.0,2.0,58.0,4.0,UNC Asheville
09/03/2017,@ Florida St.,1-3,4.0,0,58.0,23.0,164.0,0.213,52.0,6.0,5.0,58.0,5.0,1.0,8.0,1.0,69.0,1.0,Florida St.
09/08/2017,Duke,0-3,3.0,0,44.0,19.0,106.0,0.236,41.0,1.0,6.0,35.0,5.0,2.0,8.0,3.0,51.0,0.0,Duke
09/09/2017,Lehigh,3-1,4.0,0,59.0,27.0,142.0,0.225,55.0,4.0,11.0,68.0,2.0,0.0,12.0,0.0,69.0,0.0,Lehigh
09/09/2017,Utah Valley,3-0,3.0,0,43.0,16.0,105.0,0.257,43.0,4.0,9.0,40.0,2.0,2.0,15.0,3.0,56.5,1.0,Utah Valley
09/15/2017,@ SMU,3-1,4.0,0,64.0,26.0,173.0,0.22,60.0,2.0,10.0,76.0,2.0,3.0,6.0,6.0,72.0,1.0,SMU
09/16/2017,"Sam Houston @ Dallas, Texas",3-1,4.0,0,54.0,23.0,137.0,0.226,52.0,5.0,8.0,49.0,2.0,0.0,16.0,0.0,67.0,0.0,Sam Houston
09/20/2017,@ West Virginia,1-3,4.0,0,46.0,22.0,142.0,0.169,44.0,3.0,10.0,47.0,6.0,2.0,14.0,2.0,58.0,2.0,West Virginia
